"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__C18-neg_Cluster_0001: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0006: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0011: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0012: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0016: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0017: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0018: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0020: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0023: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0024: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0028: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0035: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0037: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0045: azelate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0046: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0050: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0053: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0063: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0064: sebacate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0066: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0069: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0070: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0.109232246248651,0,0.00728214974991007
"m__C18-neg_Cluster_0072: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0073: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0074: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0075: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0076: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0078: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0079: undecanedionate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0081: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0085: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0091: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0093: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0095: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0101: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0102: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0103: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0109: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0110: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0114: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0116: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0120: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0121: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0123: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0124: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0125: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0127: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0128: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
