"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__C18-neg_Cluster_0001: NA",0,0,0,0,2.61721974818515e-08,0,0,0,1.17315825105618e-08,0,2.4019931053417e-08,0,2.70233517375694e-08,0,0,5.92980418555998e-09
"m__C18-neg_Cluster_0006: NA",0,0,0,0,8.92789531593457e-08,0,0,0,5.48020667952088e-08,0,2.51393552010656e-08,0,1.43187741470086e-07,0,0,2.08272077750471e-08
"m__C18-neg_Cluster_0011: NA",0,0,0,0,7.02771180533305e-10,0,0,0,3.60731827013359e-08,0,2.06477831676863e-08,0,2.63755820992281e-08,0,0,5.58662127658557e-09
"m__C18-neg_Cluster_0012: NA",0,0,0,0,2.11680145835745e-08,0,0,0,2.87755832693221e-08,0,2.68514595922129e-08,0,1.46922254869808e-08,0,0,6.09915219547269e-09
"m__C18-neg_Cluster_0016: NA",0,0,0,0,3.01370425062925e-07,0,0,0,5.19680375617642e-08,0,1.3671608466043e-07,0,5.79932178427448e-08,0,0,3.65365176751909e-08
"m__C18-neg_Cluster_0017: NA",0,0,0,0,2.29722251603326e-07,0,0,0,2.91356146069904e-08,0,1.03270564058205e-07,0,3.70617864420505e-08,0,0,2.66126811140381e-08
"m__C18-neg_Cluster_0018: NA",0,0,0,0,4.50640165161667e-08,0,0,0,1.09448896266825e-08,0,1.91203869581377e-08,0,4.25248209440324e-08,0,0,7.84360760300128e-09
"m__C18-neg_Cluster_0020: NA",0,0,0,0,1.20109165196908e-07,0,0,0,1.28892424625106e-08,0,2.38355853186657e-08,0,8.55973489947978e-08,0,0,1.61620894648588e-08
"m__C18-neg_Cluster_0023: NA",0,0,0,0,2.69131659618597e-07,0,0,0,6.84955343593406e-08,0,1.04742756502594e-07,0,1.46705348784944e-07,0,0,3.92716866176984e-08
"m__C18-neg_Cluster_0024: NA",0,0,0,0,1.12169825626912e-08,0,0,0,9.32750225091625e-10,0,6.16163614601331e-08,0,3.06802408784849e-08,0,0,6.96308900842672e-09
"m__C18-neg_Cluster_0028: NA",0,0,0,0,1.98888232313736e-07,0,0,0,4.17042109457254e-08,0,9.16006943600095e-08,0,2.26583617688813e-07,0,0,3.72517836872189e-08
"m__C18-neg_Cluster_0035: NA",0,0,0,0,1.88914904092042e-07,0,0,0,1.42396898241585e-07,0,1.38464877108863e-07,0,1.13320947074917e-07,0,0,3.88731751011604e-08
