"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000185285",0.002032962484336,0.00149042552268348,0,0,0.00336836679556682,0,0,0.00112140390673214,0.000790107233114208,0,0,0,0.00189644421072239,0.00211089505146316,0.00669796729320455,0.00130057149985485
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum",0.00135576951910619,0.00791834680294178,0,0,0.00723031506371001,0,0,0.00307860780151947,0.00170953556191119,0,0,0,0.00305161628571061,0.00348868336783867,0.0145217535749513,0.00282364186517928
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum;s__Varibaculum timonense_A",0.000553240424678999,0.00517768955237033,0,0,0.00742223574284727,0,0,0.00240294862418802,0.00143690199986889,0,0,0,0.00196598616276245,0.0027977786038524,0.00590950996031522,0.00184441940472557
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium angulatum",0.000477040375360087,0.00117023138685941,0,0,0.00110436596575094,0,0,0.000307506870321464,0.000320893307384461,0,0,0,0.0011949534582803,0.00100777398308802,0.00127809812664536,0.000457390898246003
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium apri",0.00523705268557124,0.0246676175603533,0,0,0.0217849973240715,0,0.0267094703496635,0.00896381350237078,0.0111298305458157,0,0,0,0.0425827497644623,0.0241064761285349,0.00990865805590123,0.0116727110611163
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium criceti",0.00788147785400098,0.0211449501298215,0,0,0.0173947929627363,0,0,0.0391291774442607,0.00436747911619277,0,0,0,0.0108461657804593,0.0801884759691086,0.0314319683950961,0.0141589658434451
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium gallicum",0.0320406299740695,0.0853853612268366,0,0,0.0759983390470838,0,0,0.0343815232837154,0.0144738907234868,0,0,0,0.0454146028342773,0.0694315735856575,0.0940088581447576,0.0300756519213256
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium pseudolongum_C",0.00494377581301582,0.00884346814167813,0,0,0.010141468961994,0,0,0.004322203628355,0.00167183151346469,0,0,0,0.00429180095366569,0.00590888987096316,0.0146071934098458,0.00364870881953215
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium pullorum_C",0.000129583901238189,0.000917249987552607,0,0,0.000527080300344195,0,0,7.19923994012837e-05,0.000121947473434484,0,0,0,0.000504093947446422,0.00295578476018582,0.000460316623193332,0.000379203292853089
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium sp002451435",0.00151302747237165,0.00670950411638382,0,0,0.00648266977870416,0,0.000262780120804452,0.00224265433405718,0.00138758922516349,0,0,0,0.00479927717986397,0.00438127620106636,0.00547413750084065,0.00221686106195038
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium sp012932675",0.000543997159251253,0.00229633955897709,0,0,0.0022395461621762,0,0,0.000857498880467704,0.000978225439518142,0,0,0,0.00332328198261228,0.00162469343525194,0.0018397392241216,0.000913554789491747
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium thermophilum",0.00460849504207527,0.023903926496272,0,0,0.0249206947241306,0,0,0.00819654121736937,0.00473571940419682,0,0,0,0.0179748978399433,0.0182447922123032,0.0140988716718994,0.007778929240546
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Scardovia;s__Scardovia wiggsiae",0.000647661920435047,0.0194490692306186,0,0,0.0256562410684868,0,0,0.0184636527160468,0.000867637801511068,0,0,0,0.000784710965500054,0.00815643480531224,0.0192463275886143,0.00621811573976832
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Cellulomonadaceae;g__Cellulomonas",0.0140269726618873,0.0378264667904989,0,0,0.0389920663697168,0,0,0.0317661541327542,0.0153509851008934,0,0,0,0.0024948379644302,0.041229691157565,0.0291701668594491,0.0140571560691463
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__Tetrasphaera",0.00048756377562252,0.00148313659438876,0,0,0.000179664595060872,0,0,7.67001624443491e-05,1.82690191825913e-06,0,0,0,3.96921171779893e-05,0.000493700779258995,0.000185501570914634,0.000196519099785758
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__Tetrasphaera;s__Tetrasphaera japonica",0.000478712261253919,0.00144761204532788,0,0,0.00017486966440317,0,0,7.3241251062772e-05,1.32126242471418e-06,0,0,0,3.83568946714524e-05,0.0004782536430642,0.000174027280642154,0.000191092953523351
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Curtobacterium",0.0226880661524018,0.0328879408775285,0,0,0.0190703096070489,0,0,0.00481570531839866,0.00192860730241984,0,0,0,0.00957334762891523,0.0325553244361106,0.0365213927769871,0.010669379606654
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium",0.00253428484295845,0.00321226822933442,0,0,0.00866614006762656,0,0,0.000988846100080832,0.000949228082928426,0,0,0,0.00102764606614017,0.000674567615414142,0.0110920784382104,0.00194300396284622
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium sp003476465",0.00489366326668995,0.00148727046577744,0,0,0.0202163186929849,0,0,0.0036264179344514,0.00166882168526702,0,0,0,0.00403750194312379,0.00411396540932815,0.0141747677596719,0.0036145818104863
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Arthrobacter",0.060885067793753,0.191772955835505,0,0,0.045391461711079,0,0,0.0275372350060749,0.00425994619632955,0,0,0,0.012202830217526,0.0820721366548978,0.0660938351745889,0.0326810312393169
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Arthrobacter_D",0.00236731358821646,0.00211023270839098,0,0,0.000397210384757673,0,0,0.000140492698061883,0.000390186269621131,0,0,0,0.000688000663312557,0.00382301376501917,0.00299116982511912,0.000860507993499932
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Pseudarthrobacter",0.00518805778884957,0.0263461871636355,0,0,0.00418803002601338,0,0,0.00131782494577849,0.000887945104070195,0,0,0,0.00189225788080224,0.0102739531810088,0.00992700520117581,0.00400141741942226
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__Rothia dentocariosa",0.000622982368249332,0.000413138681330345,0,0,0.00120390455255981,0,0,0.000246008629003024,0.000192218113082622,0,0,0,0.000398977969985761,0.00128551043741678,0.00148433294233528,0.000389804912930864
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Specibacter",4.62784472479316e-05,0.00130395946691459,0,0,0.00058724429955465,0,0,8.82566381562959e-05,0.000121435901314291,0,0,0,0.000554162535304251,0.000610189395507932,0.000124193215970794,0.000229047993331382
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Specibacter;s__Specibacter sp002929305",5.36391870694782e-05,0.0012680441687607,0,0,0.000499007411149664,0,0,4.07790682800253e-05,9.72833649549913e-05,0,0,0,0.0004513893802392,0.000487679494371598,0.000136177747907883,0.000202266654848903
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Frankiaceae;g__Frankia",0.000231074886733675,0.00636057508824453,0,0,0.000218629745936559,0,0,0.000486906610999652,0.000772974159485343,0,0,0,0.00167100477820126,0.0117616396915383,0.00874341467037365,0.00201641464210087
