"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__C18-neg_Cluster_0001: NA",0.241092391274676,0.177488204479907,0.175616645602039,0.421095604042292,0.265489319140229,0.316692512987935,0.239340800970533,0.0435722991291071,0.0629403741622981,0.216906868774338,0.24868783016084,0.39063853668629,0.121035369664581,0.142108001601865,0.429409661425973,0.23280762800686
"m__C18-neg_Cluster_0006: NA",0.00738231007977818,0.0116584476812978,0,0,0.0108330246508491,0.002269376994243,0,0.00226608874555003,0.00404865034497887,0.0216042445428442,0.000667296238582266,0.0957222761328384,0.0354927614243084,0.0313470800348179,0.0299468201882407,0.0168825584705553
"m__C18-neg_Cluster_0011: NA",0.00112246617967224,0,0.0989361027918161,0.00416163711769116,0.000915360531584447,0.00795190798371232,0,0.000191811384453762,0.0810640002734196,0.024475686973588,0.00436816844875605,0.033885982708976,0.00335690029637725,0.0033617497524716,1.76228104540941e-05,0.0175872931501982
"m__C18-neg_Cluster_0012: NA",0.000106018057111891,0,0.0894604412663561,0.0310538137281826,0.000332486097738455,0.0274645755311323,0.161813504692407,0.125171217014679,0.135860709343556,0.0883650226204583,0.0954600487169434,8.03392695677857e-05,0.00185787443630487,0.00890431967950773,0.0206778225508076,0.0524405462003169
"m__C18-neg_Cluster_0016: NA",0.0641773057338633,0.00438455971004481,9.33083805874083e-05,0,0.0182193011502711,0.0780576280505472,0.0356144056911057,0.000668696989864864,0.0243941894811446,0.125125194800433,0.0325511996537798,0.0660137790430925,0.0582418542936281,0.0415034867430458,0.0228091294864448,0.0381236026138569
"m__C18-neg_Cluster_0017: NA",0.00543214334815487,0.00134167238376662,0.0218566844246016,8.92779472212312e-05,0.00540740251848014,5.73419006549883e-05,0.0791621644063721,0.00271058911843282,0.00970135464760611,0.00459180181951637,0.0133129461041346,0.0218593422853869,0.0119249190662157,0.000414938493684702,0.0106416953038748,0.0125669515845402
"m__C18-neg_Cluster_0018: NA",0.34004842368953,0.309998902184525,0.846659468432233,0.166559583694686,0,0.507421745925055,0.211787723686387,0.315531829541815,0.208971315518728,0.817514096061139,0.0929514044920068,0.384896609262503,0,0.111796895747517,0.399386250126361,0.314234949890832
"m__C18-neg_Cluster_0020: NA",0,0.00119588083259544,0.0867422388544662,0.000273460603043191,0.000699391293037318,0.00158378040003511,0.00513822091094056,0.011685744421456,0.00810622730408784,0.0243377420572837,0.000898496379202296,0.0188134289241304,0.0108899812496022,0.000100334604045429,0.0108073237124258,0.0120848167697568
"m__C18-neg_Cluster_0023: NA",0.0635154817285137,0.0142575671325605,0.0293505427800658,0.0124662110280426,0.0677873886903018,0.00497603762020677,0.00365318284947341,0.00420955611945084,0.0029770261738415,0.0194279107640734,0.000221850957827711,0.00405828148120461,0.00143359323311389,0.000115762240386948,0.00126805911667423,0.0153145634610492
"m__C18-neg_Cluster_0024: NA",0.0243235730739176,0.018789212349637,0.00227494718384547,0.0159614037698412,0.0489175649276331,0.00425447388646425,0.0366983716024766,0.0268579978715741,0.0597845658060961,2.59127546415532e-05,0.000690049462421598,0.101331852516198,0.0449029958284713,0.0403205180075912,0.00580552656849086,0.0287292643739533
"m__C18-neg_Cluster_0028: NA",0.204928322760992,0.0884395187971083,0.0100455581692167,0.019444766459491,0.102105891929794,0.0631662761589379,0.254141787757563,0.030587434707306,0.0277411989636403,0.000113368301556768,0.0400959139706655,0.265816671214789,0.00254972866966721,0.0310256118119142,0.0749950625422239,0.0810131408143245
"m__C18-neg_Cluster_0035: NA",0.00010436152496951,0.00372577676354523,0.0546927319814426,0.061276513011217,0.027860000496776,0.000265471762291602,0,0.015424885985597,0.0467985196780358,0.0627163324531627,0.0491052609008903,0.000688909236543762,0.0192957969628402,0.0231595113715726,0.078791495464712,0.0295937045062398
"m__C18-neg_Cluster_0037: NA",0.167029201839292,0.00135128023413761,0.0866609216960859,0,0.0202529682849126,0.21416655272724,0,0.0168889988529064,0.249970947730901,0.214799077324554,0.0826329899346515,0.00107296089612124,0.0530470518726681,0.022047219434225,0.00994406024372039,0.0759909487380944
"m__C18-neg_Cluster_0045: azelate",0.00125177169034465,0.0308407613086907,0.013980705691347,0.00944461275482947,7.6508963976647e-06,0.00941455059174904,0.0224708356032202,0.00161474008575542,0.0102080349378375,0.00786921139518815,0.00139948044008636,0.0403279094263235,0.00969073729915562,0.00799769950527706,0,0.0111012467750802
"m__C18-neg_Cluster_0046: NA",0.164247577590365,0.0900001666475912,0.0513126145862056,0,0.0650577096953917,0.0493380573295837,0.00317656569364809,0.0197602280950558,0.00372472813948495,0.0308346245748311,0.0395936455703539,0.122575884135451,0.0754587355666701,0.00727603358777777,0.03864956955471,0.050733742717808
