"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__C18-neg_Cluster_0001: NA",0.373461790756092,0.03358229202477,0.250464456993342,0.164286613918597,0.179642103627319,0.103254374014803,0.346194039780749,0.282825073016161,0.660720817784255,0.298516818632097,0.201405882810413,0.14046537221587,0.00567524263218408,0.0934440703467793,0.263355113438664,0.226486270799473
"m__C18-neg_Cluster_0006: NA",0.0659787788993497,0.0336920162595235,0.0616996777619174,0.0265895393638254,0.0350699875713962,0.00988775314625833,0.0212542867044322,0.0301334899849036,0.0360365359387571,0.0132973940113944,0.0461787614635697,0.00853203441653794,0.00375714591966392,0.00410814587568848,0.134904894652361,0.0354080294646386
"m__C18-neg_Cluster_0011: NA",0.120183461892203,0.000903249169841079,0.0317598961448155,0.0998176450641158,0.0552182561040778,0.0275787065083681,0.000519112028311288,0.00268315549797056,0.0403621575107116,0.022934544517662,0.0773654617070566,0.040739741954648,0.00481902426543645,0.10605941530527,0.0189370964166466,0.0433253949391423
"m__C18-neg_Cluster_0012: NA",0.0106562340160224,0.0699237710555843,0.125914456158708,0.0454447167882621,0.109705279118998,0.0874762554663018,0.0915950956990061,0.120600609469888,0.127754012786705,0.0627415840107209,0.0853647745914835,0.0620636407685518,0.0147956605088473,0.0292178503970032,0.0575436554205407,0.0733865064171082
"m__C18-neg_Cluster_0016: NA",0.0738216577697443,0.0477803082212142,0.145776645539235,0.128204462249748,0.0790684336991593,0.0727837598724418,0.0757240886732415,0.0343727622244996,0.0677149597176001,0.0412868708941671,0.0674382851678476,0.0451008936916524,0.0485257840121559,0.0227097359884504,0.0933294215318384,0.0695758712835331
"m__C18-neg_Cluster_0017: NA",0.0441801444475267,0.011021230856847,0.0438819727751544,0.0214067919001766,0.0447999611308573,0.0279321843625429,0.015197853717084,0.079838123117902,0.0258972977241654,0.00313635422327254,0.0282472501129418,0.0118488077883469,0.0209535652957405,0.0473466774257521,0.0134436939760928,0.0292754605902935
"m__C18-neg_Cluster_0018: NA",0.249286718167056,0.374544238157565,0.147267194105131,0.296106500040861,0.159195384819476,0.11026671045166,0.229283926410752,0.3397137038202,0.352365210326007,0.153741256537602,0.354598492997553,0.255508471806445,0.155729788630359,0.0741222219261776,0.249638142140879,0.233424530689182
"m__C18-neg_Cluster_0020: NA",0.0110924814541254,0.00396057778620107,0.00206214307615935,0.0493347121918573,0.00899587502172784,0.00833396515088107,0.174956618786844,0.0444432023204334,0.00710334408154714,0.00186284539547405,0.0394888067137089,0.0212397551237146,0.0100310396978202,0.0110093057978136,0.030512634406203,0.0282951538003007
"m__C18-neg_Cluster_0023: NA",0.102069717938038,0.0517030744776472,0.0183685014956701,0.0562510320969214,0.0030012814634577,0.0332161567132794,0.101430711908816,0.0397246040116088,0.0395282996375367,0.0410881699528462,0.0316770951075192,0.00328685726611394,0.0381567655113758,0.0436783521858611,0.0108553222965686,0.040935729470884
"m__C18-neg_Cluster_0024: NA",0.122953441752752,0.0413605141715993,0.038331563497471,0.107549232768722,0.0634243947610577,0.0233161591761712,0.0664932835111803,0.0144535245295168,0.115620727850212,0.0332304908752773,0.071447032322998,0.0714128242531552,0.0405570326393347,0.018761923594345,0.00454153815355572,0.0555635789238232
"m__C18-neg_Cluster_0028: NA",0.0471916119398032,0.050077343851797,0.129347816761846,0.0392231603416715,0.0784923155890752,0.0551041985768531,0.0574612167168141,0.123953735113584,0.0262091309415668,0.0241790147216614,0.0403675112905976,0.10489726099211,0.0704598566502709,0.11421057816591,0.120746252397829,0.0721280669367593
"m__C18-neg_Cluster_0035: NA",0.022521033918371,0.0298553165516169,0.0642483495964946,0.00892261226017512,0.00949387035165908,0.021628437434608,0.076010472951086,0.0403084014038604,0.0579353854069227,0.0445453482601475,0.0378378907528736,0.0704015192715315,0.0983966799784973,0.115060042280051,0.0489012853178469,0.0497377763823828
"m__C18-neg_Cluster_0037: NA",0.167124787660232,0.078834419311795,0.0395405295974567,0.0136448442662922,0.0729613642120719,0.105555822121412,0.269745116749707,0.00347716142651134,0.0127857394251924,0.128101936332394,0.0566439739480168,0.0201333276405922,0,0.0297363300743505,0.0862189355000086,0.0723002858844021
