"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000185285",0.151328234041193,0.0473817315499919,0.177880617639187,0.0844905241606941,0.189663446916378,0.0438057842948989,0.0107094858061585,0.0443381116564867,0.041666629153144,0.150647583782973,0.0212244574898329,0.0720023557510853,0.0794393165937601,0.0441113709895,0.00201073034569277,0.0773800253447318
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum",0.186970888353357,0.0577079122947541,0.240496596272402,0.0961070983397107,0.0256703715357227,0.173547671161516,0.316728617470404,0.189429851819641,0.0401731103904539,0.110010344810713,0.116408026935363,0.284740661667271,0.309000612878016,0.104429686050338,0.240803584792088,0.16614833565145
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum;s__Varibaculum timonense_A",0,0.00514864254184577,0.0231219486807773,0,0.00920725795224856,5.01101118460443e-05,0.0420418294911495,0.00200197653007944,0.0367143551911592,0.00120591986956216,0.00456436426390324,0,0.0164260272801169,0.0217059726602325,0.000260084455267283,0.0108298992685459
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium angulatum",0.0154204245472211,0.0114780347853326,0.063100974215381,0.059860959765205,0.0293475677810834,0.0277944730489421,0.315622257572658,0.122600553426455,0.00433597126198994,0.0177030858649992,0.00165125233853411,0.0228277644090619,0.307655986746672,0.00593962700890816,0.0202384092872227,0.0683718228039778
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium apri",0.0445522587358464,0,0.00329070484249855,0.0315543781860016,0.0350168853190599,0.0269960673521537,0.132263185566811,0.105093069158166,0.0821824788047398,0.00409107979360558,0.0283471437938753,0.0290476898745326,0.22271382813908,0.124972611374502,0.0601216829902069,0.0620162042620719
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium criceti",0.00955485541891387,0.0148321275442254,0.234694331117335,0.0201986955652349,0.0564635097062677,0.0148907351533446,0.0449875167559132,0.00136382258911428,0.0581304324246781,0.106550130576463,0.0232011841084596,0.00418698266141832,0.0626243934236433,0.0136060346064597,0.0120882223119475,0.0451581982642279
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium gallicum",0.0435136676762973,0.0201565461415183,0.0605806042738132,0.0367174103215818,0.0145144974600103,0.0480287927057413,0.000650044473592238,0.080911447214103,0.054316377574883,0.156912608020294,0.0213814096097096,0.00986666112351211,0.152178552432318,0.0583304873053593,0.0518341077799535,0.0539928809408457
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium pseudolongum_C",0.00382358961525876,0.0245226187008534,0.111213977405315,0.00148289148128571,0.0137425867534494,0.0722941593759111,0.173574988984331,0.0220866407950215,0.00119587127495509,0.0582890799680769,0.0616923638208267,0.00800873701633574,0.0300427721608928,0.000830397549646406,0.00931084264713572,0.039474101169953
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium pullorum_C",0.0796270920284978,0.0467212822396552,0.000733078420902643,0.00812510611695863,0.0215051562422118,0.0461309044180012,0.413246513088998,0.112095897939644,0.0145717136806072,0.079990907726443,0.0335209881337498,0.141581232523946,0.13598767368089,0.0246278062857532,0.0754353117673205,0.0822600442862386
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium sp002451435",0.0907780878401426,0.021747995594756,0.0163884288646786,0.0203939251249053,0.145070824674678,0.0448035411971252,0.268958059588485,0.0786859146830155,0.0425296731331712,0.0128547573324703,0.0488822867221298,0.0733841823777186,0.177112340530117,0.0539655086547542,0.121098857326883,0.081110292243002
