"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__C18-neg_Cluster_0001: NA",0,0,1.95387792556918e-06,1.95776921032973e-09,0,0,0,0,0,0,0,0.0381153662287703,0.000314089154487382,0,0,0.0025620940812635
"m__C18-neg_Cluster_0012: NA",0,0,0,1.32274856008417e-06,0,0,0,0,0,0,0,0,0,0,0,8.81832373389447e-08
"m__C18-neg_Cluster_0016: NA",0,0,4.80497224724716e-07,0,0,0,0,0,0,0,0,0.000370571388945222,0,0,0,2.47367924113298e-05
"m__C18-neg_Cluster_0017: NA",0,0,0,5.1743857412263e-06,0,0,0,0,0,0,0,0,0,0,0,3.44959049415086e-07
"m__C18-neg_Cluster_0018: NA",0,0,1.0655879932014e-05,0,0,0,0,0,0,0,0,0,0,0,0,7.10391995467598e-07
"m__C18-neg_Cluster_0020: NA",0,0,0,0,0,0,0,0,0,0,0,2.92120675699391e-08,8.75207067372339e-07,0,0,6.02946089961519e-08
"m__C18-neg_Cluster_0028: NA",0,0,0,9.95197658935992e-05,0,0,0,0,0.00630754984648752,0,0,0,0,0,0,0.000427137974158741
"m__C18-neg_Cluster_0035: NA",0,0,0,0,0,0,0,0,0,0,0,0.000508083033364069,0,0,0,3.38722022242712e-05
"m__C18-neg_Cluster_0037: NA",0.000400447876998904,0,0.000696551774646306,0.000364070052570878,0,0,0,0,9.81484768809557e-06,0,0,0,0.000232365529446542,0,0.00131614836289481,0.000201293229616369
"m__C18-neg_Cluster_0045: azelate",0,0,0,0,0,0,0,0,0,0,0,0.000538012941042869,0,0,0,3.58675294028579e-05
"m__C18-neg_Cluster_0046: NA",0.00059410763923613,0,0,0,0,0,0,0.00969019024406485,1.43830074369688e-06,0,0,1.82235807326722e-06,3.41891151115777e-07,0.000166237227158687,0,0.000696942510695183
"m__C18-neg_Cluster_0049: NA",0,0,0.0184543960485524,1.36267625323161e-05,0,0.0243095107761876,0,0,0,0,0,5.8174095508397e-08,5.30112087783682e-10,0,0,0.00285183948609866
"m__C18-neg_Cluster_0053: NA",0,0,0.0144142089860227,0.000912710554622539,0,0,0,0,0,0,0,0,0,0,0,0.00102179463604301
"m__C18-neg_Cluster_0063: NA",0,0,0,8.32322870632826e-09,0,0,0,0,0,0,0,0,0,0,0,5.54881913755217e-10
"m__C18-neg_Cluster_0064: sebacate",0,5.59110273817141e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.72740182544761e-06
"m__C18-neg_Cluster_0066: NA",0,0,0,5.39574526724081e-10,0,0,0.000893930179197799,0,0,0,0,6.4912333069724e-08,0,0,0.00437491667598165,0.000351260820472469
"m__C18-neg_Cluster_0069: NA",0,0,0,0,0,0,0,0,0.000125400905008481,0,0,0,6.63969729522604e-08,0,0,8.36448679876221e-06
"m__C18-neg_Cluster_0070: NA",0.000498472935357849,0.0304016626363501,1.14451311457589e-05,3.56567413672146e-05,0,0,0,0,0.0218902578906684,0,0.00139348598898139,1.99701095151704e-05,0.0023664883772046,0,0,0.0037744959873727
"m__C18-neg_Cluster_0072: NA",0.00895543311366476,0,4.75895676564488e-05,0.000547184399253899,0,0,0.000906666689141004,0,2.06483328535036e-05,0.00422576855811958,0.00693074490402009,0,0.00162925627049993,0,0.0478957311966742,0.00474393486879223
"m__C18-neg_Cluster_0073: NA",0.0116753413967906,0,0,0.000367235151386033,0,0,0,0,0,0,0.0055887878993851,0,0,0.000292352229321146,0,0.00119491444512553
"m__C18-neg_Cluster_0075: NA",0,0,0,0,0,0,0,0.000719356813681504,0,0,0,0,0,0,0,4.79571209121002e-05
"m__C18-neg_Cluster_0076: NA",0,0.0475913500266414,0,0.000229807256939927,0,0,0.269215335534695,0,0.00349315434175456,0.0122593735566129,0,0,0.0117899506989495,0,0,0.0229719314277062
"m__C18-neg_Cluster_0078: NA",0,0,0,0,0,0,0,0,6.15226015702556e-07,0.000741248938844071,0,0.03701509257248,2.55996745920665e-05,0,0,0.00251883709412879
"m__C18-neg_Cluster_0079: undecanedionate",0,0,1.05032894019546e-07,0,0,0,0,0,0,0,0,0,0,0,0,7.00219293463643e-09
"m__C18-neg_Cluster_0081: NA",0,0,0,0,0,0,0,0,2.94865454083077e-07,0,0.000635016125359526,0,2.37565376832055e-08,0,0,4.23556498234195e-05
"m__C18-neg_Cluster_0091: NA",0,0,0.000589529871104629,1.06969867888282e-05,0,0,0,0,0,0.000477213076904041,0,0,0,0,0.000240955928043123,8.78930575227081e-05
"m__C18-neg_Cluster_0093: NA",0,0,0.103663342919634,2.9040490805608e-10,0,0,0,0,2.6125852766642e-05,0,0,0,8.79754158424336e-06,0,0,0.00691321777362597
"m__C18-neg_Cluster_0095: NA",0,0,2.17022922468506e-06,0,0,0,0,0,0,0.000764914993601377,0,2.25698741354545e-06,0,0,0,5.12894806826405e-05
"m__C18-neg_Cluster_0101: NA",0,0,0,0.0443391026329142,0,0,0,0,0,0.000202268905328208,0,0.00660116772567328,0,0,0,0.00340950261759438
"m__C18-neg_Cluster_0102: NA",0.000571270376857084,0,0,6.56830033570679e-10,0,0,0,0,0,0,0,6.98089234235989e-08,0,0,0,3.80893895073694e-05
"m__C18-neg_Cluster_0114: NA",0.000294119115679017,0,0,1.74057685558255e-08,0,0,0.0589083097663244,0,0,0.000281004818411342,0,7.47548871301547e-07,0,0,0.0141199838621702,0.00490694550114832
"m__C18-neg_Cluster_0116: NA",0.000522915439670862,0.000201491306289511,0,0,0.00442901369833063,0,0,0,0,0,0,0,0,0,0,0.000343561362952733
"m__C18-neg_Cluster_0120: NA",0,0,0.0319272769583034,0,0,0,0,0,0,0,0,0,0,0,0,0.00212848513055356
