"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__C18-neg_Cluster_0001: NA",0,0,0,0,0,0,0,0,0,0.00437677252015284,0.00543150604846734,0.00157433973033904,0,0,0.00304892548203321,0.000962102918732828
"m__C18-neg_Cluster_0006: NA",0.00875402174705036,0,0,0.000895171752377825,0.0107065485248461,0,0,0,0,0,0,0.000256761477774877,0,0,0,0.00137416690013661
"m__C18-neg_Cluster_0011: NA",0,0,0,0,0,0,0.0116045658756614,0,0,0.000333686575545452,0,0,0,0,0,0.000795883496747123
"m__C18-neg_Cluster_0012: NA",0,0.000278862188765664,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85908125843776e-05
"m__C18-neg_Cluster_0016: NA",0.0116158635441043,5.03376008264087e-07,0,0,0.000460334806733436,0.00115878052351507,0,0,0,0,0.000210453799517248,0.000247308092122257,0,0,0.00423416638053702,0.0011951607015025
"m__C18-neg_Cluster_0017: NA",0,2.12393745699401e-09,0,0,0,0,0,0,0,0,0,0,0,0,0.0443483985425428,0.00295656004443202
"m__C18-neg_Cluster_0018: NA",0,0,0,0,0,0,0,0,0,0,0.000415794980756376,0,0,0,0,2.77196653837584e-05
"m__C18-neg_Cluster_0020: NA",0,1.91440331264218e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27626887509478e-06
"m__C18-neg_Cluster_0023: NA",0,0.000581735458535569,0,0,0,0,0,0,0,0,0,0.000203930341131022,6.22211872189918e-05,0,0,5.65257991257055e-05
"m__C18-neg_Cluster_0024: NA",0,0.000457405105095641,0,0,0,0,0,0,0,0,0,0,8.35090347079247e-06,0,0,3.10504005710956e-05
"m__C18-neg_Cluster_0035: NA",0,3.92338832547418e-08,0,0,0,0,0,0,0,0,0,0,0,0.00670981414176108,0.000960307935762548,0.000511344087427125
"m__C18-neg_Cluster_0037: NA",0,0,0,0,0,0.000715820764696482,0,0,0,0,0.000387197018896989,0,0,0,0.0297515708870005,0.0020569725780396
"m__C18-neg_Cluster_0045: azelate",0,0.000377421238735602,0,0,0,0,0,0,0,0,0,0,6.25160201933117e-05,0,0.00161345061311697,0.000136892524803059
"m__C18-neg_Cluster_0046: NA",0.0049716945496665,0.0118999975951432,0.000224736202570781,3.21078766855205e-05,0,0,0,0,0,0.00765061559435378,0.000379451735266266,0.00374101741105247,0.00247387965871336,0.0217454165100623,0,0.00354126114223428
"m__C18-neg_Cluster_0049: NA",0,1.36238447551117e-07,0.0916481551902907,0,0,0.00148160755367635,0,0,0,0.0155453725604981,0,0.000203760443109257,0.000598432640546283,0.00306701139357875,0.0889777508508317,0.0134348151247319
"m__C18-neg_Cluster_0050: NA",0,0.00979282759868632,0,0,0,0.00205795033311212,0,0,0,0,0,0,0.00732695935315588,0,0,0.00127851581899696
"m__C18-neg_Cluster_0053: NA",0,0,0,0,0,0,0,0,0.00815490972834241,0,0.00984865453741172,0,0,0,0,0.00120023761771694
"m__C18-neg_Cluster_0063: NA",0.00160595499961774,0,0.000694523189680805,0,0,0,0,0,0,0,0,0.000428126290932104,0,0,0,0.00018190696534871
"m__C18-neg_Cluster_0064: sebacate",0.000395788299231973,6.73432703329505e-06,0,0.000689072355535732,0,0,0,0,0,0,0,0,0,0,0,7.27729987867333e-05
"m__C18-neg_Cluster_0066: NA",0.000187613072213083,4.01657846968978e-08,0.00039567045074581,0,0.00899088843800253,0,0,0,0,0,0.000141535848261684,0,0,0,0,0.000647716531667187
"m__C18-neg_Cluster_0069: NA",0,6.69558250940963e-09,0,4.77136785102853e-06,0,0,0,0,0,0,0.000959561984486887,0.000194126177140428,0.000908360364331706,0.000922249567844366,0.00135173574968696,0.000289387460461592
"m__C18-neg_Cluster_0070: NA",0,0.053802960496256,0.00883549831933186,2.08521324146132e-06,0.0196286303247461,0.000610528293628666,0.012630044029483,0,0,0,0.00888457250730899,0.00347569874138596,0.00819951692549737,0.0598069184554408,0.0337778897857836,0.0139769562061403
"m__C18-neg_Cluster_0072: NA",0,0.00049226641732708,0,0,0,0,0.0488332567153397,0,0,0.000701667470934295,0,0.000801298721841822,0.00572993963332498,0,0.042901448388477,0.00663065848981633
"m__C18-neg_Cluster_0073: NA",0.0122527593045972,0.00908042237609028,0,0.000296848982082429,0,0,0,0,0,0,0,0.00267547682388077,1.23277098903297e-05,0,0.00096091665396735,0.00168525012336722
"m__C18-neg_Cluster_0074: NA",0,0,0,1.9477077949366e-06,0,0,0,0,0,0,0,0,0,0,0,1.29847186329107e-07
"m__C18-neg_Cluster_0075: NA",0.260732159433648,1.73280152153089e-08,0,3.40080042653366e-05,0,0,0,0,0.0221741087782908,0,0,0.000300986849958161,0,0.00051142428152821,0.0284746225120128,0.0208151551458479
"m__C18-neg_Cluster_0076: NA",0,0.00180357053228555,0.0122304978023961,0,0,0,0.615500427630469,0.0318557841491783,0.000550923051686932,0.169138642554459,0,0,0.0279165761678878,0,0.0697756183732183,0.0619181360174388
"m__C18-neg_Cluster_0078: NA",0,2.33242539253662e-05,0,0,0,0,0,0,0.00159855333015314,0,0,0,0,0,0,0.000108125172271901
"m__C18-neg_Cluster_0079: undecanedionate",0,3.41422786862388e-07,0,0,0,0,0,0,0,0,0,0,0.000145682270352997,0,0,9.73491287599062e-06
"m__C18-neg_Cluster_0081: NA",0.000122855761300762,7.58188126238116e-06,0.0039956540144065,2.59687602776126e-06,0,0,0,0,0,0,8.32266762730703e-05,0,0,0,0,0.000280794347284698
"m__C18-neg_Cluster_0085: NA",0,2.7337996427112e-05,0,0,0,0,0,0,0,0,0.00181115749415332,0,0,0,0,0.000122566366038695
"m__C18-neg_Cluster_0091: NA",0.000140136790830286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.34245272201906e-06
"m__C18-neg_Cluster_0093: NA",0,5.04501236489528e-08,0,0.0148747602744043,0,0.00221197822938318,0.0095776660601278,0,0,0.000486116072546918,0.000341065589467309,0,0.000681106296705559,0,0,0.00187818286485058
"m__C18-neg_Cluster_0095: NA",0,7.87910420172511e-05,0,0,0,0,0,0,0,0.0469416998262255,0,0,0.00126870698735822,0,0,0.00321927985704006
"m__C18-neg_Cluster_0101: NA",0,0.00640917570863587,0.000409833762262638,0.00207167668655494,0,0,0,0,0,0,0,0,0,0,0.0463288689884467,0.00368130367639334
"m__C18-neg_Cluster_0102: NA",0,0,0,0,0,0,0,0,0,0,0.00131894210998718,0.011473016345023,0.000242567690343814,0.00158451525547665,0.00589045634410925,0.00136729984966266
"m__C18-neg_Cluster_0103: NA",0,2.00964462206997e-05,0.000210445084923337,0.000165968922129802,0,0,0.0175044169040887,0.00123166740498793,0,0,0.00157162766690905,0.000258320963585904,0,0,0,0.00139750289285636
"m__C18-neg_Cluster_0109: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00328999270437106,0.000219332846958071
"m__C18-neg_Cluster_0110: NA",0,0,0.000100919893035646,6.15936961640577e-06,0,0,0,0,0,0,0,0.000508500733033396,0,0,0,4.10386663790298e-05
"m__C18-neg_Cluster_0114: NA",0,1.53157495643706e-07,7.29238989051088e-05,0,0.00177333907471463,0.000880225177290788,0,0,0,0.00439231317917764,0,0,0.0112546381149109,0,0.00129557358608387,0.00131127774590524
"m__C18-neg_Cluster_0116: NA",0,0.000125968797074471,0,0,0,0,0,0,0.00362308300533512,0,0.00136823398200035,0,0,0,0.00287437667425122,0.000532777497244077
"m__C18-neg_Cluster_0120: NA",0,5.42355644542622e-07,0.000177555914882643,0,0,0.0163099726938181,0,0,0,0,0,0,0,0,0,0.00109920473095635
"m__C18-neg_Cluster_0121: NA",0,0.00023616122259178,0,0,0,0,0,0,0,0,0,0,0,0.0608518762756534,0,0.00407253583321634
"m__C18-neg_Cluster_0122: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014894756543665,0.00099298376957767
"m__C18-neg_Cluster_0123: NA",0,0,0.0163812943319439,0,0,0,0,0,0,0,0,0,0.00709823392577907,0.379166339066227,0,0.0268430578215967
"m__C18-neg_Cluster_0124: NA",0,0,0,0,0,0,0,0.0940525752333771,0,0.0594599013255913,0.00279408734265428,0,0.000517979705129152,0,0,0.0104549695737835
"m__C18-neg_Cluster_0125: NA",0,0.000538429966209143,0.00219767699215328,3.66585665179157e-05,0.00328570808645506,0.000259502340033024,0.00338655133419457,0,0,0,0,0,0,0,0,0.000646968485704199
