"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__C18-neg_Cluster_0001: NA",0.0148700770789655,0.00537709099276044,0.0117293901176631,0,0.022388993439084,0.0665032813366126,0.00796692732455408,0.0466435125294225,0,0.0230698246511375,0,0,0,0.0686989756869841,0.0770228785435089,0.0229513967800462
"m__C18-neg_Cluster_0006: NA",0,0.142243887378983,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00948292582526555
"m__C18-neg_Cluster_0011: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0012: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0538734014461746,0.0483828442340568,0.00681708304534876
"m__C18-neg_Cluster_0016: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0017: NA",0,0.245107963439568,0.0944405986066211,0.297906848929963,0.134097877019085,0.0460078013348361,0,0.113735649385974,0,0.0663974668869379,0.0958612321839321,0,0.239021506464039,0,0.0179506820470706,0.0900351750865352
"m__C18-neg_Cluster_0018: NA",0,0,0,0,0,0.0208384703241783,0,0,0,0,0,0,0,0,0.0159366850739788,0.00245167702654381
"m__C18-neg_Cluster_0020: NA",0,0,0,0,0,0,0,0,0,0,0.0466637438347455,0,0,0,0.109251601948701,0.0103943563855631
"m__C18-neg_Cluster_0023: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0024: NA",0,0,0,0,0,0.0227724790943865,0,0,0,0,0,0,0,0,0,0.0015181652729591
"m__C18-neg_Cluster_0028: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0893502474646813,0,0.00595668316431209
"m__C18-neg_Cluster_0035: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0037: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0.014139678449804,0,0.000942645229986936
"m__C18-neg_Cluster_0045: azelate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0046: NA",0,0,0.0822090903563462,0,0.0366993430382048,0.309051834464653,0,0,0.0498675066632,0,0,0,0,0,0.159050576676535,0.0424585567465959
"m__C18-neg_Cluster_0049: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0050: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0053: NA",0,0,0,0,0,0.00411369271491522,0,0,0,0,0,0,0.0111670612266354,0.0298638219944688,0.0303992581266692,0.00503625560417923
"m__C18-neg_Cluster_0063: NA",0.0111311654342409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000742077695616058
"m__C18-neg_Cluster_0064: sebacate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0066: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0069: NA",0,0,0,0,0,0,0,0,0,0,0,0,0.0764434099384073,0.0187985824988841,0,0.0063494661624861
"m__C18-neg_Cluster_0070: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0072: NA",0.188410862867493,0.296524885112031,0.23406832816138,0.202683489581653,0.280135565499077,0.199377113960657,0.195331072424253,0.274363188637895,0.224523488616133,0.178479856181158,0.168045354479268,0.194804504097902,0.211167214152964,0.286790036102432,0.193199256581255,0.221860281097037
"m__C18-neg_Cluster_0073: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0074: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0075: NA",0,0,0,0.141703767623639,0,0.224174714628055,0,0,0.0983018989990869,0.121413250960976,0,0,0,0,0,0.0390395754807838
"m__C18-neg_Cluster_0076: NA",0,0.0580214122055184,0.0365918320698023,0,0,0.00959945495186107,0.0116511673249819,0.0391652213473273,0,0.0214890657042206,1.24314420977767e-05,0,0.0651789094244149,0.083870007648523,0.0992000956641295,0.0283186398521918
"m__C18-neg_Cluster_0078: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0079: undecanedionate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0081: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0085: NA",0,0,0,0,0.0194706392338097,0,0,0,0,0.0130256174037198,0.0753593799759709,0,0,0,0.133899862036272,0.0161170332433182
"m__C18-neg_Cluster_0091: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0.038363860857433,0.0269043194366383,0.00435121201960476
"m__C18-neg_Cluster_0093: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0095: NA",0.0399688758405968,0,0,0.00786146116791702,0,0,0,0.0125751719124905,0.0288103883634676,0.00231441774296828,0,0.104822147376962,0,0,0.102799718730187,0.019943478742306
"m__C18-neg_Cluster_0101: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0102: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12927137924683,0.00861809194978864
"m__C18-neg_Cluster_0103: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0109: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0110: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0114: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0116: NA",0,0,0,0,0,0.381846967778411,0,0,0.0746403776964048,0.0288986958822477,0,0,0,0,0.185775300504467,0.0447440894574354
"m__C18-neg_Cluster_0120: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0121: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0122: NA",0.00317444001005914,0,0.0256939847757471,0,0.00828137560681399,0.0448149692821848,0,0.0559991537333533,0,0,0.0304959214842572,0,0.0519361152809943,0.123321389920997,0.0399665259537782,0.025578925069879
"m__C18-neg_Cluster_0123: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0124: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0125: NA",0.416661652556203,0.654687985903037,0.459497399544366,0.0296042272719237,0.332409014651206,0.518008636347913,0.258911107562371,0.497314722983071,0.363985719843864,0.565272656406571,0.384253161778763,0,0.48187026291339,0,0,0.330831769850845
"m__C18-neg_Cluster_0127: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0128: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0129: NA",0,0,0,0,0,0,0,0.370790899174408,0.0694220318313774,0.00334020241614981,0,0,0,0,0,0.0295702088947957
"m__C18-neg_Cluster_0131: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0134: NA",0,0,0,0,0,0.158366835820404,0,0,0,0,0,0,0,0,0.0468008834437459,0.0136778479509434
"m__C18-neg_Cluster_0135: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0136: NA",0,0,0,0,0,0,0,0,0,0,0.00928977196768807,0,0,0,0,0.000619318131179205
"m__C18-neg_Cluster_0137: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0140: NA",0.170436997486394,0.16481576736028,0.172852356244309,0,0.43369298870066,0.00786027429287022,0.297869785752994,0.147611450654135,0.159597774143142,0,0.100621850822545,0,0.0267005900510038,0.0896921294813302,0.221138734466613,0.132859379963752
"m__C18-neg_Cluster_0141: NA",0,0.0976370427099378,0.0250941567460119,0,0.122773451534377,0,0,0.0443237487396267,0.0611748163494035,0,0,0,0,0.0823473835867812,0.199883485318654,0.0422156056656528
"m__C18-neg_Cluster_0148: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0151: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0158: NA",0,0,0,0.122781307400768,0,0,0,0,0,0,0,0,0,0,0,0.00818542049338456
