"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__C18-neg_Cluster_0001: NA",0.0306017905124553,0.0195719771429172,0.111105885568778,0,0.0499755512002352,0,0.077866828931604,0.0434722528666302,0,0.0606659732618729,0.00771333327133209,0,0.027640072635594,0.0735806632338171,0.0145424702843538,0.034449119927306
"m__C18-neg_Cluster_0006: NA",0,0.0126728186578859,0,0,0,0,0.0195925221401044,0.0261272630865101,0.0436558460156704,0,0.0271098771950049,0,0.0156565920665513,0.0339211147925578,0.0239446904236977,0.0135120482918655
"m__C18-neg_Cluster_0011: NA",0,0,0.0795628852438463,0.135365318864914,0,0.0449306614112528,0,0.144708966887651,0.221866266740221,0.0135487828896103,0.00824139288982849,0,0,0.0532032948383471,0,0.0467618379843781
"m__C18-neg_Cluster_0012: NA",0,0.0326682877743506,0.0645323852952299,0.0118539698696835,0,0.0941484906149978,0.0382508783235824,0.0184619851662766,0,0,0.0548098231719232,0,0,0.0185813443900653,0.128043729001008,0.0307567262404745
"m__C18-neg_Cluster_0016: NA",0.011046778501694,0.0629990742527812,0.034432406540871,0.00606341169804784,0,0.0233319164004058,0,0.0945456889498359,0,0,0.00694413660161477,0.103359659801429,0.0105056659192125,0,0,0.0235485825777261
"m__C18-neg_Cluster_0017: NA",0,0,0.0126118257723992,0,0,0.0709847001318469,0,0.0626644474655276,0.0121478481116249,0,0,0.00876330003507135,0,0,0,0.011144808101098
"m__C18-neg_Cluster_0018: NA",0,0,0.0420641483114725,0.0748458720499099,0.0435664094074549,0.0816261404556881,0,0.0431222347276074,0,0.0293850807987197,0.0818354332223236,0,0.0125849122990567,0,0.0618849935205145,0.0313943483195165
"m__C18-neg_Cluster_0020: NA",0,0.034250960000105,0.17532675941067,0.0207446225746652,0.0143037320892524,0.0868623926407257,0.0711336666877598,0.0385937000449306,0.022796611653271,0.00663534082551735,0,0.0799499760798106,0.0474851185656907,0.0567301350928788,0.066192101224681,0.0480670077926639
"m__C18-neg_Cluster_0023: NA",0.0353686751844433,0.119085832756905,0.491242399535658,0.10287225766988,0.0161984556215835,0.128148839393353,0.150390200560953,0,0.335974730532739,0.0999534973860683,0,0,0.308765882689698,0.0398197315557607,0.180658533466511,0.13389860242357
"m__C18-neg_Cluster_0024: NA",0.00914216151864332,0,0.0110353475508493,0,0,0.0130094140279231,0.00779753312749319,0.0913896474064706,0,0,0.0305053189260998,0.0124877025499767,0,0,0.187694336568837,0.0242040974450862
"m__C18-neg_Cluster_0028: NA",0,0.164982868603435,0,0.0786982331113023,0.0218782871480201,0.0420145300413389,0.0493145815005999,0.196790616956504,0,0.147361026835179,0,0.0417099376669261,0.061747587443535,0.158113105794223,0.0357600822438285,0.0665580571563261
"m__C18-neg_Cluster_0035: NA",0,0,0.1187405885342,0.132796212423932,0.0505240683733906,0.047500422206892,0.0207043646883953,0,0.288636712241439,0.01018583021461,0,0.0610393175170109,0,0,0.122868614381767,0.0568664087054424
"m__C18-neg_Cluster_0037: NA",0,0.0245143956133508,0,0,0,0.0577172289951791,0.0701119628457882,0.0712421535272535,0.00843600563307281,0.0201280382996281,0,0,0.163807208701917,0.0341656594328312,0.121064314866013,0.0380791311943356
"m__C18-neg_Cluster_0045: azelate",0.0327498591706259,0,0,0.23078391659151,0.0172427527097002,0.1802168451279,0,0.353124149344534,0.126922353313881,0.316040024338185,0,0,0.171086741159064,0.104667278088634,0,0.102188927989602
