"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__C18-neg_Cluster_0001: NA",0.0295922924273043,0.0111968075592026,0.0483306599624786,0,0.067255604888853,0.0481986132555247,0.0667844552193028,0.0725125937265829,0,0,0,0,0.09177401084177,0.0184855126212153,0.0588384527587353,0.0341979335507313
"m__C18-neg_Cluster_0006: NA",0.131550373918643,0.160030355338492,0.127212771433248,0.0127214486207789,0.00488463251133281,0.00613011025884079,0.011086151256358,0.0715178429565519,0.00740286518153771,0.0302055734086678,0.0108976605712414,0.0229483066092708,0.048415108470076,0,0.0198171758918201,0.0443213584284573
"m__C18-neg_Cluster_0011: NA",0.177867499384324,0.0785017963858785,0,0.0219821648712446,0,0.111151794396,0.029922135644691,0.0464495352424002,0.0192865900432222,0.0329592407863438,0.023955633396817,0.0661048536302638,0.0622122838309006,0.00702385626367421,0.00686309121794637,0.0456186983395804
"m__C18-neg_Cluster_0012: NA",0.0665826579614348,0.0461003442130224,0.0310926643010006,0.0254964612357505,0.023905297353153,0,0,0.0467015218712017,0,0,0.15873287380561,0,0,0,0,0.0265741213827449
"m__C18-neg_Cluster_0016: NA",0.011414169936246,0.0919872863528357,0.115708555965669,0.0133831848295449,0.0307034043569491,0.0198441145795534,0.0247587212251695,0.168201192442756,0.0550915485190522,0.0648822740279105,0.0050195285055415,0.0662162421870994,0.0208152673256218,0.0831363009974247,0.0448740579634955,0.0544023899476579
"m__C18-neg_Cluster_0017: NA",0,0.061740656578284,0.0323018234682618,0.00560455428747601,0.0174710655746792,0,0,0.0687156580801165,0,0.0416451344932439,0.03976725033678,0,0.0138543905393774,0.00702385626367421,0.0147363343900494,0.0201907149341295
"m__C18-neg_Cluster_0018: NA",0.199514429151263,0.0237278500851096,0.0202652568960039,0.0177922358332572,0.0329563275541928,0.00650139985929624,0.0215989557845564,0.0427793720979974,0,0.0157886122965564,0.0584530795821886,0,0.00718375805745493,0.0150511205650162,0.0376270175865032,0.0332826276899597
"m__C18-neg_Cluster_0020: NA",0.398880127892625,0.180926724404879,0.307099319286515,0.0304359800946194,0.0392178995647761,0,0.0151048534047925,0.0926017993024172,0.0572699515079541,0.139323442935508,0.141566183625962,0.125596386219813,0.150554239316221,0.0997389314464643,0.186743643941726,0.131003965529618
"m__C18-neg_Cluster_0023: NA",0.409807497459341,0.365262249310872,0.632129393260835,0.436860307464046,0.0284559162781094,0.396917568218716,0.144398828147764,0.421523140149809,0.306115112327395,0.165942087699653,0.645819223411832,0.281410535688345,0.269274818266941,0.201999637856074,0.127194224893381,0.322207369362207
"m__C18-neg_Cluster_0024: NA",0.0574470193499309,0,0.071640126752611,0.0211239754788074,0.015898999938848,0.010402239774874,0,0.114454347563955,0.00679321746070518,0.0402793150651909,0.157555502826706,0.126634235636794,0.0322289509214001,0.0350691109164877,0.00998267813519471,0.0466339813214336
"m__C18-neg_Cluster_0028: NA",0.0360546732828114,0.0198727429619654,0.0994857683947785,0,0,0.0363132733959237,0.0370656715031654,0,0,0.0298404772404915,0.0385926902002507,0.0675890040590868,0,0,0,0.0243209534025649
"m__C18-neg_Cluster_0035: NA",0.0106532252738296,0.130313344441636,0.0273377932440951,0.00730667818219094,0.015514790620287,0,0.0441630939689971,0.103893323458992,0.0408024501865355,0.0861302829374921,0.117282390895095,0.0659197083950051,0.0218933578893865,0.261463301656798,0.0747977459086241,0.0671647658039309
"m__C18-neg_Cluster_0037: NA",0,0,0,0,0,0.0221638631566917,0.0754642744088496,0.0238805789756449,0,0,0.0109066298392013,0,0.0445549835286289,0.015803676593267,0.0425984972148395,0.0156915002478082
"m__C18-neg_Cluster_0045: azelate",0.117812851542106,0.0643861570780056,0.297140507726796,0,0.0282223211765896,0.117215813618245,0.199360536178015,0.0867525055410341,0.16761992618441,0.554937788323642,0.0118741534539691,0.0175519147301888,0.418058147680124,0.0287476402791809,0.131267588721472,0.149396523482252
"m__C18-neg_Cluster_0046: NA",0.100633750450185,0.10061131363912,0.00712540223564598,0.0603920663141126,0.0057105365591427,0.0402076769880428,0.0293115693078722,0.0778719874624331,0.0135366677605261,0.0981816386707711,0.0776155642290295,0.0264319947699671,0.0222179486890604,0.0491177630682895,0.0235168859915645,0.0488321844090509
