"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000185285",0.0409503657931803,0,0,0,0.0289349838297273,0.0886767249043374,0.04174057533769,0.0796224308272294,0.323295245866343,0.024550052020929,0.0928673959012521,0.0160895885741871,0.0237514918824237,0.00441593133115914,0,0.0509929857512306
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum",0,0,0.0248289627665417,0.0409748678368441,0.0252094742455569,0.0501745834089343,0.0165805275933647,0.0595771795532173,0.0618522564931896,0.102494673373846,0.0391153433823209,0.042045667793611,0.08244911263009,0.0233784599884896,0,0.0379120739377337
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum;s__Varibaculum timonense_A",0.0149944986553067,0.0137085581496202,0,0,0.0541307861916075,0.0526207492099451,0.0480902833052162,0.112933619737726,0,0.0969994457996586,0.0749872139300387,0,0.183791145323809,0,0,0.0434837533535286
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium angulatum",0,0,0,0,0.0365713689982861,0.162373885708968,0.00694352414582668,0.0120060254713079,0.160574003027622,0.0255509387571668,0.0691163710373039,0.0169908419286641,0,0.0270151093200324,0,0.0344761378930119
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium apri",0,0.0111471234487871,0.00697675972799558,0,0,0.0574488471516568,0.00694352414582668,0.054330297082282,0.0637104787912683,0.0176760374550689,0.0984785826867876,0.0569628867223801,0,0,0,0.0249116358141369
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium criceti",0,0,0,0.0100498793091906,0,0.00520205125269418,0.00883721254923396,0.0406870863194322,0,0.0220950468188361,0.0546773617172227,0.00836268001176434,0.0525360758239456,0.0187027679907917,0.00741311335238606,0.0152375516763665
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium gallicum",0.0140208299114556,0.0422475783795174,0,0.0431629431869085,0,0.177403224837678,0.0202489781073168,0.0114343099726741,0.0498440804661099,0.126155745631944,0.00490694271821229,0.00944621662458433,0.053868383589337,0,0,0.0368492822283825
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium pseudolongum_C",0.0109050899311321,0.00563043480321388,0,0,0,0,0,0.0163415346692801,0.104325909020702,0.0252514820786698,0.047106650094838,0,0.0781752040924285,0,0,0.0191824203126843
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium pullorum_C",0.00568212580622143,0,0.0201130016158501,0.065949556143147,0.0813352513123548,0.146578232709447,0.00879513058471379,0.128991540175758,0.0393605268593025,0.0291956772495047,0.06024458980722,0,0.0593989515644732,0,0.0387149490666517,0.0456239688596429
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium sp002451435",0,0,0,0.0296514758066422,0,0.0597499716908479,0.0221239739940556,0.0560644604714429,0.151466332360631,0.0128887773109877,0.068542293569562,0,0,0,0.0226100704688121,0.0282064903781988
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium sp012932675",0,0.0432447173553268,0,0.0124127973610539,0,0.0652423688727699,0,0,0.058562157272782,0.031677486478618,0,0,0,0.0077928199961632,0.0137279876896038,0.0155106890017545
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium thermophilum",0,0.00796223103484791,0.0331844492183766,0,0,0.153540946806736,0.0198937477511383,0,0.236952875698306,0,0.139679795676116,0,0.0199512531812359,0.0531354028151551,0.0273799811616402,0.0461120455562368
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Scardovia;s__Scardovia wiggsiae",0.0306705654313091,0.0199508175361814,0.0269089905115342,0.013609211564529,0,0.0240094673201271,0,0.00889335220096878,0,0.0944106940504429,0.0518733944496728,0,0.0405871081873182,0,0.00658943409100983,0.0211668690228729
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Cellulomonadaceae;g__Cellulomonas",0.0194733748770217,0.0095546772418175,0,0,0.00823333097010428,0.0807198291302671,0.00891514211316019,0.04603320372206,0.114590375048184,0,0,0.0091750546414786,0.0267600141875307,0.0124685119938611,0,0.0223949009283657
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__Tetrasphaera",0,0.0102371541876616,0,0.0121136938101851,0,0.152972235014437,0,0,0.00688635322229144,0.060494043961565,0,0,0,0,0,0.016180232013076
