"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__C18-neg_Cluster_0017: NA",0,0,0.0105694321300528,0,0,0,0,0,0,0,0,0,0,0,0,0.000704628808670187
"m__C18-neg_Cluster_0020: NA",0,0,0,0,0,0,0,0,0,0,0,0,0.0791068844788399,0,0,0.00527379229858933
"m__C18-neg_Cluster_0072: NA",0,0,0.0300927022365916,0,0,0,0,0,0.0816175783107402,0,0.00318341938645925,0.0464477140324574,0,0.0522189301854489,0.0299586717860185,0.0162346010625144
"m__C18-neg_Cluster_0095: NA",0,0,0,0,0,0,0,0,0,0,0,0.34948866130702,0,0,0.0345658374326585,0.0256036332493119
"m__C18-neg_Cluster_0124: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0323869349558031,0.00215912899705354
"m__C18-neg_Cluster_0129: NA",0,0,0,0,0,0.0882162702766447,0,0,0,0,0,0,0,0,0,0.00588108468510964
"m__C18-neg_Cluster_0160: NA",0,0,0,0,0,0,0.516861416585638,0,0,0,0,0,0,0,0,0.0344574277723759
"m__C18-neg_Cluster_0191: NA",0,0,0,0,0,0,0.331334977122267,0,0,0,0,0,0,0,0,0.0220889984748178
"m__C18-neg_Cluster_0230: NA",0,0,0,0,0,0,0,0,0,0.10538902958788,0,0,0,0,0,0.00702593530585868
"m__C18-neg_Cluster_0234: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0.280949079852376,0.0192379778814122,0.0200124705155859
"m__C18-neg_Cluster_0239: NA",0,0,0.0150510827279802,0,0,0,0.158381881461258,0,0,0,0,0,0,0,0,0.0115621976126159
"m__C18-neg_Cluster_0274: NA",0.0691350902895294,0,0.222044886759301,0.186158581941196,0.0934185210351655,0.0579712459467239,0.207565389753995,0,0.197689595819409,0,0.0496021169401544,0.239351027462431,0.307909246939873,0.0228768938477146,0,0.1102481731157
"m__C18-neg_Cluster_0279: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0234343736276652,0,0.00156229157517768
"m__C18-neg_Cluster_0319: NA",0,0,0,0,0,0,0.062097113438312,0,0,0,0,0.0440129910170837,0,0,0,0.00707400696369305
"m__C18-neg_Cluster_0348: NA",0,0,0,0,0,0,0,0,0,0,0,0,0.0554432689581215,0,0,0.00369621793054143
"m__C18-neg_Cluster_0365: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0214512321499863,0.00143008214333242
"m__C18-neg_Cluster_0399: NA",0,0,0,0,0,0,0,0,0,0,0,0,0.174067629747867,0,0,0.0116045086498578
"m__C18-neg_Cluster_0404: NA",0,0,0,0,0.227619074491476,0,0,0,0,0,0,0,0,0,0,0.0151746049660984
"m__C18-neg_Cluster_0413: NA",0,0,0.0240941968316324,0,0,0,0,0,0,0,0,0,0,0,0,0.0016062797887755
"m__C18-neg_Cluster_0416: NA",0,0.274249608303874,0.409933526338294,0.1364108716273,0,0,0,0,0,0,0,0.0202135166558152,0.118375588859611,0.0271394757801425,0,0.0657548391710024
"m__C18-neg_Cluster_0418: NA",0,0,0,0,0,0,0,0,0.096083323247182,0,0,0,0,0,0,0.00640555488314547
"m__C18-neg_Cluster_0423: NA",0,0,0,0,0,0,0,0,0,0,0.0673392133588867,0,0,0,0,0.00448928089059245
"m__C18-neg_Cluster_0453: NA",0,0,0,0,0,0,0,0,0.0145802392908079,0,0,0,0,0,0,0.000972015952720525
"m__C18-neg_Cluster_0467: NA",0,0.382940082453129,0,0,0,0,0,0,0,0,0,0.0274611308295862,0,0,0,0.0273600808855143
"m__C18-neg_Cluster_0485: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.540067685097856,0.0360045123398571
"m__C18-neg_Cluster_0489: NA",0.00558765325558049,0,0,0,0,0.0553666789230557,0.0299309487450205,0,0,0,0.0189089328587009,0,0,0,0,0.00731961425215718
"m__C18-neg_Cluster_0500: NA",0.714854289652793,0,0,0,0,0.0347428463498162,0,0,0,0,0,0,0,0.404299714133872,0,0.0769264566757654
"m__C18-neg_Cluster_0512: NA",0,0,0,0,0,0,0,0,0,0.0916481652066274,0,0,0,0,0,0.00610987768044183
"m__C18-neg_Cluster_0545: NA",0,0,0.00217378050980471,0,0,0,0,0,0,0,0,0,0,0,0,0.000144918700653647
"m__C18-neg_Cluster_0557: NA",0,0,0,0,0,0,0.142170253454621,0,0,0,0,0,0,0.00690176899024256,0,0.00993813482965757
"m__C18-neg_Cluster_0566: NA",0,0,0,0,0,0,0,0,0,0,0.00578559696849542,0,0.0250607078593821,0,0,0.0020564203218585
"m__C18-neg_Cluster_0571: NA",0,0,0.0505048085951904,0,0,0,0,0,0,0,0.0122282724123775,0,0,0,0,0.00418220540050453
"m__C18-neg_Cluster_0578: NA",0,0,0,0,0,0,0,0,0,0,0.00592725247254562,0,0,0,0,0.000395150164836375
"m__C18-neg_Cluster_0586: NA",0,0,0,0,0,0,0,0,0,0,0.0278763164828556,0,0,0,0,0.00185842109885704
"m__C18-neg_Cluster_0623: NA",0,0,0,0,0,0.138521892594799,0,0,0,0,0.0678969332204024,0,0,0,0,0.0137612550543468
"m__C18-neg_Cluster_0629: NA",0,0,0,0,0,0,0,0,0.00310831416613356,0,0,0,0,0,0,0.000207220944408904
"m__C18-neg_Cluster_0680: NA",0,0,0,0,0,0.0377345110738604,0,0,0,0,0.000502758056913617,0,0,0,0,0.00254915127538493
"m__C18-neg_Cluster_0703: NA",0,0,0,0,0,0,0,0.198961182477082,0,0,0,0,0,0,0,0.0132640788318055
"m__C18-neg_Cluster_0706: NA",0.0752889543854739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00501926362569826
"m__C18-neg_Cluster_0738: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0150075598919997,0.0456965233425836,0.00404693888230555
"m__C18-neg_Cluster_0771: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0.60388999046019,0,0.040259332697346
"m__C18-neg_Cluster_0772: NA",0,0,0,0,0,0,0,0,0,0,0,0.444927050731061,0,0,0,0.0296618033820707
"m__C18-neg_Cluster_0848: NA",0,0,0,0,0,0,0,0,0,0,0.172408923368595,0,0,0,0,0.011493928224573
"m__C18-neg_Cluster_0855: NA",0,0,0,0,0,0,0,0,0,0,0.0053934974600912,0,0,0,0,0.000359566497339413
"m__C18-neg_Cluster_0858: NA",0.0402474412879015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00268316275252677
"m__C18-neg_Cluster_0905: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0157237323639272,0.00104824882426182
"m__C18-neg_Cluster_1012: NA",0,0,0,0,0,0,0,0,0,0,0,0,0.0532916567658457,0,0,0.00355277711772304
"m__C18-neg_Cluster_1041: NA",0,0,0,0,0,0,0,0,0.0229530480817545,0,0,0,0,0,0,0.0015302032054503
"m__C18-neg_Cluster_1065: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0283768462827407,0.00189178975218271
"m__C18-neg_Cluster_1080: NA",0,0,0,0,0,0.03164467834734,0,0,0,0,0,0.0100752452113307,0,0.0473477953110735,0.0196816276170139,0.00724995643245054
"m__C18-neg_Cluster_1096: NA",0,0,0,0,0,0,0.0350298381647248,0,0.0135962622046236,0,0,0,0.0454068232630574,0.0152171390096606,0,0.00728333750947109
"m__C18-neg_Cluster_1173: NA",0,0,0,0,0,0,0,0.136546451861981,0,0,0,0,0,0,0,0.00910309679079873
"m__C18-neg_Cluster_1240: NA",0.0461703326183461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00307802217455641
"m__C18-neg_Cluster_1274: NA",0,0.14968592367564,0,0,0,0,0,0,0,0,0.0120554936856812,0,0,0,0,0.0107827611574214
"m__C18-neg_Cluster_1300: NA",0,0,0,0,0,0,0,0,0,0,0,0.158191103612892,0,0,0,0.0105460735741928
"m__C18-neg_Cluster_1360: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0236390284284706,0,0.00157593522856471
"m__C18-neg_Cluster_1370: NA",0,0,0,0,0,0,0,0,0,0,0,0,0.0319692909657695,0,0,0.00213128606438463
"m__C18-neg_Cluster_1424: NA",0,0,0,0,0,0,0,0,0,0,0.0338142375545132,0,0.165737292425055,0,0,0.0133034353319712
"m__C18-neg_Cluster_1461: NA",0,0,0,0,0,0,0,0,0.0486497722520108,0,0.0101216074217437,0,0,0.0116538068658123,0,0.00469501243597112
"m__C18-neg_Cluster_1466: NA",0,0,0,0,0,0,0.0268421166145107,0,0,0,0,0,0,0,0,0.00178947444096738
"m__C18-neg_Cluster_1500: NA",0,0,0,0,0,0,0,0,0.0018920051018247,0,0,0,0,0,0,0.00012613367345498
"m__C18-neg_Cluster_1508: NA",0.443735382087494,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0595000681709975,0.0335490300172328
"m__C18-neg_Cluster_1512: NA",0,0,0,0,0,0,0,0,0,0,0.0297406664806219,0,0,0,0,0.00198271109870813
"m__C18-neg_Cluster_1584: NA",0,0,0,0,0,0,0,0,0,0,0.00549300176677596,0,0,0,0,0.000366200117785064
"m__C18-neg_Cluster_1586: NA",0.0287446577064584,0,0.0261270331929184,0,0,0,0,0,0,0,0,0,0,0,0,0.00365811272662512
"m__C18-neg_Cluster_1591: NA",0,0,0,0,0,0,0.0589183194815069,0,0,0,0,0,0,0,0,0.0039278879654338
"m__C18-neg_Cluster_1595: NA",0,0,0,0,0,0,0,0,0,0,0,0.0197776838828563,0,0,0,0.00131851225885709
"m__C18-neg_Cluster_1597: NA",0,0.0843596983864889,0,0,0,0,0.124683965417839,0,0.249027444470381,0.107443447906528,0,0,0,0,0,0.0377009704120824
"m__C18-neg_Cluster_1611: NA",0,0,0,0,0,0,0,0.163726548089201,0,0,0,0,0,0,0,0.0109151032059467
"m__C18-neg_Cluster_1649: NA",0,0,0,0,0,0.033242149115624,0,0,0,0,0,0,0,0,0,0.00221614327437493
"m__C18-neg_Cluster_1671: NA",0,0,0,0,0,0,0,0,0,0,0,0,0.0777791567768875,0,0,0.00518527711845916
"m__C18-neg_Cluster_1714: NA",0,0,0.308703152091597,0,0,0,0,0,0,0,0,0,0,0.0791756181442228,0.0554266357685246,0.029553693733623
"m__C18-neg_Cluster_1715: NA",0,0,0,0,0,0,0,0,0,0,0,0.0242771074099036,0,0,0,0.00161847382732691
"m__C18-neg_Cluster_1717: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0169429688415028,0.00112953125610019
"m__C18-neg_Cluster_1718: NA",0,0,0,0,0,0,0,0,0.0850617648275732,0,0,0,0,0.0397359904675738,0.0778505766069772,0.0135098887934749
"m__C18-neg_Cluster_1727: NA",0,0,0,0,0,0,0,0,0,0,0.000640188469363575,0,0,0,0,4.2679231290905e-05
"m__C18-neg_Cluster_1741: NA",0,0,0,0,0,0,0,0,0,0,0,0.0436159122386206,0,0,0,0.00290772748257471
"m__C18-neg_Cluster_1743: NA",0.0301848059632055,0,0,0,0,0,0,0,0,0,0,0,0.0795098828596692,0,0,0.00731297925485832
"m__C18-neg_Cluster_1747: NA",0.0557741838962286,0,0,0,0,0,0,0,0,0,0,0,0,0.0508385638883208,0,0.00710751651896996
"m__C18-neg_Cluster_1768: NA",0,0,0,0,0,0.0308092817854852,0,0,0,0,0,0,0,0,0,0.00205395211903235
"m__C18-neg_Cluster_1840: NA",0,0,0,0,0,0,0,0,0,0,0,0,0.0310232481951061,0,0,0.00206821654634041
"m__C18-neg_Cluster_1881: NA",0,0,0,0,0,0,0,0,0,0,0,0,0.0766202527955649,0,0,0.00510801685303766
"m__C18-neg_Cluster_1925: NA",0,0,0,0,0,0,0,0,0,0,0,0,0.0511017239795382,0,0,0.00340678159863588
"m__C18-neg_Cluster_1963: NA",0,0,0,0,0,0,0,0,0,0,0,0.0135508467453765,0.0449535184058103,0,0.0255696595638289,0.00560493498100105
"m__C18-neg_Cluster_2005: NA",0,0,0,0,0,0,0,0.833469327170361,0,0,0,0,0,0,0,0.0555646218113574
"m__C18-neg_Cluster_2020: NA",0,0,0,0,0,0,0,0.152257435240547,0,0.207085179129202,0,0,0.0804025909381208,0,0,0.0293163470205246
"m__C18-neg_Cluster_2038: NA",0,0,0,0,0,0,0,0,0,1,0.121127156067157,0,0,0,0.208761691054116,0.0886592564747515
"m__C18-neg_Cluster_2041: NA",0,0,0,0,0,0.0549944217558053,0,0,0,0,0,0,0.0425784835136976,0,0,0.00650486035130019
"m__C18-neg_Cluster_2065: NA",0,0,0,0,0,0,0,0,0.0376813461320564,0,0,0,0,0,0,0.00251208974213709
"m__C18-neg_Cluster_2083: NA",0,0,1,0,0,0.441591795868167,0,0.621561471556366,0.056573474375076,0,0.508759285074251,0,0,0,1,0.241899068458257
"m__C18-neg_Cluster_2109: NA",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0666666666666667
"m__C18-neg_Cluster_2111: NA",0,0,0,0,0,0.0443489552207655,0,0,0,0.0880309691485728,0.00403631191745149,0,0,0,0,0.00909441575245265
"m__C18-neg_Cluster_2129: NA",0,0,0,0,0,0,0,0,0,0.35251297946522,0,0,0,0,0,0.0235008652976813
"m__C18-neg_Cluster_2130: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0664829494544689,0.00443219663029792
"m__C18-neg_Cluster_2154: NA",0,0,0,0,0,0,0,0,0.0355516330398012,0,0,0,0,0,0,0.00237010886932008
"m__C8-pos_Cluster_0050: NA",0,0,0,0,0,0,0,0,0,0,0.00633559899602137,0,0,0,0,0.000422373266401424
"m__C8-pos_Cluster_0203: NA",0,0,0,0,0,0,0,0,0,0,0,0.0222323507686716,0,0,0,0.00148215671791144
"m__C8-pos_Cluster_0204: NA",0,0,0,0,0,0,0,0,0,0,0,0,0.0254770447440553,0,0,0.00169846964960369
"m__C8-pos_Cluster_0233: NA",0,0,0,0,0,0,0,0,0.155049235052938,0,0,0,0,0,0,0.0103366156701959
"m__C8-pos_Cluster_0245: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0502290030077785,0,0.00334860020051857
"m__C8-pos_Cluster_0257: NA",0,0,0,0,0,0,0,0,0,0,0.0156922427375202,0,0,0,0,0.00104614951583468
"m__C8-pos_Cluster_0285: NA",0,0,0,0,0,0,0,0,0,0,0,0.158910386227342,0,0,0,0.0105940257484895
"m__C8-pos_Cluster_0312: NA",0,0,0.00948681574255381,0.139978665605958,0.0625034830755414,0.0515737252024813,0,0.152874091565853,0,0.0906149160517583,0.156787918589311,0,0.319841245303919,0.0130342941476207,0.0203723278124797,0.0678044988731651
"m__C8-pos_Cluster_0346: NA",0,0,0,0,0,0,0,0,0.0145903591016411,0,0,0,0,0,0,0.000972690606776072
"m__C8-pos_Cluster_0367: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0158636098229331,0.00105757398819554
"m__C8-pos_Cluster_0426: NA",0,0,0,0,0,0,0,0,0,0,0,0.0160518435945363,0,0,0,0.00107012290630242
"m__C8-pos_Cluster_0602: NA",0,0,0,0,0,0,0,0,0,0,0.00663385096405803,0,0.0264896502926962,0,0.0178440546391452,0.00339783705972663
"m__C8-pos_Cluster_0682: NA",0,0,0,0,0,0,0,0.173118280912992,0,0.0848818811109362,0,0,0,0,0,0.0172000108015952
"m__C8-pos_Cluster_0702: NA",0,0,0.0608167303365943,0,0,0,0,0,0,0,0,0,0,0,0,0.00405444868910628
"m__C8-pos_Cluster_0785: NA",0.178156799920415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0118771199946943
"m__C8-pos_Cluster_0810: NA",0,0,0,0,0,0,0,0,0,0,0,0.0230122729211944,0,0,0,0.00153415152807963
"m__C8-pos_Cluster_0829: NA",0,0,0,0,0,0,0,0,0,0,0,0.0100978261016984,0,0,0,0.000673188406779897
"m__C8-pos_Cluster_0856: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0884759588986165,0,0.00589839725990777
"m__C8-pos_Cluster_0893: NA",0,0,0,0,0,0,0,0,0.00123372128546482,0,0,0,0,0,0,8.22480856976548e-05
"m__C8-pos_Cluster_0899: NA",0,0,0,0,0,0,0,0,0.0167836250449662,0,0,0,0,0,0,0.00111890833633108
"m__C8-pos_Cluster_0916: NA",0,0,0.123883309277097,0,0,0,0,0,0,0,0,0,0,0,0,0.00825888728513982
"m__C8-pos_Cluster_0954: NA",0.0416759535264635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00277839690176423
"m__C8-pos_Cluster_0959: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027648447219693,0.0018432298146462
"m__C8-pos_Cluster_1020: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0.209448383698513,0,0.0139632255799009
"m__C8-pos_Cluster_1034: NA",0,0,0,0,0,0.121211230425893,0,0,0,0,0,0,0,0,0,0.00808074869505952
"m__C8-pos_Cluster_1053: NA",0,0,0,0,0,0,0,0,0,0,0,0,0.0779185043915478,0,0,0.00519456695943652
"m__C8-pos_Cluster_1059: NA",0,0,0.0268228091695057,0.272531018769698,0,0,0,0,0.00327705240783535,0,0,0,0.377306434900593,0,0.0126292367889683,0.0461711034691067
"m__C8-pos_Cluster_1303: C14:0 CE",0,0,0,0,0,0,0,0,0,0,0,0,0.042631235750547,0,0,0.0028420823833698
