"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__C18-neg_Cluster_0006: NA",0,0.052400597311652,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00349337315411013
"m__C18-neg_Cluster_0016: NA",0.00821544390259719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000547696260173146
"m__C18-neg_Cluster_0020: NA",0.0467221973365454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00311481315576969
"m__C18-neg_Cluster_0023: NA",0,0,0,0,0,0.499841421114353,0,0,0,0,0,0,0,0,0,0.0333227614076235
"m__C18-neg_Cluster_0046: NA",0,0,0,0,0,0,0,0,0,0,0,0.10723588566744,0,0,0,0.00714905904449601
"m__C18-neg_Cluster_0049: NA",0.165772098305896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0110514732203931
"m__C18-neg_Cluster_0063: NA",0,0,0.0288587132445417,0.103196494050438,0,0,0,0.108034167416272,0,0,0,0,0,0,0,0.0160059583140834
"m__C18-neg_Cluster_0072: NA",0,0.113198879211964,0.0243489074504196,0.013064370327684,0,0.0552387066692864,0,0.0973961319683976,0,0.263537582393316,0,0.184788866609976,0.193733089286762,0.131886342997175,0.00768524757628536,0.0723252082994177
"m__C18-neg_Cluster_0073: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0607218204876413,0.00404812136584275
"m__C18-neg_Cluster_0079: undecanedionate",0,0,0,0,0.078463662850716,0,0,0,0,0,0,0,0,0,0,0.0052309108567144
"m__C18-neg_Cluster_0081: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0.16813484847102,0.177800289415127,0.0230623425257431
"m__C18-neg_Cluster_0085: NA",0,0,0,0,0,0,0,0.0478898207160935,0,0,0,0,0,0,0,0.00319265471440624
"m__C18-neg_Cluster_0093: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00353455253390318,0.000235636835593545
"m__C18-neg_Cluster_0095: NA",0,0,0,0,0,0,0,0,0,0,0,0.47087980914624,0,0.109842260465106,0,0.0387148046407564
"m__C18-neg_Cluster_0131: NA",0.0606883598380803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00404589065587202
"m__C18-neg_Cluster_0137: NA",0,0.018566292540229,0,0,0,0,0,0.0743631398107207,0,0,0,0,0,0,0,0.00619529549006331
"m__C18-neg_Cluster_0140: NA",0,0.015714864327205,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00104765762181367
"m__C18-neg_Cluster_0159: NA",0,0,0.440744572159742,0,0,0,0,0,0.0746367873025505,0.277096367938817,0,0,0,0,0,0.0528318484934073
"m__C18-neg_Cluster_0170: NA",0,0,0,0,0,0,0,0,0,0,0.00096661845144502,0,0,0,0,6.44412300963347e-05
"m__C18-neg_Cluster_0173: NA",0,0,0,0.00133906264328558,0,0,0,0,0,0,0,0,0,0,0,8.92708428857056e-05
"m__C18-neg_Cluster_0176: NA",0,0,0,0,0,0,0,0,0,0,0,0.0632243785038229,0,0,0,0.00421495856692152
"m__C18-neg_Cluster_0191: NA",0.134137757833209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00894251718888059
"m__C18-neg_Cluster_0197: NA",0,0.013262210213709,0,0,0,0,0,0.040445010661545,0,0,0,0,0,0,0,0.0035804813916836
"m__C18-neg_Cluster_0230: NA",0,0,0.128216191648012,0,0,0,0,0,0,0,0.00966366973806507,0,0,0,0,0.00919199075907181
"m__C18-neg_Cluster_0238: NA",0,0,0,0,0,0,0,0.0612605218136504,0,0,0,0,0,0,0,0.0040840347875767
"m__C18-neg_Cluster_0239: NA",0,0,0.0619414439958159,0,0,0,0.180363462382513,0,0,0,0.00499498226542875,0,0,0,0,0.0164866592429172
