"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__C18-neg_Cluster_0001: NA",0.0105568417517405,0.000536417608915054,0.00728691378820634,0.0110971415327551,0.000440921145427491,0,0.0153909422384952,0,0,0,0.0327821259069843,0,0.0272493474125189,0,0,0.00702271009233619
"m__C18-neg_Cluster_0006: NA",0.021039830851003,0.0142789451145511,0.0346018859034965,0.040370386776263,0.0255951598102092,0.000151144016082417,0.0771178637993918,0.0720987298687965,0,0.137171447746702,0.0679135309235302,0.0291352872579452,0.10601879299617,0.0853165860438304,0.128577991242766,0.0559591721567158
"m__C18-neg_Cluster_0011: NA",0.0125660753232316,0.00628091972508586,0.00229769860925608,0.00660225615796928,0.000112118990757506,0.000382988570154457,0.00166826734315497,0.0118365134004344,0.0283905180880949,0.000169427612370129,0,0.00710946080841097,0.0157301415270936,0.000469630984156404,0.00155742996984796,0.00634489647400121
"m__C18-neg_Cluster_0012: NA",0.0516375160305488,0,0.000428733787541209,0.000840570881662759,0.00494982012532756,0.000562151494631587,0,0.0109267537342647,0.00570773791576115,0,0.0492014921081666,0.00369360573261117,0.0459467613722345,0.00654966205396349,0.000778089185036784,0.0120815262947834
"m__C18-neg_Cluster_0016: NA",0.00126002040264508,0.000742386047637872,0.00752499870637124,0.000402169046590842,0.00142874046767155,0.0114980687088826,0.0322732239021464,0.00844571459407924,0.0128775727776318,0.00593014898996393,0.00857689233103201,0.00451575426260076,0.0192867047866841,0.0066746741957945,7.15612824764623e-06,0.00809628168986531
"m__C18-neg_Cluster_0017: NA",0.000227220576504584,0,0.00421559571541812,0.00451320357106416,0.00192721664548651,0.00334552454402325,3.61342859210502e-06,7.53058525987439e-06,0.00125930939790724,0.00637604436846826,0.000812211858107871,0.0181511564977494,0.00426177369568342,0.00609387253943002,0.00023182712724301,0.00342840670339586
"m__C18-neg_Cluster_0018: NA",0.0105699299694437,0,0.0018422756700741,0.0401025229787556,0.00406602121202555,9.19585397109473e-05,0.00221684169814406,0.0345258279818179,0.000594068407190731,0.000645582989206445,1.43663250556467e-05,0.00126489340473095,0.0507891342956359,0.000140931813016548,0,0.00979095701898721
"m__C18-neg_Cluster_0020: NA",0,0.00606360105311474,0.000740434532559116,0.000216586363309456,0.0195862653088175,0.00456774365221552,0.00338533638248349,0.0113364199463629,0.00406480605207506,0.000472656753729518,0.00229554180995395,0.00866064034478995,0.000442055256391546,0.000142884189807496,6.88119301855058e-05,0.00413625223838638
"m__C18-neg_Cluster_0023: NA",0.206337575354888,0.049098431886598,0.109158760909286,0.160726987828287,0.0211887941055932,0.0231125395617171,0.0171278915150211,0.0502445873604247,0.000364566854475072,0,0.162302552074262,0.117306760080648,0.0333295014759962,0.0480109363637487,0.0392641867117523,0.0691716048055131
"m__C18-neg_Cluster_0024: NA",0.0195733390739106,1.80240733214522e-06,0.00192633525119665,7.80608951804273e-05,0.000297314124382025,0.0394568405350028,0.0465294178822603,4.63046726614581e-06,0,0.000658134957112438,0.00708500346073898,0.0253160784480468,0.00742081547247009,0.00341599384096722,0.00268622820138566,0.0102966663344835
"m__C18-neg_Cluster_0028: NA",0.00215644490968537,0.000151701838149652,0.000548677888868575,0.00357594606129633,0.0276127627291301,0.00059707891538978,0.00272480833614822,0,0.000612734541035221,0.0148848894677059,0.00034262829121212,0.00544988995296524,0,0.0174520455148746,0,0.00507397389643074
"m__C18-neg_Cluster_0035: NA",0.0612089499698101,0.0120417705163153,0,0.100292014758345,0.000466049689505598,0.00610147348313823,0.0655660686824557,0.0190547099815425,0.0679814513146931,0.0840529857500441,0.0931290891639632,0.0113864569868172,0.0166743103348859,0.0408303476950724,0.0132653608476638,0.0394700692782835
"m__C18-neg_Cluster_0037: NA",0.000371412553098028,0.0176315102895386,0.0138333211772135,0.0219994563573395,0.0023334419713854,0.00414562283946034,0.00508015192821181,0.0126220806344219,0.0703023117020884,0.0550196833476848,0.0181822006929023,0.020597118476379,0.0025412237219451,0,0.0146824636019175,0.0172894666195724
"m__C18-neg_Cluster_0045: azelate",0.186270651598386,0.0339432864220446,0.057681245344727,0.0182922593449187,0.00244783449724414,0.116163007806035,0.0456348540067885,0.0297254903768752,0.064145174980075,0.0752247436694771,2.33756759102542e-05,0.171553964351229,0.0785893132871028,0.129533517451301,0.0767016406055563,0.0723953572945113
