"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000185285",0.125982788452345,0.107853809106985,0.0562549754791998,0.244308974677439,0.0326374157789777,0.458538631654128,0.461820673825326,0.084440585960529,0.142595013397302,0.39519566952479,0.12893017651801,0.000539898311518407,0.181139231527236,0.140933909481883,0.170119144451889,0.182086059876504
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum",0.000511357868118759,0.0316769899869135,0.0729005121473272,0.155998825978407,0.0733388740570933,0.0169304970103746,0.0318997748635968,0.0975705942725388,0.00610296211296792,0.0337031630666693,0.0450913492885817,0.0120900076503947,0.122087472777297,0.000595937861244989,0.116351146765956,0.0544566310471655
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum;s__Varibaculum timonense_A",0,5.36612400395294e-05,0.090007109149594,0.000269466745810656,0.0806125127683546,0.00814238845712594,0.0210968123397934,0.0346412453812674,0,0.0191776885679056,0,0.0163993329822242,0,0,0.00836253111449235,0.0185841832497738
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium angulatum",0.0195565147353613,0.0365507225137598,0.0894755155298554,0.00257706715599988,0.0132137100830539,0.0644304128850561,0.0602976597484022,0.0320612996623489,0.0104509959854888,0.0164643631011382,0.00394644724818155,0.0102278646328075,0.0172397133632351,0.100224682845674,0.119302861460781,0.0397346553967429
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium apri",0.023461349724893,0.0086807860600206,0.0353024129382558,0.0634010291602871,0.0152130214394869,0.0624168737269201,0.00246352124052923,0.0926054865101884,0.0259936921412513,0.0246558470966514,0.0102473241684354,0.00323577702730296,0.0150448851498086,0.00954019515063783,0.0237831618733251,0.0277363575605329
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium criceti",0.00161713033319988,0.0234468497459381,0.0305239048087621,0.0139992382374004,0.00654674271975745,0.0243824759891358,0.00700327877187078,0.0610271782706606,0.0142266916093522,0.0672592826567043,0.0117574715214279,0.0300745363490555,0.00781588657125031,0.0459469693840981,0.0164890264100571,0.0241411108919114
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium gallicum",0.00265895845934963,0.00651667789717796,0.0410786566170128,0.0016681935671826,0.00843840687372762,0.0217841853522588,0.0136562857031394,0.0261952743380709,0.0314665725036521,0.000162130384834924,0.0177045119121581,0.00493442362860206,0.016766037905294,0.0220151297736724,0.0614228305796367,0.0184312183663847
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium pseudolongum_C",0.0689660575390329,0.00227020922151014,0.0240842908044075,0.00424481282073939,0.0166376719564341,0.000499773101872344,0.0432439475500584,0.0131443102551161,0.0066429132737018,0.000698490633500247,0.0533959164205579,0.0174800310402734,0.0164492847443943,0.0178407144478541,0.0160715794098312,0.0201113335479522
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium pullorum_C",0.129303322660749,0.161385283211177,0.128558142206039,0.147290030737507,0.162983375511601,0.0329819047121244,0.26837283089968,0.122682878009023,0.261780671820452,0.379662357936607,0.0669343300302661,0.0321821991050543,0.016874961679748,0.0875885439278707,0.0819715336756534,0.138703491074904
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium sp002451435",0.00149759709856046,0.022127499958879,0.0142971603968038,0.0657680349156375,0.0234244902548182,0.016254315072609,0.00645301611277981,0.0477074028969283,0.0209903728770733,0.128066576310345,0.000870242963857847,0.0712323723179552,0.0160192047125633,0.0036977241821864,0.0148066923161719,0.0302141801591446
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium sp012932675",0.006441634655991,0.0499846769384353,0.0281346498161453,0.00393575860064925,0.11213016114163,0.0982394950950485,0.0144976865233009,0.00996257404129789,0.0305163874011333,0.0327104387849111,0.0257914921565333,0.0146075405264583,0.00670782019991904,0.0227125734468657,0.023931832916887,0.0320203148163471
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium thermophilum",0.0340689874380616,0.0155587730686211,0.03006211836071,0.0186195188068976,0.0651783422588124,0.0404522476817061,0.0657203320640313,0.0405481281605059,0.0525645926724971,0.00632075496877155,0.048987999899246,0.00637612884383995,0.0296437434923263,0.0526975609973932,0.0353868709426243,0.0361457399770696
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Scardovia;s__Scardovia wiggsiae",0.0403322549553479,0.0494610821761551,0.124594471639273,0.118628678634897,0.0736372044882899,0.194427909927316,0.159707717090393,0.0524059936358274,0.15352481332729,0.11197156706149,0.00871624614044582,0.06699205126122,0.0987633147434282,0.109800830869167,0.168045158789546,0.102067286316006
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Cellulomonadaceae;g__Cellulomonas",0.0554156407024173,0.0211185376463665,0.0172576361984048,0.0642182009086675,0.031762425526942,0.032868594885353,0.112996147878774,0.0729963119169257,0.101930815555144,0.0378730138072868,0.0691063262388966,0.0473805788534308,0.0361165657840433,0.00217419745969419,0.0894934113131175,0.0528472269783643
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__Tetrasphaera",0.392221096004415,0.239661927863049,0.41019283174138,0.320971919678791,0.154606603499897,0.0363490010794849,0.541864961821537,0.117674316630421,0.00566814762628885,0.162896210253008,0.0357487000882197,0.235341502617661,0.103243521723403,0.0215873298434593,0.11961408637431,0.193176143789688
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__Tetrasphaera;s__Tetrasphaera japonica",0.172487174020639,0.32795235467796,0.0534632210282238,0.266920557392041,0.153442582353314,0.00449705933970319,0.0925980196842968,0.0446179474587061,0.285349295356979,0.390434672408014,0.128169901110446,0.111419000552952,0.321669030731972,0.309671103400861,0.0864410396161023,0.183275530608814
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Curtobacterium",0.269098813721105,0.0378914045843571,0.0641185204377157,0.259449394941765,0.110709041133494,0.007364537180453,0.098792144273731,0.0222437594347475,0.178626718700376,0.334106646603848,0.00811844915298444,0.000337987804565892,0.00227456474988964,0.0741293113579808,0.0232108598841663,0.0993648102640787
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium",0.0563434747390562,0.0159222700124841,0.0659727916485816,0.0487953290240705,0.000459443182548448,0.00128720690120448,0.109608718719657,0,0.00580202073053864,0.0682633638610872,0.0330485958338031,0.0165055062414127,0.0262882294064407,0.0292877317662439,0.0189928670567739,0.0331051699415935
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium sp003476465",0.016898759289622,0.0375620307982026,0.189958757230958,0.188719919624405,0,0.084723815693556,0.230244098423676,0.0187540981987314,0.042702657350523,0.132617951804795,0,0.0731264337050388,0.0250375454794916,0,0.00195240545499412,0.0694865648702662
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Arthrobacter",0.162317536303557,0.060527722964163,0.0865700218878078,0.10842711520525,0.0342670793157256,0.153003124928758,0.0665194183330005,0.0805557073628643,0,0.255721576441558,0.0489796362106607,0.16148990113543,0.218982292544155,0.313754172058053,0.181238387365908,0.128823579470459
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Arthrobacter_D",0.0660103421106608,0.10857979391632,0.0579928478731535,0.153548446774875,0.195766095600329,0.0205778200416111,0.263786879146864,0.0175294619216966,0.183873253662554,0.453755505090931,0.0316044182840488,0.034773568364453,0.0513681856592585,0.268164942547892,0.0632378919147042,0.131371296860623
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Pseudarthrobacter",0.0419263455729129,0.0587156540547443,0.0271787815379039,0.136051020682567,0.186032219683678,0.257327686717008,0.0175738445584304,0.0196953196786471,0.366462410787004,0.150533322576843,0.0752100239518533,0.06904211167687,0.0461302020047129,0.093619616253623,0.0550975294536085,0.106706405946027
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__Rothia dentocariosa",0.0603011978661732,0.0493290319417951,0.130740077884855,0.0287568246599749,0.0723644721600317,0.18394693919522,0.0296999228731123,0.167134424455987,0.182277045579274,0.464679129024322,0.12901227718323,0.0725048012355641,0.0290784540434748,0.163584861270466,0.109481525359204,0.124859398982179
