"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000185285",0,0,0,0.292824799129012,0,0,0,0,0,0,0,0,0,0,0,0.0195216532752675
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium angulatum",0,0,0,0,0,0,0,0,0,0,0,0,0.00857465647469992,0,0,0.000571643764979995
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium gallicum",0,0,0,0,0,0,0,0,0,0,0,0.0764901951597033,0,0,0,0.00509934634398022
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium pseudolongum_C",0,0,0,0,0,0,0,0,0,0.0943337980462556,0,0,0,0,0,0.00628891986975037
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Scardovia;s__Scardovia wiggsiae",0,0,0,0,0,0.0622726023750699,0,0,0,0,0,0,0,0,0,0.00415150682500466
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__Tetrasphaera",0,0,0,0,0,0,0,0,0,0,0,0,0.112332526442774,0,0,0.00748883509618496
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Curtobacterium",0,0,0,0,0,0,0,0,4.71602558377751e-05,0,0,0,0,0,0,3.14401705585167e-06
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium sp003476465",0,0.116452023156816,0,0.155224890013062,0,0,0.407916209120858,0,0,0.322264663272293,0,0.0451904873176083,0,0.363673478850454,0,0.0940481167820727
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Arthrobacter",0,0,0,0,0,0,0,0,0.0398800331190417,0,0,0,0,0,0.334683654577287,0.0249709125130886
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Arthrobacter_D",0.0245280208893565,0,0,0,0,0,0,0,0.00341466433510207,0.05078222734388,0,0,0,0,0,0.0052483275045559
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Pseudarthrobacter",0,0,0.0279630998097403,0,0,0.232617622698094,0,0,0,0,0,0,0,0,0,0.017372048167189
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__Rothia dentocariosa",0.0129878867743222,0,0,0.123975978198009,0,0.0733865553629595,0,0,0,0,0,0,0,0,0,0.014023361355686
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Specibacter",0.00822357801812005,0,0,0,0.0716446889668715,0,0,0,0.0159930526524764,0,0,0,0,0.0112476379238328,0,0.00714059717075338
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Frankiaceae;g__Frankia",0,0,0,0,0,0,0,0,0.0421525351941923,0,0,0,0.144479754527022,0,0,0.012442152648081
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Micromonosporaceae;g__Micromonospora",0.0690428355612273,0,0,0.00388964840100875,0.359658084575992,0.319627465107593,0,0,0.319981113719056,0.397751041996358,0.191961042688983,0,0,0,0,0.110794082136681
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Gordonia",0.0689975915162427,0,0,0,0,0,0.0791240027925445,0,0,0.00988954390074527,0.117521759450685,0.256716575460729,0,0,0,0.035483298208063
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium",0,0,0,0,0,0,0.183391268935124,0,0,0.0228930470912345,0,0,0,0,0.0415715005371793,0.0165237211042359
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium sp001665295",0.0111582881200933,0,1,1,0.76579673014527,0.510118401188196,0.677323029765324,0,0,0.5511308046944,1,0.187809371780393,0.284468550366204,1,0.471560859262199,0.497291069021472
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Nocardia",0,0,0.265865563762759,0,0,0,0.106785737660808,0,0.000167378158618871,0,0,0,0,0,0,0.0248545786388124
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Nocardia;s__Nocardia cyriacigeorgica_D",0,0,0,0,0.0521222369065983,0,0,0,0.057936790571705,0,0,0,0,0,0,0.00733726849855356
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Pseudonocardiaceae;g__Amycolatopsis",0,0.120174038290095,0.0179073903608759,0,0,0,0,0,0.0317271289478083,0,0,0,0,0.00992518962427222,0,0.0119822498148701
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Pseudonocardiaceae;g__Amycolatopsis;s__Amycolatopsis orientalis",0.0431566631563699,0,0.02293990976847,0,0,0,0,0,0.0140215764183745,0,0,0,0,0,0,0.00534120995621429
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Kribbellaceae;g__Kribbella",0.0475831198188246,0,0.0196562668630866,0,0,0,0.053872291995433,0,0,0,0,0,0,0,0,0.00807411191182294
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces cinnamoneus",0,0,0,0,0.0312032655947573,0,0,0.671321261671995,0,0,0,0,0,0,0,0.0468349684844501
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces griseoincarnatus",0,0,0,0,0,0,0,0,0,0,0,0.163491962190601,0,0,0,0.0108994641460401
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces kurssanovii",0,0,0.0853009541669358,0.00463504605111927,0,0,0,0,0,0.0657219714046518,0,0,0,0,0,0.0103771981081805
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces malachitofuscus",0,0,0.118205332295813,0,0,0,0.0526976416089129,0.13621736705424,0,0,0,0,0,0,0,0.0204746893972644
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces tendae",0,0,0,0,0,0,0,0,0.00535943295556084,0,0,0,0,0,0,0.000357295530370723
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptosporangiales;f__Streptosporangiaceae;g__Nonomuraea;s__Nonomuraea zeae",0,0,0,0,0,0,0,0,0,0,0,0,0.0109177604251215,0,0,0.000727850695008101
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptosporangiales;f__Streptosporangiaceae;g__Spirillospora",0.0102673614487467,0,0,0,0,0,0.0573397014013628,0,0,0,0,0,0.00924145026243837,0,0,0.0051232342075032
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptosporangiales;f__Streptosporangiaceae;g__Spirillospora;s__Spirillospora cremea",0.0930559029373715,0.207352901845413,0,0,0.18085337775733,0.107149442169977,0,0,0,0,0.0652189366844508,0.102331002425157,0,0,0.173734391461888,0.0619797303521059
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptosporangiales;f__Streptosporangiaceae;g__Streptosporangium",0,0.155125089150397,0,0.00477274302199415,0,0,0.0288910180424554,0,0,0.276748148412497,0,0,0,0,0.165544660271279,0.0420721105932415
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Coprovicinus",0,0.0981014308638674,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00654009539092449
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Lancefieldella",0.158780032585111,0,0.482589324172025,0,0,0.129544113647155,0,0,0.348995229363401,0,0,0,0,0,0,0.0746605799845127
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__NM07-P-09",0,0,0,0,0,0,0,0,0.00235460081651048,0,0,0,0,0,0,0.000156973387767366
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Paratractidigestivibacter;s__Paratractidigestivibacter sp003150175",0,0,0.00527329763444268,0,0,0,0,0,0,0,0,0,0,0,0,0.000351553175629512
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Parolsenella;s__Parolsenella sp900552935",0,0,0,0.00492250040808743,0,0,0,0,0,0,0,0,0,0,0,0.000328166693872495
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Thermophilibacter",0,0,0,0,0,0,0,0,0.000708614452382978,0,0,0,0,0,0,4.72409634921985e-05
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Thermophilibacter;s__Thermophilibacter sp012027725",0,0,0,0,0.0580224555684858,0,0,0,0,0,0,0,0,0,0,0.00386816370456572
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Tractidigestivibacter",0,0,0,0,0,0,0,0,0,0,0,0,0.0155718618004959,0,0,0.00103812412003306
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Tractidigestivibacter;s__Tractidigestivibacter sp004557505",0,0,0,0,0,0,0,0.124229066384529,0,0,0,0,0,0,0,0.00828193775896863
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Tractidigestivibacter;s__Tractidigestivibacter sp902834555",0,0.0764222204577873,0.0813394106142564,0,0.044880847313561,0,0,0,0,0,0,0,0,0,0,0.0135094985590403
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella aerofaciens_AA",0,0,0.0548322943060856,0,0,0,0,0,0,0,0,0,0,0,0,0.00365548628707237
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella aerofaciens_F",0,0,0,0,0,0,0,0,0,0,0.618657826836624,0,0,0,0,0.0412438551224416
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella aerofaciens_H",0,0,0,0,0,0,0,0,0.0244650514031674,0,0,0,0,0,0,0.00163100342687783
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp018368345",0,0.0912918728269591,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00608612485513061
