"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__C18-neg_Cluster_0001: NA",0,0,0,0,0,0,0,0,0,0,1.13741420615667e-08,2.2884648858897e-08,0,0,0,2.28391939469758e-09
"m__C18-neg_Cluster_0006: NA",0,0,0,0,0,0,0,0,0,0,1.17983368628776e-08,1.63413820750091e-08,0,0,0,1.87598126252578e-09
"m__C18-neg_Cluster_0011: NA",0,0,0,0,0,0,0,0,0,0,1.16940012198711e-08,2.79173218078002e-08,0,0,0,2.64075486851143e-09
"m__C18-neg_Cluster_0012: NA",0,0,0,0,0,0,0,0,0,0,5.65157268172612e-09,8.08548723382954e-10,0,0,0,4.30674760340605e-10
"m__C18-neg_Cluster_0018: NA",0,0,0,0,0,0,0,0,0,0,4.4649842698696e-09,1.38331776039202e-08,0,0,0,1.21987745825265e-09
"m__C18-neg_Cluster_0020: NA",0,0,0,0,0,0,0,0,0,0,1.67608096088956e-08,3.44029749596926e-08,0,0,0,3.41091897123921e-09
"m__C18-neg_Cluster_0023: NA",0,0,0,0,0,0,0,0,0,0,5.0483004752211e-08,5.38007187281509e-09,0,0,0,3.72420510833507e-09
"m__C18-neg_Cluster_0028: NA",0,0,0,0,0,0,0,0,0,0,6.18291511882943e-08,2.99652019097821e-08,0,0,0,6.11962353987176e-09
"m__C18-neg_Cluster_0037: NA",0,0,0,0,0,0,0,0,0,0,2.53938201466344e-09,3.28281264666339e-09,0,0,0,3.88146310755121e-10
"m__C18-neg_Cluster_0049: NA",0,0,0,0,0,0,0,0,0,0,5.34076521279576e-10,8.90143468351759e-09,0,0,0,6.29034080319811e-10
"m__C18-neg_Cluster_0050: NA",0,0,0,0,0,0,0,0,0,0,7.48302195947518e-09,1.53767597654371e-08,0,0,0,1.52398544832749e-09
"m__C18-neg_Cluster_0053: NA",0,0,0,0,0,0,0,0,0,0,8.45775768643699e-09,1.82842755872641e-08,0,0,0,1.78280221824674e-09
"m__C18-neg_Cluster_0063: NA",0,0,0,0,0,0,0,0,0,0,1.12663615869636e-08,7.36058586868545e-09,0,0,0,1.24179649704327e-09
"m__C18-neg_Cluster_0072: NA",0,0,0,0,0,0,0,0,0,0,4.00443948761072e-08,4.21026371133101e-08,0,0,0,5.47646879929449e-09
"m__C18-neg_Cluster_0075: NA",0,0,4.5132511936757e-08,0,7.04592008113762e-07,0,0,0,0,0,1.03553665984945e-07,1.19738491274921e-07,0,0,1.28484774407781e-08,6.57243436500775e-08
"m__C18-neg_Cluster_0076: NA",0,0,0,0,0,0,0,0,0,0,2.63157952033839e-08,2.80490306064126e-08,0,0,0,3.6243217206531e-09
"m__C18-neg_Cluster_0078: NA",0,0,2.0930777738941e-08,0,0,0,0,0,0,0,6.12041986614123e-08,6.40036733173392e-08,0,0,0,9.74257664784616e-09
"m__C18-neg_Cluster_0081: NA",0,0,0,0,0,0,0,0,0,0,6.32436508819563e-08,6.68256602060431e-08,0,0,0,8.67128740586663e-09
"m__C18-neg_Cluster_0085: NA",0,0,0,0,0,0,0,0,0,0,1.4621229201133e-08,3.31941287069326e-08,0,0,0,3.18769052720437e-09
"m__C18-neg_Cluster_0091: NA",0,0,0,0,0,0,0,0,0,0,4.09848744830145e-09,1.33287014258494e-08,0,0,0,1.16181259161005e-09
"m__C18-neg_Cluster_0095: NA",0,0,0,0,0,0,0,0,0,0,1.80456936916263e-08,1.83093514115684e-08,0,0,0,2.42366967354631e-09
"m__C18-neg_Cluster_0102: NA",0,0,0,0,0,0,0,0,0,0,8.24553261199197e-08,9.09502145553577e-08,0,0,0,1.15603693783518e-08
"m__C18-neg_Cluster_0103: NA",0,0,0,0,0,0,0,0,0,0,4.46229038332205e-08,2.60866897780986e-08,0,0,0,4.71397290742128e-09
"m__C18-neg_Cluster_0109: NA",0,0,0,0,0,0,0,0,0,0,3.83961546195992e-08,4.84705498058649e-08,0,0,0,5.79111362836427e-09
"m__C18-neg_Cluster_0110: NA",0,0,0,0,0,0,0,0,0,0,3.45455179180556e-08,1.83858746304424e-08,0,0,0,3.5287595032332e-09
"m__C18-neg_Cluster_0121: NA",0,0,0,0,0,0,0,0,0,0,3.82880457340674e-09,1.50290903575096e-08,0,0,0,1.25719299539442e-09
"m__C18-neg_Cluster_0122: NA",0,0,7.29831216027811e-08,0,0,0,0,0,0,3.28723383977819e-07,8.37513743047506e-08,5.96479504575263e-08,0,8.97109938488971e-08,0,4.2321121612785e-08
"m__C18-neg_Cluster_0124: NA",0,0,0,0,0,0,0,0,0,0,6.94895209791442e-08,5.49513337270546e-08,0,0,0,8.29605698041325e-09
"m__C18-neg_Cluster_0127: NA",0,0,0,0,0,0,0,0,0,0,1.34732081739934e-08,6.46725437906915e-09,0,0,0,1.32936417020417e-09
"m__C18-neg_Cluster_0129: NA",0,0,0,0,0,0,0,0,0,0,6.39422168891459e-09,3.82223282786907e-09,0,0,0,6.81096967785577e-10
"m__C18-neg_Cluster_0131: NA",0,0,0,0,0,0,0,0,0,0,6.78068497628794e-08,1.45825508807664e-07,0,0,0,1.42421572380362e-08
"m__C18-neg_Cluster_0136: NA",0,0,0,0,0,0,0,0,0,0,3.41397625345895e-08,2.89347366222066e-08,0,0,0,4.20496661045308e-09
"m__C18-neg_Cluster_0137: NA",0,0,0,0,0,0,0,0,0,0,3.27827175910689e-08,4.03624190635146e-08,0,0,0,4.8763424436389e-09
"m__C18-neg_Cluster_0140: NA",0,0,0,0,0,0,0,0,0,0,7.75064991673066e-08,5.08668660843108e-08,0,0,0,8.55822435010783e-09
"m__C18-neg_Cluster_0158: NA",0,0,0,0,0,0,0,0,0,0,4.40207568723492e-08,3.57084028026042e-08,0,0,0,5.31527731166356e-09
"m__C18-neg_Cluster_0159: NA",0,0,0,0,0,0,0,0,0,0,2.60848276617114e-08,2.82740988789638e-08,0,0,0,3.62392843604501e-09
"m__C18-neg_Cluster_0160: NA",0,0,0,0,0,0,0,0,0,0,2.47142547595555e-08,5.15607793287048e-08,0,0,0,5.08500227255069e-09
"m__C18-neg_Cluster_0162: NA",0,0,0,0,0,0,0,0,0,0,7.51190810736091e-10,6.86332922350593e-09,0,0,0,5.07634668949468e-10
"m__C18-neg_Cluster_0170: NA",0,0,0,0,0,0,0,0,0,0,5.77784820906976e-08,4.52129784647081e-08,0,0,0,6.86609737036037e-09
"m__C18-neg_Cluster_0173: NA",0,0,0,0,0,0,0,0,0,0,3.37701454115627e-08,5.86042234602885e-08,0,0,0,6.15829125812341e-09
"m__C18-neg_Cluster_0176: NA",0,0,0,0,0,0,0,0,0,0,3.10736138642153e-08,1.54483559905357e-08,0,0,0,3.1014646569834e-09
"m__C18-neg_Cluster_0180: NA",0,0,0,0,0,0,0,0,0,0,1.30958372743624e-07,1.2003016456703e-07,0,0,0,1.67325691540436e-08
