"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__C18-neg_Cluster_0001: NA",0.409921495715477,0.433428493085492,0.393707394418746,0.313836142268496,0.0828917348818611,0.187445977233445,0.343726343698885,0.577871902626989,0.519905458796501,0.333671173468439,0.141426178099883,0.493720162485208,0.545597647891539,0.314003075985868,0.234562720027864,0.355047726712313
"m__C18-neg_Cluster_0006: NA",0.0560999154478357,0,0,0.00249420614072414,0.00115813175919206,0.000148112070243226,0.00468725759298306,0.0636595099972014,0.0727181462682036,0.0134711474151225,0.000226319273181619,0.00447242118782586,0.00612552849174727,0.0713368482088858,0.000235514666375841,0.0197888705679681
"m__C18-neg_Cluster_0011: NA",0.0295657598908825,0.00108245869861878,0.0173739367284828,0.121001509998806,0.0032726454900168,4.08233893607908e-05,0.0295964227934834,0.0382706670522468,0.0255707265221223,0.00256695789419292,0.142186233725249,0.102559206268855,0.0862003094443057,0.0221318499476311,0.00077009557576864,0.0414793068946682
"m__C18-neg_Cluster_0012: NA",0.0391576289814703,0.000486264377311081,0.000110121301119206,0.14329718224884,0.11812107971315,3.85620354311769e-05,0.0826995928696161,0.22911506052849,0.345815586315219,0.0282299396236474,0.0193030734303431,0.260615725488889,0.0357212474091183,0.165731553564658,0.0481804821428577,0.101108206668677
"m__C18-neg_Cluster_0018: NA",0.39547847958164,0.43332259567542,0.372992064844833,0.322146266000553,0.181425563167505,0.0115882090300781,0.0785999107156176,0.644060332839813,0.175688219360625,0.120211453079467,0.251592515812162,0.212020681025822,0.252237923216381,0.215272808725474,0.196894900622089,0.257568794913165
"m__C18-neg_Cluster_0020: NA",0.0309474073614287,0.00936570621740605,0,0.00333374729807867,0.0347468008150654,0.0395750234702233,0.00632510657531482,0.00457122347637756,0.00688960808056309,0.00199900140603626,0.0010825914850749,0.05879918018533,0.0174413528520209,0.0175220504118413,0.0342652595808869,0.0177909372810432
"m__C18-neg_Cluster_0023: NA",0.0014888331682999,0.0076818010666174,0.056312576012278,0.0317454193663097,0.0853536401608282,0.0174545924388463,0.00254646874012735,0.0038943331943758,0.0360895767787014,0.00284301085997849,0.00306496688938284,0.0531981464918,0.0561632577426357,0.00702402391191118,8.17759258249472e-05,0.0243294948498612
"m__C18-neg_Cluster_0028: NA",0.000349304937058637,0.0252775198199469,0.0584793900689051,0.52865322960345,2.03543514783608e-05,0.10113399620996,0.0752361210204354,0.0879970892259676,0.494681577930627,0.0348879539414888,0.146272151449189,0.0274679048653397,0.0852961556481459,0.309845138200332,0.042102013554923,0.134513326721817
"m__C18-neg_Cluster_0037: NA",0.152587854657183,0.0865549575637995,0.125294965526126,0.240551687064641,0.112637946591116,0.142472330241748,0.000211001116831555,0.0628235208043421,0.290967571998803,0.0974856692960511,0.0697076625882703,0.280949711965055,0.1548454637742,0.192237254589928,0.000251215644134228,0.133971920894815
"m__C18-neg_Cluster_0049: NA",0.000650939130225986,0.0414248427255768,0.0523337271332725,0.0548481949887013,0.0867891045529349,0.00176620638244139,0.15277115631406,0.184490979948477,0.126097331803666,0.013350130684667,0.0107016031719356,0.228955720401013,0.191231562513896,0.295209109384177,0.096136109766121,0.102450447926744
"m__C18-neg_Cluster_0050: NA",0.0141452501687897,0.00222653406896038,0.0901104656845338,0.0464086048746878,0.0257597280466679,0.144905750158017,0.0497188253538138,0.0126776459565585,0.0906328826600538,0.000595120682310248,0.00137071669619629,0.175176628474121,0,0.322322566147249,0.00361986976801681,0.0653113725826651
"m__C18-neg_Cluster_0053: NA",0.507718188352982,0.322661481051954,1.95771201989721e-05,0.368688358340007,0.150627831594141,0.43268138322992,0.491965966754657,0.18233581845599,0.401148782649795,0.153924895352096,0.366653616311304,0.0817623095352698,0.0599204627057235,0.0697881252782438,0.134410962525889,0.248287183950545
"m__C18-neg_Cluster_0063: NA",0.0144744360622117,0.00581318422624987,0.00165818208085271,0.00157944558848086,0.0388740665702086,0.0296563641770707,0.0110024476738126,0.00235265945049127,0.0325022615980246,0.00167145823046289,0,0.00275320226141133,0.0476894702903811,0.0801407350052991,0.0243707358871589,0.0196359099401411
"m__C18-neg_Cluster_0072: NA",0.399295523528892,0.296553185730024,0.490791209544717,0.422055691134367,0.201011498492981,0.212500909853125,0.0812586414891621,0.128672855612693,0.4871424175966,0.178409615279581,0.24961398101674,0.376214952300189,0.0407608363750774,0.293492021111567,0.308686182954548,0.277763968134684
"m__C18-neg_Cluster_0075: NA",0.0068785864795895,0.0232508589813039,0.0823014312827621,0.27093522811152,0.130545533819716,0.00380681081255052,0.00498285724700088,0.00627870722350234,0.198236882378309,0.00120275127385925,0.0147092900838915,0.225394628263828,0.003727503360618,0.0447457506749759,0.10868992209623,0.0750457828059771
"m__C18-neg_Cluster_0076: NA",0.383865915482354,1,0.603433088415714,0.540873271920933,0.223062044229906,1,0.77980312877657,0.498992757016776,0.795447432577763,0.717404189933848,0.766275871169473,0.29344275973091,0.418422601866359,1,0.35172497729792,0.624849869227902
"m__C18-neg_Cluster_0078: NA",0.0260889504297555,2.53916238357692e-05,0.0200993398802774,0.00282679262861256,0.000128232414313661,0.000124660992454712,0.00292496133712011,0.0173118372598742,0.0125384935155115,0.0103210286908185,0.016885396775702,0.0168727034883472,0.00573882262302018,0.0324238310076087,0.0583302636060579,0.014842713751554
"m__C18-neg_Cluster_0081: NA",0.00841040460734899,0.00395556479750083,0.0219893010806287,0.00474098283385969,0.093368733035619,0.0112175585742943,0,0.0329422732155083,0.0897351696020949,0.00459476446959471,0.0216486073739585,0.0550164002064279,0.0516196975394494,0.0192982199571991,0.0284898458224232,0.0298018348743938
"m__C18-neg_Cluster_0085: NA",0.0195585306458484,0.00144564965279968,0.00350458418876127,0.0224016061943747,0.0995878023147592,0.0338823786791319,3.1489506775875e-05,0.00652001313772926,0.0538974344531008,0.000203578523007316,0.00187719655280835,0.0107639797445836,0.00493060099261643,0.0200950655339076,0.0179172851536974,0.0197744796849268
"m__C18-neg_Cluster_0091: NA",0.189694528780942,0.000689157729436911,0,0,0.00171018957317132,0.213010017833731,0.000451690392648759,0.000118651140564005,0.159627263560417,0.0378672928486132,0.100236637986666,0.0016002981927791,0.084325013846712,0.194842686311915,0.0953916183363541,0.0719710031022633
"m__C18-neg_Cluster_0095: NA",0.101061106254683,0.0196242960458168,0.0213967167115291,0.00663853790994709,0.0182978016841511,0.033559667545153,0.000231619246268128,0.0108236138522095,0.053995782327233,0.00201632300285338,0.000615603797134268,0.0216503053407393,0.0746449984290444,0.008838649850364,0.00250494741556962,0.0250599979608464
"m__C18-neg_Cluster_0102: NA",0.00171226050793384,1.412567629375e-05,0.00453112447005158,0.0057991827262068,0.00688407652788267,0.0077201557097699,0.00127693528329218,0.0507372811118149,0.00878946297961665,0.00215417576210944,0.026895808814609,0.0624938699583812,0.0277801252526222,0.00382999493465007,0.00620433949233863,0.0144548612805049
