"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__C18-neg_Cluster_0001: NA",0.00385008777417679,2.52659200167094e-07,0,0,0,0.0314675735456866,0,0,5.22463296715337e-05,0,0,0,0,0,0,0.00235801068724901
"m__C18-neg_Cluster_0006: NA",0,0,0,0,0.11725653445581,0.00528623378119028,0,0,0,1.07083383932664e-09,0,0,0.000113293481771301,0.000131692738432931,0,0.0081858503685359
"m__C18-neg_Cluster_0011: NA",0,0,0,0,0,1.87263135292603e-05,0,0,0,1.892532606066e-08,0,0,0,0,0,1.24968259035473e-06
"m__C18-neg_Cluster_0012: NA",0,5.77733346284238e-07,0,0,0.0413808937075181,5.81389333451954e-08,0.000337578063127456,0,0.000900979198121348,0,0,0,0,0,0.00739062473395095,0.00333404743833316
"m__C18-neg_Cluster_0018: NA",0,2.13099477024434e-05,0,0,0,7.05683460803263e-07,0,0,1.88469920051419e-06,0,0,0,0,0,0,1.59335535758405e-06
"m__C18-neg_Cluster_0020: NA",0.0249437782528092,0,0,0,0,0,0,0,0,0,0,0,0,0.00602528446786456,0,0.00206460418137825
"m__C18-neg_Cluster_0023: NA",0,5.93191354826171e-06,0,0,0,0,0,0,0,2.54179336617882e-09,0,0,0,0,0,3.95630356108526e-07
"m__C18-neg_Cluster_0028: NA",0,0,0,0,0,0,0,0,0.000278254745537573,0,0,0,0,0,0,1.85503163691715e-05
"m__C18-neg_Cluster_0037: NA",0,0.000800573928167011,0,0,0.0233000355932466,0.0880200162183374,0.00361788265854705,0.000674320436729127,0.000779617221230593,0,0,0,0,0,0.016077773818455,0.00888468132498085
"m__C18-neg_Cluster_0049: NA",0,0,0,0,0,3.46592011200353e-08,0,0,0.000807499073322295,0,0,0,0,0,0,5.38355821682276e-05
"m__C18-neg_Cluster_0053: NA",0,0,0,0,0,7.09728435369162e-07,0,0,0,0,0,0,0,0,0,4.73152290246108e-08
"m__C18-neg_Cluster_0063: NA",0.055718837420101,0,0,0,0,0,0,0.000921388839653607,0,0,0,0,0,4.93736753597587e-05,0,0.00377930666234096
"m__C18-neg_Cluster_0072: NA",0.018856711128823,0.00200266606045888,0,0.186722407515853,0.0125948202825837,0.00103673024673833,0,0.0321363129183304,0.0067512036973603,1.99063186358368e-07,0,0,0,6.71812699179355e-07,0.00293014807738978,0.0175354580535616
"m__C18-neg_Cluster_0075: NA",0,0,0,0,0,2.25278605917961e-06,0,0,0,1.53766880454438e-07,0,0,0,0,0,1.6043686264227e-07
"m__C18-neg_Cluster_0076: NA",0.692196998999797,0.522194704997768,1,0,0,0.198182158786002,0.00313634131363663,0.000318466765024954,0.0407683008142314,1,0,0,0,0,0.000384758217697516,0.230478781992944
"m__C18-neg_Cluster_0078: NA",0,0.00254788654292247,0,0,0,3.81668299875621e-07,0,0,0,0,0,0,0,0,0,0.000169884547414823
"m__C18-neg_Cluster_0081: NA",0,4.3129601699043e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8753067799362e-07
"m__C18-neg_Cluster_0085: NA",0,0,0,0,0,5.17318683141234e-09,0,0,1.51448372486992e-05,2.59663115425458e-08,0,0,0,0,0,1.01173178313821e-06
"m__C18-neg_Cluster_0091: NA",0,0,0,0,0,6.08610874343094e-06,0,0,0.0388265563873197,0,0,0,0,0,0,0.00258884283307087
"m__C18-neg_Cluster_0095: NA",0.218907746886086,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0183660264667393,0.015818251556855
"m__C18-neg_Cluster_0102: NA",0,1.21022354829612e-05,0,0,0,1.37858337132991e-06,0,0,0,5.60728421140879e-08,0,0,0.000590940482699143,0,0,4.02984916263699e-05
"m__C18-neg_Cluster_0103: NA",0,0,0,0,0,0.000149908731470519,0,0,0,0,0,0,0,0,0,9.99391543136795e-06
"m__C18-neg_Cluster_0109: NA",0,0,0.0412199207877521,0,0,9.24456099015385e-09,0,0,0,0,0,0,0,0,0,0.00274799533548754
"m__C18-neg_Cluster_0110: NA",0.0271248456717771,0,0,0,0,0,0,0,0.00151864299581365,0,0,0,0.000259553812940127,0,0,0.00192686949870206
"m__C18-neg_Cluster_0121: NA",0,0,0,0,0,0.00211918898167929,0,0,0,3.4711825758021e-09,0,0,0,0,0,0.000141279496857458
"m__C18-neg_Cluster_0122: NA",0,0,0,0,0,5.80421679513768e-06,0,0,0,0,0,0,0,0,0,3.86947786342512e-07
"m__C18-neg_Cluster_0124: NA",0,0,0,0,0,1.55711826327158e-05,0,0,0,0,0,0,0,0,0,1.03807884218106e-06
"m__C18-neg_Cluster_0127: NA",0,0,0,0,0,1.43661457357201e-07,0,0,0,0,0,0,0,0,0,9.5774304904801e-09
