"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__C18-neg_Cluster_0001: NA",0,3.46007664661175e-05,0.0067552411974863,0,0,0.000138987481482389,3.74007373872341e-06,0,0,2.16908044181009e-08,0,0,0,0,0,0.000462172747331863
"m__C18-neg_Cluster_0006: NA",0,0,0.00239610801879098,0,0.001947627144184,1.36362661990373e-06,0.000142401559126058,0,0,0.000178053266166943,0,0.0661461425061569,0,0.0130939234350159,0,0.00559370797040405
"m__C18-neg_Cluster_0011: NA",0,1.66684215544951e-07,0.0567676922372789,0,0,3.61694149679748e-08,0.00131127419075615,0,0,0,0,0,0.131750445361359,0.0556504298971566,0.00143782125206125,0.0164611910528162
"m__C18-neg_Cluster_0012: NA",0,1.15787439736342e-09,0.0499681086149574,0,0,0.0139231987081255,0,0,0,0,0,0,0,0,0,0.00425942056539715
"m__C18-neg_Cluster_0018: NA",0,1.62144128308058e-09,0,0,0.000268166115257052,1.02794392395625e-05,0,0,0,0,0.00118251569372512,0,0,1.09468789385477e-05,0,9.81273165734376e-05
"m__C18-neg_Cluster_0020: NA",0.0152532121292105,0,0.154554908339406,0,0,0,0,0,0,0,0.00137963472573472,0.0367476429874334,0,2.5912543368789e-05,0.00715495092167573,0.0143410841097886
"m__C18-neg_Cluster_0023: NA",0.0548241236518117,0,0.00476342724128664,0.0499686565281073,0,0.00415967418164002,0,0.0240998468850373,0,0.00150879217374439,0,0,0,0,0.156109411296085,0.0196955954638475
"m__C18-neg_Cluster_0028: NA",0,4.95330620618012e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,3.30220413745341e-07
"m__C18-neg_Cluster_0037: NA",0,0.000340955153155134,0.00377731298082791,0,0,0.06232053012352,0.103670147750614,0,0,5.48178160539921e-07,0,0.00112687247318843,0,0,0,0.0114157577772977
"m__C18-neg_Cluster_0049: NA",0,5.78668052598007e-07,0.153791583490883,0,0.000201822711453665,1.88560935367204e-06,0.0463770216179537,0.00120495385526051,0,0.000337037529777205,0,6.10234911081682e-05,0.00140429040896938,0.494369354715595,0,0.0465166368065604
"m__C18-neg_Cluster_0050: NA",0,0,0.00768550610997276,0,0,0,0,0,0,0,0,0,0.321508293831096,0,0.00186116619188261,0.0220703310755301
"m__C18-neg_Cluster_0053: NA",0,0,0.000313423980542881,0,0,0,0,0,0,0,0,0,0,0,0,2.08949320361921e-05
"m__C18-neg_Cluster_0063: NA",0,0.014012822749433,0,0,0,2.50818177209215e-07,0.000248136270869219,0,0,0,0,6.43548621912802e-05,0,0,0,0.000955037646711382
"m__C18-neg_Cluster_0072: NA",0.0188744389387909,1.13156685741989e-09,0.00760618506842858,0.000318231057970588,0.296218163346193,0.0287979578428439,0.060500603131476,0.0542938442927621,0,0.000123584061197575,0,0.00795439015261663,0,0.00704044986169804,0.00020144115146579,0.0321286193358006
"m__C18-neg_Cluster_0075: NA",0.00190560009225466,1.67684758861057e-05,0.00269279020261885,0.0139040792260692,0.0578109330847283,0.00783042733623602,0.00825916008790907,0.00289620190312398,0,0,0,0.0848866493874667,0,0.00148377442712575,0,0.0121124256148946
