"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000185285",0,0.000897446900827407,0,0.0236781864779065,0,0,5.72651999022345e-06,0.00363521323677837,0,0,5.52431947794089e-06,0.0100384192134176,0,0.0323837011738588,0,0.00470961452281712
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum",0.0962443162399676,0,0.153274045855994,0.0958186422596098,0,0.000166782763569524,0.104249846414961,0,0.209245524920893,1.37174747043361e-06,0.00132300212409788,0,0,0,0,0.0440215688217708
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum;s__Varibaculum timonense_A",0,0,0,0,0,0,0,0,0,0,5.64524562548728e-06,0,0,0,0,3.76349708365819e-07
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium pullorum_C",0,0.127096041834267,0,0.00472492376811909,0,0,0,0,0,1.71858790347698e-06,0.00171640419640391,0,0.0670671734747537,0.00324264533584698,0,0.0135899271464863
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__Tetrasphaera",0,0,0,0,0,0,0.0010454305042429,0,0,0,0,0,0,0,0,6.96953669495267e-05
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Curtobacterium",0,0.00255903817283851,0,0,0.0358428920656046,0.00132328489019587,0.00586709829602087,0,0.000286967521040194,0.0720467369566451,7.03801062577841e-06,0,0,0.0150575959867326,0.0055895147425209,0.00923867777614829
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Arthrobacter_D",0.00154769384725008,0,0,0,0,0,0.000196552339261725,0,0.00953215897801081,0,0.00952199080835289,0,0,0.00820959877047291,0.0320315090712684,0.00406930025430779
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Pseudarthrobacter",0.374022846128639,0,0.0147652349748312,0.0196410933096896,0,0,0.000451460938219762,0,0.000519712832490338,0,0.112345734511413,0,0.00686744235595206,9.23948039347231e-05,0,0.0352470613236779
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Frankiaceae;g__Frankia",0,0,0,0.0281177053123011,0,0.000379877469057993,1.00978075264269e-06,0,0.00054473989993525,0,2.36395397870563e-05,0.0214340726510919,0.0248908356166261,0,0,0.00502612535130347
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Micromonosporaceae;g__Micromonospora",0.023107215946096,0.000513773395825725,0.0381506334107226,0,0,0.001180488884345,0,0,0,0.0844176531159914,1.70774108284853e-05,0,0,7.0237699232896e-05,0,0.00983047199086947
