"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__C18-neg_Cluster_0001: NA",0.0477434051538685,0.169461269368412,0.371002153340616,0.199850371192027,0.198010696305415,0.223867680773679,0.202749745175896,0.0122311298417888,0,0.235530041026214,0,0.16154688740222,0.0836247118751859,0.169863369846362,0.205852219667659,0.152088912064623
"m__C18-neg_Cluster_0006: NA",0,0,0,0,0.0444110689222441,0,0,0,0,0,0,0,0,0,0,0.00296073792814961
"m__C18-neg_Cluster_0011: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0012: NA",0,0,0,0.00454539823933773,0,0,0.0223094768042387,0,0,0.0167206544366166,0,0,0,0,0,0.00290503529867953
"m__C18-neg_Cluster_0018: NA",0,0,0,0.0156018602215185,0,0,0.00125925064825088,0,0,0.00577357828395588,0,0,0,0,0,0.00150897927691502
"m__C18-neg_Cluster_0020: NA",0,0,0,0,0.0828029870620775,0,0,0,0,0.0755278977391464,0,0,0,0.00604935419948917,0,0.0109586826000475
"m__C18-neg_Cluster_0023: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0028: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0037: NA",0,0,0,0.0342777671992916,0,0,0.00415992746148355,0,0,0.0108445906368011,0,0,0,0,0,0.00328548568650508
"m__C18-neg_Cluster_0049: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0050: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0053: NA",0.0501143091706217,0.0326938485375939,0,0.0681281119343357,0.0321008878963286,0,0.0591059209249133,0.0162280014620223,0,0.0559874306100912,0.00153399362268134,0,0,0.00856028684908378,0,0.0216301860671781
"m__C18-neg_Cluster_0063: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0072: NA",0.21356236570336,0.331448679083576,0.463475190530612,0.307320175732058,0.307863726070709,0.392574981876937,0.246823637379892,0.237010499514486,0.396673072011823,0.289087332362946,0.174720311401847,0.387491345014198,0.358230477492837,0.289338137263448,0.280492626408743,0.311740837189831
"m__C18-neg_Cluster_0075: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0076: NA",0.106506586010436,0.0578019697523995,0,0.12840811150622,0.054949700609454,0.00133999086698798,0.11403898719408,0.0543197183765646,0,0.0963611394448966,0.0657865778156426,0,0,0.0297543503323624,0.0638553752457137,0.0515415004769838
"m__C18-neg_Cluster_0078: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0081: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0085: NA",0,0,0,0,0.0772304307706098,0,0,0,0,0.0514861292226807,0,0,0,4.50183095058598e-05,0,0.00858410522018642
"m__C18-neg_Cluster_0091: NA",0.0373385243806367,0.0403233387748572,0,0.0649784973277371,0.0444618955859473,0,0.0449861908264653,0,0,0.0597404320089791,0.00439949992760995,0,0,0,0,0.0197485585888155
"m__C18-neg_Cluster_0095: NA",0,0.0893911349987709,0,0.0678626696444985,0.189879349712646,0.0554063290508192,0,0.062598964937415,0,0.334527752204677,0,0,0,0.112232431253386,0,0.0607932421201475
"m__C18-neg_Cluster_0102: NA",0,0.0511241402200903,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00340827601467268
"m__C18-neg_Cluster_0103: NA",0,0,0,0,0,0,0,0,0,0.00130268251429503,0,0,0,0,0,8.68455009530022e-05
"m__C18-neg_Cluster_0109: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0110: NA",0,0,0,0.0691690815167089,0,0,0,0,0,0.0358622753481842,0,0,0,0.0474624360927572,0,0.0101662528638434
"m__C18-neg_Cluster_0121: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0122: NA",0.0538506170617792,0.10779362800173,0,0.11317856363286,0.126381163049163,0,0.0464261074739971,0.00071343910306584,0,0.158776266891251,0.0236865862217625,0,0,0.0412469793855667,0,0.0448035567214117
"m__C18-neg_Cluster_0124: NA",0,0,0,0,0.0151657551534882,0,0,0,0,0,0,0,0,0.0198372872493761,0,0.00233353616019095
