"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000185285",0.021094273142895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001406284876193
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum",0.00426933095723175,0.00146429113292642,0,0,0,0.00482128837725535,0,0,0,0.0245820809544084,0,9.02308496284948e-05,0,0,0,0.00234848148476336
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum;s__Varibaculum timonense_A",0.00617436216811889,0.00217161782538205,0,0,0,0.014962167845022,0,0,0.00765589691748675,0.0268273978528577,0,0.00166230218262472,0.00425616050605724,0,0,0.00424732701983662
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium pullorum_C",0.00126571364469765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.43809096465102e-05
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__Tetrasphaera",6.02523548356485e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0168236557099e-06
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__Tetrasphaera;s__Tetrasphaera japonica",5.70686048231837e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.80457365487891e-06
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Curtobacterium",0.0105722467241457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000704816448276377
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium sp003476465",0.0122292645791229,0.00177552063978657,0.00691144653755983,0,0,0.0180456845299889,0,0,0.0073864501437875,0.0180084289825827,0,0,0.0343391198708033,0,0,0.00657972768557545
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Arthrobacter_D",0.00232707163653783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000155138109102522
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Pseudarthrobacter",0.00422086341433972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000281390894289315
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Frankiaceae;g__Frankia",0.00422791602048233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000281861068032155
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Micromonosporaceae;g__Micromonospora",0.0153517170571808,0.00149709220563636,0.000899726874026814,0,0,0.0759887235888048,0,0,0,0,0,0,0,0,0,0.00624915064837659
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Gordonia",0.027065942032657,0,0,0,0,0.11409831447593,0,0,0,0,0,0,0,0,0,0.00941095043390581
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium",1.60145460367084e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06763640244723e-06
