"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__C18-neg_Cluster_0001: NA",0.0320215155700057,0.63681759889451,0.042705697742036,0.801708961621582,0.102610516578833,0.288967361669214,0.389700628736792,0.474450725789587,0.104606499419024,1,0.247175383051625,0.37382555112255,0.359437197984101,0.3487707779878,0.440669384108756,0.376231186685094
"m__C18-neg_Cluster_0006: NA",0,0.0303042809310661,0.0500701560280215,0.0908150425468328,0,0,0.0296933975379545,0.00948056443703844,0.150502996717488,0.114438585586332,0.0507871055125181,0.0121190006761095,0.00632678260601471,0.0389094047600996,0,0.0388964878226317
"m__C18-neg_Cluster_0011: NA",0,0.0278136586603185,0.00467478008205008,0.026326215478498,0,0.00958254615882463,0,0,0.0323221915993786,0.035115653375988,0,0,0,0.0400006230666254,0,0.0117223778947789
"m__C18-neg_Cluster_0012: NA",0.617264104816665,0.188154602449381,0.00701217012307505,0.0208415872538107,0.0723329786433979,0.416588561821923,0,0.049902986454948,0,0.528074274547738,0,0.107811395127797,0.296837406321137,0.0229614883999059,0.174501245226938,0.166818853412448
"m__C18-neg_Cluster_0018: NA",0,0.510762885248896,0.0424772510001667,0.0555228097874917,0,0.104785551757267,0.0255693145465721,0.353040462074966,0,0.521432180637631,0.613411100799857,0.246080175849639,0.248555837506978,0.165527619100165,0.101839982585763,0.199267011393026
"m__C18-neg_Cluster_0020: NA",0,0.131075223896382,0,0.110723399013887,0,0.0127767282117662,0.0463174788756086,0.0521370160232294,0.00658183126757352,0.0648820563470332,0.0131715131833421,0.0128235185820807,0.00773655481713748,0.0161133251929165,0,0.0316225763607304
"m__C18-neg_Cluster_0023: NA",0,0.0747469432608865,0.0595316963727122,0.232430925638221,0.0836464252376003,0.16788470049776,0.0334725572246034,0.064894664430943,0.156049220350302,0.0478349090992882,0,0.165177276957614,0.0310012347694719,0.0358005032811865,0,0.0768314038080392
"m__C18-neg_Cluster_0028: NA",0.0334649096430475,0.178195369974494,0.0210615538339504,0.269394296573175,0,0.132740993299149,0.235668006683027,0,0.196493726053082,0.0157381079556249,0.365348595476496,0.0952450616458821,0,0.240789822982519,0,0.118942696274696
"m__C18-neg_Cluster_0037: NA",0.027452789232366,0.0462459412552852,0.025803655057735,0.271455625173052,0.0644604527226005,0.137193108381643,0.765035535903528,0.476262834604207,0.219731250833309,0.277474110564827,0.539849996291461,0.127570828045941,0,0.0541586763428581,0.0541595376073583,0.205790289467745
"m__C18-neg_Cluster_0049: NA",0.250908117297249,0,0.0488521249026835,0,0.0259988353591816,0.197943526645713,0,0,0.116969898297095,0.143578573078812,0.116833632728031,0.129020940635885,0.102179159547482,0.256725331355792,0,0.0926006759898616
