"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__C18-neg_Cluster_0001: NA",0.366403779515401,0.172611693335082,0.22185212863368,0.117501231608442,0.169979340488445,0.489038333087136,0.0974968247330487,0.191977867320029,0.161711350444391,0.297502000128342,0.112245027592585,0.335832609519095,0.336228823573791,0.233354534781534,0.285815355194407,0.239303393330361
"m__C18-neg_Cluster_0006: NA",0.282306072425032,0.12277596753342,0.0169649647726657,0.0111115863433611,0.203131864603205,0.199888909613565,0.191342203753368,0.0176431630437631,0.144947066400674,0.111607943541956,0.0755548984156934,0.0121869666573076,0,0.191506170152061,0.0431448150372195,0.108274172819553
"m__C18-neg_Cluster_0011: NA",0.625614021562933,0.105165968796268,0.0349669645261797,0.0382335215292749,0.230475066891038,0.204449399017713,0.110412476902165,0.0744008704190941,0.307956828712387,0.100821073223987,0.0148595447837527,0.0706970772929941,0,0.196654256492159,0.025301395563437,0.142667231047559
"m__C18-neg_Cluster_0012: NA",0.455748642888251,0.0765171258478488,0.164659367370837,0.0663464002113662,0.331682497715768,0.241893099544012,0.317951699602724,0.293089782388978,0.0897527436215414,0.122552199151996,0.0144596092240421,0.0612383925853111,0.214350205811005,0.206882945734332,0.417995075164735,0.20500798579085
"m__C18-neg_Cluster_0018: NA",0.175428061887244,0.165439277845277,0.112019834745868,0.0496475134490605,0.0642704342056704,0.418615905999543,0.0320583726685718,0.1224316327991,0.430162130424997,0.0572260763394743,0,0.156940837689008,0.0641103464637786,0.246250105200555,0.323324390370426,0.161194994672572
"m__C18-neg_Cluster_0020: NA",0.20009962423724,0.0470874999655004,0.0102500435235768,0.00557268008101707,0.18739977449006,0.0601197065999755,0.213475224709154,0.0473783092480906,0.382318572130615,0.185002251744383,0.0314053122452982,0.00873580932530738,0.103918934744911,0.0655666911295786,0.0653251676278644,0.107577040120171
"m__C18-neg_Cluster_0023: NA",0.765082247895242,0.321820634825867,0.147566759206648,0.167338388254185,0.15659613619598,0.19411939036244,0.138293545881598,0.0108915640209289,0.433444411083307,0.186799309632016,0.0104868485543782,0.20002125180733,0.131630545866851,0.25507062679843,0.0903452222363438,0.213967125508103
"m__C18-neg_Cluster_0028: NA",0.102165076039299,0.150890774607633,0.0895613109552584,0.0702663136432587,0.201590056219619,0.000598864489976857,0.00120207231432667,0.108020724792782,0.135106396039238,0.135309236198401,0.044198069754801,0.00624884336166664,0.0170972825944895,0.0940314425212617,0.0069492368512833,0.0775490466922197
"m__C18-neg_Cluster_0037: NA",0.488494520194286,0.69363634831675,0.0650492405801643,0,0.145057705198244,0.159149656872522,0.101613657256396,0.199742882461021,0.397869555477023,0.00168545196485317,0.0888322774836978,0.311406688928975,0.136766651821249,0.227210276075635,0.0935493793117592,0.207337619462838
"m__C18-neg_Cluster_0049: NA",0.200123819023945,0.270633787763075,0.0620305714513114,0.00973860719296479,0.250856814253238,0.270893962953229,0.148480697639532,0.079911272380566,0.221868481293059,0.259392932904589,0.271737089870059,0.0785691497163369,0.00162688040040314,0.350614375128606,0.0148846110654828,0.166090870202426
"m__C18-neg_Cluster_0050: NA",0.0317119105349935,0.165133394893088,0.135995972679473,0.0389733269617534,0.252198549200804,0.0604251275693336,0.0693216798816471,0.0912559945242619,0.677730417466594,0.148963130729609,0.0663245818405556,0.0639160061380039,0.0789015483353869,0.262106199536672,0.0722801261300616,0.147682531094816
"m__C18-neg_Cluster_0053: NA",0.158793639726246,0.264137176248206,0.222569562238608,0.146390061827065,0.0783239971169382,0.493678681363563,0.325410430913406,0.130117694097233,0.389780197713257,0.263563029785994,0.441222021410832,0.130764951440108,0.0574262681656766,0,0.179634854495227,0.218787504436157
"m__C18-neg_Cluster_0063: NA",0.141429438375176,0.259188217219019,0.0421865728924798,0.0107827360036518,0.317114758390694,0.160101836225054,0.300520963844366,0.0202230517239759,0.738700884554311,0.411020558071161,0,0,0.028514161195923,0.0543763092117426,0.0275192673103677,0.167445250334528
"m__C18-neg_Cluster_0072: NA",0.0494651595951822,0.462481738097452,0.36568099676615,0.446635622535162,0.486058986660697,0.20743024987968,0.463723607673125,0.360710193355841,0.717544166212294,0.514597182359229,0.349775490597247,0.453165750910163,0.473232491370513,0.44862566858101,0.443547209336231,0.416178300928665
"m__C18-neg_Cluster_0075: NA",0.127614041696405,0.0970834806955491,0.041593697017409,0.0564157563450249,0.356529412257635,0.271507027597327,0.03678400206953,0.0131904961196448,0.0981628976301725,0.149385982337007,0.0551612497083253,0.0127346939701199,0.00517151532852619,0.204222225399272,0.00497732371739743,0.102035586792623
"m__C18-neg_Cluster_0076: NA",0.65437308571302,0.510695212334822,0.139982714785622,0.260037414867013,0.198640845831001,0.119495324928184,0.230868875061624,0.211123423188337,0.528117790178336,0.296909084638405,0.159196836194228,0.38638124868947,0.116478767304545,0,0.761626182777268,0.304928453766125
"m__C18-neg_Cluster_0078: NA",0.273123592141086,0.192889694401289,0.0518026336774011,0.036939506579896,0.16582263675565,0.259233270933577,0.0943445290509997,0.00967342857121982,0.0587563698686453,0.0951887321418302,0,0.0481980806496174,0.0417024171092788,0.026074406690108,0.0468075573731924,0.0933704570629194
"m__C18-neg_Cluster_0081: NA",0.455229770943804,0.29559399250331,0.0777078708050862,0.0554482185154267,0.374375941070797,0.177936031008209,0.0907311465295697,0.0188054037470582,0.638319740008341,0.250886684653593,0.0134558024738681,0.0249741273840006,0.0569489657773614,0.251902424147474,0.0186649639402404,0.186732072233876
"m__C18-neg_Cluster_0085: NA",0.0458060929949907,0.165778704898043,0.0511975341835307,0.0311344580352176,0.221058567226234,0.0287160010348118,0.0765341968798891,0,0.181177284788314,0.262189573565055,0.0650676848831389,0.0588712387065216,0.0202132845083721,0.155139228518424,0.0290982001940157,0.0927988033611039
"m__C18-neg_Cluster_0091: NA",0.444949450708356,0.0375894082810455,0.127210359916929,0.0656933884773482,0.294508645513431,0.105331217339227,0.184824069414002,0.172740219696197,0.108803417458157,0.225478638689776,0.132316124962324,0.165047661203012,0.137134300482373,0.466171083187599,0.0838182478490543,0.183441082211922
"m__C18-neg_Cluster_0095: NA",0.36379143478189,0.118759649905924,0.0151616550843582,0.0246134990257897,0.068960719279777,0.0741554969251462,0.105297034999079,0.0931627233027455,0.255036350427916,0.0307814898508371,0,0.216947335523969,0.00424902881046486,0.0839997040139786,0.0160040101067087,0.0980613421359056
"m__C18-neg_Cluster_0102: NA",0.11732289373315,0.0929356106427413,0,0,0.115993055232624,0.0715806855522859,0.0421261949440369,0.0244900480935229,0.0733459938630221,0.016963258484974,0.00546588858304503,0.037080572150662,0.0151746834352855,0.0994063900726923,0.0612495563782095,0.0515423220777501
"m__C18-neg_Cluster_0103: NA",0.106537580808404,0.093211863503159,0.018181771947488,0.16319783030765,0.135148039129193,0.0500071385701678,0.119753588419294,0.0663333716109169,0.463282287495258,0.193892973255255,0.138650789070608,0.0383126748600694,0.0147878253074385,0.191989918029177,0.0320461943179195,0.1216889231088
"m__C18-neg_Cluster_0109: NA",0.327405705232359,0.0901885010379746,0.0212136694287828,0.0159608926353489,0.205414093045129,0.0398726873842038,0.287728552542196,0,0.317033788764494,0.124576377335338,0.00913862004200788,0.0252981791704612,0.0127470864313946,0.112656888401527,0.0258820833304666,0.107674474985446
"m__C18-neg_Cluster_0110: NA",0.173978376343611,0.186516315266234,0.201406298778341,0.345032175426418,0.210696203748573,0.319306390039615,0.171517491345,0.595736600725729,0.359128631843528,0.380792780441457,0.192938314129768,0.190672039448471,0.0198414470345814,0.541719931864245,0.182554916926758,0.271455860890822
"m__C18-neg_Cluster_0121: NA",0.184779369750442,0.0139764160158689,0.00184369258317679,0.00191384972479327,0.229205240772972,0.281995493396599,0.116280782104917,0.0159519288436512,0.265688413915528,0.0593643189586935,0,0.0835179306759341,0.00995866127452701,0.447891871021136,0.0552522013925978,0.117841344695389
"m__C18-neg_Cluster_0122: NA",0.064309320546614,0.140051297939649,0.0215320945926151,0,0.131584315156456,0.136290582679788,0.229818338544147,0.0611826080392604,0.482249904575084,0.023028908488692,0.0105575259509088,0,0,0.117685620822358,0.00671938701848654,0.0950006602902706
"m__C18-neg_Cluster_0124: NA",0.188438838794957,0.172634952081495,0.136178178668646,0.129071264044622,0.176068566810126,0.221212424981674,0.0513656080923498,0.0211914066695611,0.475342406480728,0.133547107708977,0.151117307205392,0.00634301025388284,0.0415678046099708,0.139080719490325,0.102375742064168,0.143035689197125
"m__C18-neg_Cluster_0127: NA",0.119505366266255,0.0991982906746845,0.0108291283320684,0.0515624597264078,0.2589554281922,0.0651145747337491,0.24669407000228,0.0175411504758119,0.287516101807612,0.164303080041066,0.0145033822844743,0.00514993126164409,0.00515507171857868,0.0827460350041301,0.00622165464674679,0.0956663816778473
"m__C18-neg_Cluster_0129: NA",0.27121026649967,0.147136492615536,0.0333243203015915,0.0867552993447101,0.255311688745744,0.190981032334568,0.244828774573828,0.138670981225924,0.44084059680247,0.0637509907861119,0.0884396365785871,0.176358559080465,0.077371564945501,0.199634877701156,0.0145766470906201,0.161946115241766
"m__C18-neg_Cluster_0131: NA",0.0982428158465802,0.0591725630722353,0,0.0420715018440303,0.0926354214500645,0.0683152104951576,0.0415716675371301,0.043543186660565,0.128298772458784,0.178180450624239,0,0,0.0518764587191717,0.0779776103888696,0.0101485691380701,0.0594689485489932
"m__C18-neg_Cluster_0136: NA",0.0803284506276622,0.0875194193007587,0.0163434531731244,0,0.199848203361162,0.113398536597308,0.089395289611028,0.0113729774267571,0.29399970410433,0.062651205585155,0.0305714390792264,0.0514302219001781,0.0583133206442729,0.0542347659154246,0,0.0766271324884259
"m__C18-neg_Cluster_0137: NA",0.403600755968554,0.137418748319246,0.118572825149756,0.0903452496242548,0.301908852700762,0.274468116442653,0.263916552328982,0.0198391693241906,0.250058049204785,0.295227375680708,0.0919770312978307,0.0128176066956475,0.0575034924850025,0.0982044260687821,0.164858884338401,0.17204780904197
"m__C18-neg_Cluster_0140: NA",0.198626324290726,0.0617565262395243,0.0547851262017832,0.100496277976074,0.0880306159383591,0.305209722055022,0.460816531618495,0.0267756962487351,0.188927956644204,0.547620321399612,0.0709327195472417,0.0621670273727037,0.0254690653189401,0.0794648584841385,0.046382902564664,0.154497444793348
"m__C18-neg_Cluster_0158: NA",0.119369929516197,0.469622228335112,0.0389457472572748,0.0795249562468209,0.286842144382599,0.257305540720644,0.2738509954032,0.0172778522102087,0.482657618309519,0.30732086684045,0.0767531981241221,0.00858321876940682,0.0416839827494773,0.299393183405993,0.0306769051782262,0.185987224496617
"m__C18-neg_Cluster_0159: NA",0.16061080018331,0.228076146684026,0.0852643378155762,0.0876914816880663,0.307355186957404,0.214620393250843,0.16425403184171,0.376706416300981,0.564436237607666,0.39181863677022,0.0823031416083862,0.153086795126713,0.331849881201972,0.208463994602832,0.103982264944961,0.230701316438978
"m__C18-neg_Cluster_0160: NA",0.141347843358845,0.0653681299618613,0.0161909772346488,0.0693645106655375,0.262702250357568,0.0745747235506324,0.448474374170801,0.00535024197519317,0.229450907924577,0.184633838751613,0.197229577175517,0.0561561373005492,0.00806651563236688,0.479878507583301,0.117234047957876,0.157068172240059
"m__C18-neg_Cluster_0162: NA",0.453477718592275,0.481597159818205,0.135168501665925,0,0.217679680299023,0.0691617747717633,0.175339791163225,0,0.29379169592461,0.535817469856661,0.0735867966781286,0.176719492146284,0,0.187455538633505,0.150890097079818,0.196712381108628
"m__C18-neg_Cluster_0170: NA",0.142566316409484,0.262345923147902,0.0453963061756221,0.0989527766374509,0.0763658971890147,0.0854564112079848,0.0308674997857452,0.201858404363711,0.0249919682792519,0.13546855970758,0.00815810765587155,0.105296284983707,0.00995866127452701,0.229530408391081,0.00995464743479487,0.0978112115095818
"m__C18-neg_Cluster_0173: NA",0.0992770417109213,0.10371422738998,0.0627202438711434,0,0.357465823061573,0.280090534543154,0.233238628920477,0.108947028018711,0.424135495438205,0.07617121722947,0.103342577924086,0.012479727607582,0.0452269210008603,0.132185444243584,0.0365696889962654,0.138370973330401
"m__C18-neg_Cluster_0176: NA",0.239700438268677,0.283765887510972,0.047826923709054,0.197407705475289,0.247192756858422,0.132351144605341,0.188048015049653,0.244236384595105,0.144038677311401,0.156197267043609,0.24976477156809,0.235137345560104,0,0.282411676987076,0.0212667467925163,0.177956382755687
"m__C18-neg_Cluster_0180: NA",0.150861057501825,0.15303552669167,0.0152019993186659,0.0318246796375002,0.36813422255619,0.260063994145981,0.299553287419453,0.022468523947065,0.109960249442671,0.12260042411291,0.00535201590423146,0.0311889925422734,0,0.18717690421707,0.0228821637638396,0.11868693608009
"m__C18-neg_Cluster_0190: NA",0.0369972289574924,0.175639632566826,0.0388016012273822,0.0113986638020802,0.297313202657802,0.105245191813797,0.0351131649711207,0,0.10486152447686,0.146884821702106,0,0,0.0311308754945979,0.107083765977627,0,0.0726979782431794
"m__C18-neg_Cluster_0191: NA",0.190742799418871,0.675387154584429,0.0735118440984311,0.177671781095726,0.277986016742283,0.354568594367111,0.139654120383257,0.25591632630421,0.819409718756027,0.107304249028666,0.0769058640250916,0.073690018606157,0.067126462952598,0.376889100611795,0.0115917073950017,0.245223717224643
"m__C18-neg_Cluster_0193: NA",0.411143838413931,0.346179844716509,0.183098624188259,0.170257595740337,0.257004311290043,0.578821431071294,0.166617071677493,0.230218067295457,0.704081472881044,0.358253915301,0.157794021901904,0.00617991751397292,0.138077625559998,0.367308209059412,0.514556951695853,0.3059728598871
