"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000185285",0,0.15772872712385,0.039578430500045,0.0433514394737259,0.0780393861227982,0.138556652245788,0.030172236741595,0.122130855810647,0.101310475666164,0.0642050763761264,0.0417970578582491,0.0221922431507419,0.0698588148189879,0.0748471519325874,0.0836565019441797,0.0711616699843657
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum",0,0.0238292277093458,0.0825482495266548,0,0.0327898751830179,0.0370155925406234,0.00525019051705126,0.0139774269342426,0.0429707395098489,0,0.0216448960932135,0.0032199271712314,0.0254525850714235,0.162077080486511,0.0240799979099949,0.0316570525768773
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum;s__Varibaculum timonense_A",0,0.0208505742456776,0.0463083178690046,0,0.0283786925047914,0.00661310341182812,0.0120597081351289,0,0.136010063895013,0.149555578063106,0.00835038526279362,0.00683761005185024,0.0161234015890647,0.0399715539745715,0,0.0314039326001887
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium pullorum_C",0.086794250475953,0.325736210974628,0.0561035801394508,0.0510501256795141,0.349358493285629,0.0287690297739887,0.0413348062035937,0.127067324053689,0.0425788114132429,0.170547529611338,0,0.0280701886339114,0.281759414116807,0.222405033099987,0.111712820791943,0.128219174550245
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__Tetrasphaera",0.087430141538177,0.32846973810274,0,0.0451056360579654,0,0,0.0233341800757834,0.106868227798983,0.0480151306697008,0.26728471165461,0.112726385235239,0.130199047003868,0.147246800721866,0.131008656831155,0.0240563792974907,0.0967830023325052
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__Tetrasphaera;s__Tetrasphaera japonica",0,0.12424357359499,0.0467703895103488,0,0.0470046886792163,0,0.0614246781477251,0.142072453187927,0.139557622742449,0.117543568970474,0.00899272259070081,0,0.322410625940397,0.103715876450501,0,0.0742490799876486
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Curtobacterium",0.0334896742776378,0.263170601644759,0.110699127816,0,0.127556324656365,0.0127440013665437,0.130425140786476,0.148598880691353,0.32883145556101,0.152057508865102,0.076517946466186,0.0808846041019054,0.0951591956333765,0.288481206620604,0.0482761025603057,0.126459451403175
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium sp003476465",0.0384667883959009,0.113377701775498,0.00626285027888566,0.0342587842388535,0.0926829099143543,0.0138702154407964,0.00642601443493226,0.0163912396534034,0.231750662428,0.0979899950306274,0.018995905656296,0.0352815676562855,0.123972896262033,0.0454890077865152,0,0.0583477692634921
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Arthrobacter_D",0,0.198735325342452,0.0349155225440248,0.00683515290316749,0.0132024203589539,0.0230159222004468,0,0.0205873180939378,0.120866205123198,0.180506942690244,0.133968286665537,0,0.00827958459979005,0.166401511947955,0.0930708395735287,0.0666923354695491
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Pseudarthrobacter",0.00703706119083153,0.357612113822334,0.0208953552503262,0.034154071532656,0.084061740143543,0.0381771985876813,0.0341038016492219,0,0.0760326396657509,0.0577512617530152,0.0196835783471333,0.0533334462858025,0.251369701822891,0.319005331774767,0.178737933730482,0.102130349037096
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Frankiaceae;g__Frankia",0.056216522922211,0.139226078464779,0.0066053499035122,0.0975264865850824,0.0369040805212085,0.117107550095652,0.0552080163774128,0.126310793854645,0.290871338778688,0.0805566243137539,0.107488174767006,0,0.0580233491635211,0.074365681813156,0.0499247537658636,0.0864223200884329
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Micromonosporaceae;g__Micromonospora",0.0923227074730747,0.853206778947803,0.0345044343352919,0,0.0867566624108254,0.0955639181730595,0.0915625508288284,0.0854216858305462,0.332713293195201,0.0862753624665677,0.192788728085539,0.076303870002036,0.0874224782028846,0.193774243957864,0.123384703170448,0.162133427805331
