"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum",0,0,0,0,0,0,0,0,0,0.0419590425599031,0,0,0,0,0,0.00279726950399354
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium pullorum_C",0,0,0,0,0,0.0166032881155613,0,0,0,0.14855018737461,0,0,0,0,0,0.0110102316993448
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__Tetrasphaera",0,0,0.00932931860859681,0,0,0,0,0,0,0,0,0,0,0,0,0.000621954573906454
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Arthrobacter_D",0,0,0,0,0,0,0,0.0126613040996667,0,0,0,0,0,0,0,0.000844086939977777
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Pseudarthrobacter",0,0,0,0,0.0278087879927875,0.0433153678220543,0,0,0,0,0,0,0,0,0,0.00474161038765612
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Frankiaceae;g__Frankia",0,0,0,0,0,0,0.0362906337355154,0,0,0,0,0,0,0,0,0.00241937558236769
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Micromonosporaceae;g__Micromonospora",0,0,0,0,0,0.0438159868801161,0,0,0.0634256705707752,0,0,0,0,0,0,0.00714944383005941
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium",0,0,0,0,0,0,0.041148124456683,0,0,0,0,0,0,0,0,0.0027432082971122
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium sp001665295",0,0,0.0982285840369593,0,0,0,0,0,0,0,0,0,0.0522032373436981,0,0,0.0100287880920438
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Nocardia",0,0,0,0,0,0,0.0292673581974801,0,0,0,0,0,0,0,0,0.00195115721316534
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces malachitofuscus",0,0,0.0944884850167308,0,0,0,0,0,0,0,0,0,0,0,0,0.00629923233444872
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptosporangiales;f__Streptosporangiaceae;g__Nonomuraea;s__Nonomuraea zeae",0,0,0,0,0,0,0,0.00261971320266873,0,0,0,0,0,0,0,0.000174647546844582
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptosporangiales;f__Streptosporangiaceae;g__Spirillospora;s__Spirillospora cremea",0,0.446519992990466,0.0252304879769666,0,0,0,0,0,0,0,0,0.0240009563228937,0,0,0,0.0330500958193551
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Paratractidigestivibacter",0,0,0,0,0,0,0,0,0,0,0,0,0.0313816788676548,0,0,0.00209211192451032
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Paratractidigestivibacter;s__Paratractidigestivibacter sp905215465",0,0.325941535909165,0.0681036665885853,0,0,0,0,0.0585347665152833,0,0,0,0,0,0,0,0.0301719979342023
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella aerofaciens_AC",0,0,0,0,0,0,0,0,0,0,0,0,0.0460427492335507,0,0,0.00306951661557005
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella bouchesdurhonensis",0,0,0,0,0,0,0,0,0,0,0,0.03022586329844,0,0,0,0.00201505755322933
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp003459505",0,0,0.0150583527959222,0,0,0,0,0,0,0,0,0,0,0,0,0.00100389018639482
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp018381235",0,0,0.0341305479088511,0,0,0,0,0,0,0,0,0,0,0,0,0.00227536986059007
