"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__C18-neg_Cluster_0001: NA",0.00173443247553844,0,0.033261886053621,0,0.0905414254388492,0,0.00036456115402487,0.00120188803298379,0.0860496314472754,0.0362794169902791,8.64909338660482e-05,0.0725854239674425,0.0779281222997281,0.0161459277128248,0.0169850931046509,0.0288776199740723
"m__C18-neg_Cluster_0006: NA",0.00171352914797775,0.00959728182098957,0.0639956694423138,0.130905098789223,0.110362758697079,0.147988848537777,0.0103822372721057,0.0527411134413171,0.0643012501548846,0.00375114050832124,0.0989445064371534,0.0814283182915457,0.00228729510643533,0.0953704941231635,0.0334811577605372,0.0604833799687215
"m__C18-neg_Cluster_0011: NA",0.00462775065002984,0.00468064744697929,0.0119686748457369,0,0.00875343817009256,0.00336885817671096,0.0135918201382575,0.000589148465014506,0.00162032473294623,0.000476440274200731,0.0234390191624711,0.0145413831341044,0.021629605535706,0.0201239477257389,0.0058903246565575,0.00902009220763643
"m__C18-neg_Cluster_0012: NA",0.0212762735186691,0.00307802784977168,0.0104120872561652,0.0521435481877577,0.0029800445622931,0.00487328711340374,0.00278681644539757,0.0913096342721237,0.0234514315145536,0.0715916858317806,0.00107471782191681,0.00650231926713252,0.227394580310146,0.0152371201076036,0.0493552071409603,0.0388977854133117
"m__C18-neg_Cluster_0018: NA",0.019517541162696,0.0942368861375986,0.0892750321577415,0.0610514821528308,0,0.113323773099263,0,0.0954868608363218,0.294987624779922,0.0848803917885703,0.0770868290695185,0,0.106484900989889,0.0209382007009754,0,0.0704846348583552
"m__C18-neg_Cluster_0020: NA",0.0848971803055189,0.014691899078957,0.106441569732052,0.00628793762123551,0.00642510985172352,0.0678203286401595,0.00194775176466043,0.000293259338725538,8.01686075499817e-05,0.00119327410868164,0.00919804833821715,0.014692504370583,0.0184107600325923,0.109757640932137,0.0326407495296592,0.0316518788168302
"m__C18-neg_Cluster_0023: NA",0.0289632631805014,0.19280775739621,0.221265651560154,0.134245696502409,0.113032261482476,0.0860134500273158,0.0960734553975552,0.118673998288257,0.0752300101644979,0.0103714851688792,0.0965377182748498,0.150139829974845,0.0015245199624229,0.0170940826428915,0.0289687727816085,0.0913961301869915
"m__C18-neg_Cluster_0028: NA",0.00385736537890035,0,0.000610891093292317,0,0.00597088230820253,0,0.00109118979365379,9.79866908689259e-05,0.0381798967467573,0,0,0.000665128366412803,0,0,0.000714847630009278,0.00341254586720649
"m__C18-neg_Cluster_0037: NA",0.0218756305104949,0.00179605199605157,0.0531776845793591,0.0130498955221361,0.00172400819557669,0.00719588601067873,0.000825359374388081,0.110522999750591,0.140634533992076,0.0253952706800451,0.000923770853669605,0.0200554672646436,0.00529388989053097,0.00363427561649741,0.0116385524404883,0.0278495517784818
"m__C18-neg_Cluster_0049: NA",0.0035890142917354,0.0024390008983243,0.378336099904638,0.451192627305114,0.127533617709186,0.097953788401269,0.0262465717544845,0.351065980349894,0.0127486247039206,0.0411371125864183,0.0172791864063997,0.0933886482705472,0.111208189527949,0.0438620395097216,0.0289676517907609,0.119129876894024
"m__C18-neg_Cluster_0050: NA",0.00309971806945469,1.44624504571852e-05,0.0278897026848801,0.000275361016324912,0.0781999137623442,0.0158729497776091,0.00378131536308017,0.00537566068733752,0.247704823606024,0.032421042604494,0.00129611804503702,0.00131580762136744,0.023354863800869,0.00640117610704717,0.0784168210725381,0.035027982444591
"m__C18-neg_Cluster_0053: NA",0.00169025658298343,0.0102484277368995,0,0,0.0595652580877353,0,0.000623239716552031,0.000256563413447789,0.00409893370005438,0.00134019385374816,0.0019489095326036,0.155180533541409,0.00141548561646395,0.00374977615461894,0.0578303140812055,0.0198631928011814
