"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__C18-neg_Cluster_0001: NA",0.0603413938972093,8.57382351888629e-05,0.00276651918321513,0.00938083766777107,0.00449995106210659,0.00167030161011563,0.00168272392573325,0.00156958123412365,0.00214478746426279,0.00286469245912002,0.00143508118731635,0.000590785235644366,0.00441107992026151,0.036955641448563,0.0348709483554943,0.0110180041924084
"m__C18-neg_Cluster_0006: NA",0.0282760243596143,0.00564692233330474,0.0160775674961373,0.215679404091106,0.121010327653907,0.0684071279658355,0.0638308975732141,0.0709490430324827,0.116403873596558,0.0793587275871218,0.165714328555658,0.167627564983187,0.0686928959010106,0.117139857626776,0.0381984932194709,0.0895342037316922
"m__C18-neg_Cluster_0011: NA",0.013342765315375,0.0212382140614225,0.0168105123364497,0.0113795345406704,0.0116483728371018,0.0213726119222176,0.0249908549193685,0.00243787560866933,0.0623053978445672,0.0166923064650661,0.140173421681926,0.00286712103373197,0.0310741243811349,0.0458944473093472,0.00391753231606004,0.0284096728382072
"m__C18-neg_Cluster_0012: NA",0.00905784278515739,0.0169556483820935,0.0133922223464455,0.0469760311086102,0.00489809124094795,0.00305560508958498,0.0337925805692926,0.0098574190545098,0.0534680534281813,0.0503304413064027,0.0103665075368864,0.00993825529455824,0.0997457992934465,0.00852108118501406,0.0920890052277961,0.0308296389232618
"m__C18-neg_Cluster_0018: NA",0.033224944488713,0.0469650912940341,0.00487830649682153,0.198371703569487,0.0455772122317771,0.0924892047330552,0.0196745088802115,0.0233691978299179,0.0519803315991845,0.0109681098322175,0.0139543084681495,0.111702288643343,0.0648120102725806,0.0236658143207921,0.0254304200493943,0.0511375635139786
"m__C18-neg_Cluster_0020: NA",0.0377326487288933,0.0183374020224014,0.116515712250045,0.0220453007340941,0.0272114230551679,0.0503436865671291,0.0359744599758024,0.0250156861386438,0.0362645166022504,0.0113758920632277,0.0756990869699275,0.0372093993198861,0.117419845254722,0.0608511586862778,0.0364247423211568,0.047228064045975
"m__C18-neg_Cluster_0023: NA",0.0456791242836867,0.0862577619204611,0.0978615094274874,0.258560954714594,0.0222895031834719,0.00990367281287713,0.0192487823051597,0.120970908455849,0.134130254411609,0.0381278207459449,0.070706711971874,0.0587833210716723,0.0129384517950431,0.11281970051821,0.210856507887944,0.0866089990337256
"m__C18-neg_Cluster_0028: NA",0.0135634734301876,0.00385670550028022,0,0.0758563791936988,0.00521673173699172,0.0266011236922075,0,0.000602355985524956,0.00482953378991003,0.00354908994201904,0.00194527818882577,0.00130007092433272,0.0197046071617187,0.000964948869190801,0.00281317572972647,0.0107202316096409
"m__C18-neg_Cluster_0037: NA",0.00365778854101853,0.00823008126244303,0.00674558510647397,0.234877424742755,0.0311828037281156,0.032447094165759,0.00575608684454138,0.126266711101386,0.0424827198972827,0.0174853934039666,0.0134761086566441,0.0524007599641624,0.0633789384423118,0.0243831656033908,0.0642957798678699,0.0484710960885414
"m__C18-neg_Cluster_0049: NA",0.0661666053277009,0.0165461727811093,0.0231129095650947,0.39378839555127,0.0179515703752469,0.03949107781723,0.0175223849480162,0.0125648750440795,0.17824431022758,0.158221629429126,0.0413939757724737,0.0188995456399412,0.279750249674577,0.0485141272496702,0.111796228153837,0.0949309371704635
"m__C18-neg_Cluster_0050: NA",0.00291608800542924,0.00245751867982986,0.0748787659949983,0.0183517355635957,0.0102438275092634,0.105698661891433,0.00466384613015831,0.0851058216706701,0.0984482573387917,0.00594762889783106,0.0787855512589023,0.0225082965665922,0.0238659107722338,0.0204035874983466,0.0425496498476556,0.0397883431750487
"m__C18-neg_Cluster_0053: NA",0.0101373056544242,0.00446136812057839,0.0127000196921968,0.0377701141436761,0.0543410052199122,4.80241735008018e-06,0.000462319031486963,0.0454108710098921,0.0691679483764721,0.000408961243150029,0.00204751623695385,0.0520579077228323,0,0.000144140192617424,0,0.0192742852707695
"m__C18-neg_Cluster_0063: NA",0.145898710199589,0.101876002541504,0.102004215686776,0.28868705992406,0.0616086209922618,0.127284219691965,0.0256501611463963,0.0981795242192407,0.0128754185691072,0.00153139747962815,0.145742641564481,0.0829644773323056,0.0350266487405871,0.119222138785955,0.166539321466363,0.101006037222681
"m__C18-neg_Cluster_0072: NA",0.0079212737077565,0.0410932269191044,0.0780778453125043,0.0796796305953903,0.0244300601680834,0.073396758953336,0.0292276844818363,0.0258676922758556,0.0861762530497144,0.0148712542124587,0.0699401088725513,0.0223723554847466,0.0584120581692517,0.0358988639543749,0.0159089021760238,0.0442182645555325
"m__C18-neg_Cluster_0075: NA",0.0114917525558263,0.0560476737226996,0.00353648925969599,0.00772764806300606,0.00750328878611891,0.00920407584123075,0.0224801583567209,0.00583174909785435,0.0117823526356299,0.0102140754445966,0.0122940052003185,0.0381578208522478,0.00821619703034695,0.0131009043670435,0.0400905031885631,0.0171785796267933
"m__C18-neg_Cluster_0076: NA",0.00747311363715704,0.000315764826986205,0.111419260472828,0.181457651144417,0.0014377890291552,0.00325820556907447,0.0200664487041469,0.0357967194628678,0.026528402755504,0.0114756617843597,6.81165236689937e-05,0,0.383983479508253,0.0130845585215086,0.0844581253640999,0.0587215531536018
"m__C18-neg_Cluster_0078: NA",0.0783981566342158,0.0297440559944639,0.0607516008096318,0.0727332363997041,0.0392203555049363,0.00364773938586833,0.0570662789958836,0.0179902751443068,0.115463566054022,0.0313637228731621,0.159108184152932,0.0243674578940441,0.0533853393503554,0.00854666626107416,0.0721416298196962,0.0549285510182864
"m__C18-neg_Cluster_0081: NA",0.0030700134200653,0.00584320415372476,0.0818369024155272,0.0956686240771629,0.0272204085710932,0.0627222651104415,0.00953929414176165,0.0315600636811954,0.0169909682444554,0.0191968917452051,0.0277311121179795,0.0274411829665754,0.0763602155019538,0.0707897038332001,0.0300528323946173,0.0390682454916639
"m__C18-neg_Cluster_0085: NA",0.112007728111139,0.00429158514540664,0.131831026272848,0.0494461163420786,0.208453445593963,0.00237970947851826,0.134828351567853,0.16172581167347,0.138532761721291,0.0567716479188718,0.113627316994173,0.242158385030888,0.00815209015765053,0.0905589916246745,0.104509108175027,0.103951605053857
"m__C18-neg_Cluster_0091: NA",0.0048177504159464,0.00445574311490214,0.00462423562861778,0.0678890017497546,0.0038427393549199,0.00530262669311471,0,0.01920160005297,0.0272618822439653,0.00937974983293104,0,0.0061761471553366,0.0219749752768609,0.0676875297277177,0.0015890152523134,0.0162801997666234
"m__C18-neg_Cluster_0095: NA",0.111377262154619,0.012136703214877,0.0141396609739402,0.01294817729252,0.00763175736322361,0.0924613333173473,0.00441352694888765,0.129439624927161,0.120425504454507,0.0259063134317167,0.023764731800671,0.0307205953811561,0.0801828445671677,0.0149150947973675,0.0581357407749597,0.0492399247600082
"m__C18-neg_Cluster_0102: NA",0.0862377874936121,0.0049485419729014,0.0193894074050314,0.00388273493073572,0.00599611859814261,0.0056189745078682,0.00631269225392017,0.00303298563947344,0.0147257090444878,0.000725070351692713,0.00577976379723826,0.00108633624528035,0.00428203621305389,0.0382067467423307,0.0490562158782698,0.0166187414049359
"m__C18-neg_Cluster_0103: NA",0.0584316534710318,0.0139607035100548,0.0603013917028499,0.12534296284318,0.0436956297387122,0.0201147210236972,0.0969474286764435,0.00379903743054703,0.0183743118218393,0.00621796901657139,0.0172844936134216,0.0214850838055747,0.0224575497280551,0.0647382950360912,0.0568149041248302,0.0419977423695266
"m__C18-neg_Cluster_0109: NA",0.0403804773640203,0.00160291144794045,0.0121313916810597,0.054814945359949,0.0316480524197121,0.0306602159644235,0.0302083994042096,0.0978088437681526,0.0393433910534252,0.0263419791110911,0.00697108986881034,0.122510127393162,0.0150304410398568,0.0898910040231241,0.0207503437079739,0.0413395742404607
"m__C18-neg_Cluster_0110: NA",0.0325543299176252,0.0245906239086297,0.166490336840578,0.0720637020980253,0.161728226564602,0.0693044596913885,0.181060676959158,0.139352448043862,0.214571217570685,0.0817073576330882,0.187589108126847,0.338397013539934,0.0631224416262727,0.042834571476263,0.0116400334196508,0.119133769827774
"m__C18-neg_Cluster_0121: NA",0.025313831603768,0.00733002609519757,0.0152199326523179,0.148509109219247,0.0167889861507103,0.0159888751086484,0.0308043331084776,0.0326808375614431,0.0283310182851998,0.0184202526703756,0.0302819955986951,0.0177632457203057,0.0259390214033717,0.00260855263454679,0.0103466947905548,0.0284217808401906
"m__C18-neg_Cluster_0122: NA",0.00161371263504295,0.000779230430526246,0.0446785313116045,0.000110335758691829,0,0,0.00399904843575412,0.00484295071276297,0.107225822778994,0.0298856868919147,0.00769540502819454,0.00081572571163716,0.000106885600672158,0.0118676823112529,0.00109564975198824,0.0143144444906024
"m__C18-neg_Cluster_0124: NA",0.00268937627443022,0.0194574337138664,0.0150854339182744,0.237261984318914,0.0827352938570395,0.0145167274424069,0.0100440961670137,0.076347989208306,0.0381925928574116,0.0305328743282658,0.0297572053843215,0.00810642732025645,0.00707752758688929,0.0296290771497854,0.0622635870925064,0.0442465084413125
"m__C18-neg_Cluster_0127: NA",0.0182626292443898,0.00346935135662885,0.0195829069298094,0.0394631737844649,0.055721365662655,0.00183501180007335,0.00686521818998694,0.00530600894058115,0.0166621092400162,0.0275450038432047,0.00346210572895314,0.00638687779029331,0.00674730251877043,0.0152567295477816,0.00718129435174072,0.0155831392619566
"m__C18-neg_Cluster_0129: NA",0.0171689549160981,0.00456375151073416,0.265383186185799,0.245191669096964,0.01610187991749,0.00149890420697269,0.00531916138054816,0.00821202411781372,0.00544366742596239,0.0104439592821185,0.027811869930694,0.00547398754375498,0.0656287899143077,0.00761667748741697,0.00903410377519299,0.0463261724461245
"m__C18-neg_Cluster_0131: NA",0.0167046242772995,0.00998937471488066,0.0385617339476834,0.0231027273518935,0.0106352404349306,0.048118263232769,0.0185263351592085,0.00290577520794684,0.0283690879716395,0.018153158046324,0.0084774410161581,0.00577176019866431,0.00416895181187362,0.0400519310269766,0.00115233308943596,0.0183125824991789
"m__C18-neg_Cluster_0136: NA",0.00971321992196236,0.0113623990392388,0.00305567314131633,0.0413521420819307,0.0347937827878211,0.00482874291478576,0.0203419141342514,0.0122291393682516,0.0169004374328583,0.0277847788065652,0.0141645778182011,0.0448862920791291,0.0310057684062302,0.0250881764463208,0.00957454597181011,0.0204721060233782
"m__C18-neg_Cluster_0137: NA",0.00699386494814944,0.00020250424162689,0.0181102296512416,0.00918102872474579,0.000231639348502669,0.00337760185562526,0.0156831707012297,0.00240309735481211,0.015036670588232,0.0224485571188286,0.076723483915103,0.00865628809675423,0.0178360644327005,0.00741582258425775,0.0379861652729076,0.0161524125889811
"m__C18-neg_Cluster_0140: NA",0.0424556408799099,0.0176300414087496,0.015087628155252,0.0018462422437829,0.0422400487327306,0.0537683664155917,0.0484942207343895,0.0153631493004422,0.0320196637831265,0.00478760430369428,0.0777773553118581,0.052456515830192,0.0323953491536167,0.0555958359396908,0.0180198310913739,0.0339958328856267
"m__C18-neg_Cluster_0158: NA",0.0817174385087352,0.0470830737568078,0.111282076991401,0.114923244162077,0.0192914090905237,0.0365653785177042,0.00794530493168868,0.265014572714156,0.137037927680688,0.0189993224867037,0.0850519588152835,0.0939479033960069,0.127979648017723,0.0366847740143519,0.270713420388913,0.0969491635648509
"m__C18-neg_Cluster_0159: NA",0.246264421585181,0.0606344790777255,0.127961053999568,0.180426079360257,0.313152373994739,0.11446371084936,0.113078908455524,0.140258580815142,0.0317274644403144,0.0992033978055591,0.306772283812369,0.245161500666314,0.0971830224139651,0.0222529199949297,0.113999084266176,0.147502618769142
"m__C18-neg_Cluster_0160: NA",0.0396351618372408,0.0707410910999656,0.550022117204663,0.135129426802783,0.0564335506684345,0.232482188772527,0.00115297528238046,0.111934663142673,0.185538221902242,0.135646942137564,0.252783557042881,0.0505567018213593,0.147440907091961,0.0260434052552572,0.0299593163470228,0.135033348427264
"m__C18-neg_Cluster_0162: NA",0,0.00102625331247808,0.000391738429890565,0.0334638945316114,0.000347466162570428,0,0.00336385100194964,0.000336643554004293,0.0141051650600238,0.000105923110031159,0.00856998921341571,0.00101506722969699,0.0212196682231771,0,0,0.00559637732192328
"m__C18-neg_Cluster_0170: NA",0.0334492691044389,0.0122437364458528,0.0810234850911851,0.168261376061577,0,0.0391557175579323,0.0119715136724281,0.0678031261591315,0.00947060841294295,0.00962876001759809,0.0917584303108444,0.0829630619374011,0.0463168998925647,0.0883976432026098,0.0267798703972154,0.0512815665509148
"m__C18-neg_Cluster_0173: NA",0.0205907400280758,0.0133103393712339,0.0943572346718951,0.0868454282723345,0.0470680002764578,0.0792629816342045,0.144000649057382,0.0477066021614861,0.000695991818632787,0.0688250219143459,0.0388340410507833,0.0532540513306756,0.0555309891657877,0.0290600158802403,0.0349316994195148,0.0542849190702033
"m__C18-neg_Cluster_0176: NA",0.0456738232984187,0.0388266351500305,0.0704787243921895,0.114878853508927,0.0152239318275021,0.042524466621642,0.00630871986901352,0.00545952456412943,0.0308032320084209,0.00560358867093676,0.0246478911414397,0.0286258380135334,0.0431577301805754,0.0265178672172348,0.15865687454429,0.0438258467338856
"m__C18-neg_Cluster_0180: NA",0.000264357082070595,0.00784884366747661,0.00289420494511068,0.0156513506796292,0.0171675286167069,0.0265130463972038,0.0154926553197774,0.0209826542512125,0.00826426686972336,0.0118880412985064,0.118789012774049,0.016583674489124,0.0406565370628314,0.00586756761773969,0.0396123741615634,0.023231741015515
"m__C18-neg_Cluster_0190: NA",0.0244697341729742,0.00303717153293273,0.0605295347608442,0.0027258972874761,0.0211759046875287,0.00603607373626102,0.00996325481731314,0.00899039822725115,0.0270008991537272,0.0109872576684566,0.0244141899380138,0.0139052818108759,0.0403251750109566,0.00246507371587553,0.00991309096681902,0.0177292624991537
"m__C18-neg_Cluster_0191: NA",0.0407555635546734,0.0154200767797672,0.228680900035322,0.0710159374870177,0.0476955900666133,0.0953709590485126,0.0245297150227015,0.0189318524838561,0.131345023199449,0.0113378677783951,0.147873639727706,0.0686551173976364,0.0920856565678744,0.0037382596585645,0.0857835252606125,0.0722146456045801
"m__C18-neg_Cluster_0193: NA",0.0686850114523499,0.0043888329175438,0.00296890443216465,0.0305936780493388,0.00405648644190174,0.00794130256052076,0.0439899907483312,0.00285094602469289,0.000130990596823394,0.00460074386015259,0.0411849367803055,0.0205746520329486,0.00181138431955151,0.000216877167549232,0.00360866321723356,0.0158402267067605
"m__C18-neg_Cluster_0197: NA",0.00530731675797087,0.00650473453675806,0.0227493574106288,0.0363416392334572,0.0765795973172463,0.0222590742440386,0.0248303779774957,0.0179986231181463,0.034171302388954,0.0115438092093597,0.018287329643249,0.0380562937997439,0.087973978499493,0.0125618883218092,0.0346727407450122,0.0299892042135575
