"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000185285",0.0250229392463615,0.0810395977308611,0.512678467516028,0.73912542029329,0.30577575856869,0.0411993166458853,0.0881059498056623,0.100315426396898,0.166004922962083,0.0459678339126647,0.233928176021101,0.135407586950398,0.0806879915582502,0.0292282144149089,0.0421165442623796,0.175106943085697
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum",0.0552196714298556,0.0606522719182318,0.00989387031429951,0.0735073480324806,0.0565843903013985,0.125646354120835,0.00516014201665308,0.18939091750279,1.03114441655483e-06,0.174335448459864,0.000307292956693694,0.146588406600009,0.056377308077214,0.0298501376143336,0.0160817089048857,0.0666397532929306
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum;s__Varibaculum timonense_A",0,0.00283194103666231,0.0221068386316021,0.0276963754718649,0.0109228504555136,0,0.00294944600711279,4.87327892228273e-05,0.015234561725642,0.000554674094063323,0.00458351818105621,0.00137469935300938,0.000134851841930927,0.00466931369493239,0.00406620080760296,0.00647826693934771
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium pullorum_C",0.260843779275925,0.115063713506923,0.0897288005693879,0.291394025764584,0.110204137895519,0.214592272004877,0.115271219554362,0.0512236492703562,0.0416950647104971,0.165928060382875,0.0595927290176507,0.0288179753329759,0.0587981553955172,0.0505327102620483,0.0375098978461974,0.112746412719313
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__Tetrasphaera",0,0.205674491478354,0.0568714146448865,0.149172049525236,0.0690285221595129,0,0.0474777628677413,0.00863856502260513,0.211379342755464,0.010212502689674,0.392458785450851,0.000405559633429224,0.108530136001492,0.0782501849222602,0.0159648416702439,0.09027094392145
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__Tetrasphaera;s__Tetrasphaera japonica",0,0.116993235335872,0.0691516221526133,0.0324125565643893,0.0651879545764165,1.56199335696109e-05,0.0276478413334778,0,1.18038083204274e-05,0.0533825984167861,0.194661984193377,0,0.148655755874567,0.112831402973865,0.0413017986459925,0.0574836115872831
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Curtobacterium",0.579056890531039,0.063781131939793,0.174882279802795,0.175629036614261,0.509375233143285,0.254089097228929,0.061132254249433,0.298039514442303,0.0277118366776368,0.29624590039455,0.0660243764912107,0.0824936400036566,0.0149594099782112,0.0850121256039896,0.0208843416352373,0.180621137915755
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium sp003476465",0.0857613359708445,0.0685284478928889,0,0.103241448406539,0.030098829616131,0.0460574630265607,0.0199750418662381,7.19527939266458e-05,0.035303651756874,0.0463537470980728,0,0,0,0.224545564638124,0,0.0439958322044133
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Arthrobacter_D",1,0.243086089058499,0.13878828749648,0.229386193912373,0.526365969191975,0.51129823291582,0.313324444773616,0.408768117850691,0.181255630123663,0.411747582166999,0.220738197677487,0.311486613381351,0.0560174843920337,0.128606330070256,0.0845184106227256,0.317692505575598
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Pseudarthrobacter",0.32862231217803,0.0112907747223313,0.147896734065834,0.022627594290594,0.123930400927305,0.187764382250649,0.110308478653581,0.0106167285257012,0.287200297151814,0.237704442737907,0.0673455384944107,0.0937754738745709,0.0405842919488386,0.103603031582962,0.0807010254309834,0.123598100455701
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Frankiaceae;g__Frankia",0.225678004233557,0.0109745596376622,0.256985032562886,0.178750006635438,0.198735673390647,0.127332278931711,0.216649795010338,0.200316564823633,0.0895078674707225,0.183151808260599,0.126697219074695,0.322100962731858,0.160277202092621,0.249500749122591,0.0418092954923766,0.172564467964756
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Micromonosporaceae;g__Micromonospora",0.576460164296792,0.0855883030192351,0.191087178371332,0.445207986897812,0.25098327631062,0.408775013263126,0.203929692065357,0.262152686233878,0.436015723279044,1,0.439754993613755,0.0858263471159922,0.324421362826315,1,0.343185692323776,0.403559227974469
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Gordonia",0.0950582125796767,0.00859867332270817,0.201516003069972,0.182452074100291,0.0116728477290788,0.246016970793218,0.00985433328926041,0.0581408223408698,0.0519576422373044,0.0120727092617011,0.0192689283822365,0.103628852866797,0.0182049374088297,0.0764038159487505,0.0162596435179347,0.0740737644565752
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium",0.459940664831045,0.572367648266276,0.268648771406459,0.328639476217091,0.284135777169162,0.22624425979251,0.460019913512346,0.224343505335198,0.456660941705352,0.24057614695418,0.450447001901781,0.272172587246546,0.477161870815346,0.144473333159889,0.0614671470171004,0.328486603022019
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium angelicum",0.000361562118906361,0,6.08921529296932e-05,0,0,0.0436152512914959,0.000469913336934301,0,0.0724848091503724,0.0104642550401368,0.00086931669981885,0,0.0110303384625155,0.0626519326043113,2.4232614849776e-05,0.0134688335648181
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium malmesburyense",0,4.74043380442555e-05,0,0.0221538873080814,0.00465021009112464,8.1141322447737e-06,0.00386673489086005,0.00105509972635161,0,8.407682606798e-05,0.000323346415686474,0.058226596975745,0,3.91544898198041e-05,5.23183899481234e-05,0.0060337962389316
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium ostraviense",0.00521005793112289,0.0236270318377304,0.296138910626509,0.130389752103366,0.121708305819577,0.111801420347959,0.0533609788624594,0.134204484268367,0.350794267274566,0.00481790775163005,1.88274072968663e-05,0.264159385812003,0.000222589849397981,0.0219506103406015,0.00133768934771616,0.10131614797202
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium sp001665295",0.600169969465358,0.931176605872062,0.984295379095026,0.749692067549884,0.896087796437432,0.651976595695796,0.785581289054071,1,0.614763883700271,0.56777999290688,1,0.546174011272068,0.25014328858742,0.42098597040231,0.105786390477538,0.673640882701074
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Nocardia",0.431945666087782,0.184276513347553,0.166692283633791,0.056528260625887,0.177786417985781,0.252264146969889,0.327007523021711,0.223744966054861,0.197798562088964,0.284613843271195,0.166031875197495,0.158802964974833,0.128329188828084,0.240170611697585,0.0555026432665636,0.203433031136798
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Nocardia;s__Nocardia cyriacigeorgica_D",0.0159390050576168,0.0145572784363996,0.00383135377165323,0.0358925755131561,0,0.0721463747984106,0.027894507590582,0.000205931769553373,0.0952361107437811,0.00159262973181135,0.00160201899836542,0.0110223285937558,0.0408225335524148,0.0458958305644606,0,0.0244425652747974
