"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__C18-neg_Cluster_0001: NA",2.80710299289094e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.87140199526063e-07
"m__C18-neg_Cluster_0006: NA",2.37804626811581e-05,0.0723798619829283,0.21204927876413,0.333806026003701,0,0,0,0.156932154379577,0.115436370699451,0,0.176117826191695,0,0,0.24994022919828,0.107044356236333,0.094915325594585
"m__C18-neg_Cluster_0011: NA",0,0.0100427924325439,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000669519495502929
"m__C18-neg_Cluster_0020: NA",0.0257300503026101,0,0.120014611023304,0.00042310135392633,0.0196832815009366,0,0,0.0150078439805084,0,0.0508415883609444,0,0,0,0.0496167739508479,0.00404696154852398,0.0190242808014401
"m__C18-neg_Cluster_0023: NA",4.51651215830923e-08,0.566255876859992,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0377503948016742
"m__C18-neg_Cluster_0028: NA",9.81880210000664e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.54586806667109e-08
"m__C18-neg_Cluster_0049: NA",0.0901865549632846,0,0,0.00262651233540246,0,0,0,0,0,0,0,0.00735643006175366,0,0,0.000511429244310688,0.0067120617736501
"m__C18-neg_Cluster_0050: NA",0.00128372699582438,0,0,0,0,0,0,0,0,0,0,0,0,0.00434815391796018,0,0.000375458727585638
"m__C18-neg_Cluster_0063: NA",6.72302277796366e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4820151853091e-09
"m__C18-neg_Cluster_0072: NA",2.20345625209387e-06,0.0386171113525093,0,0.00047969383240345,0,0.0549344880257078,0,0,0,0.0380874262536545,0,0.00679228307445392,0,0,0,0.0092608803996654
"m__C18-neg_Cluster_0075: NA",0.117981215831559,0,0,0.0415944685240763,0,0,0,0,0,0,0,0,0,0.00163566049026894,0,0.0107474229897269
"m__C18-neg_Cluster_0078: NA",0.00162831366721518,0,0,0.0358585857294417,0,0.0680619030754076,0,0,0.0731859267940525,0.0146809774013063,0,0,0,0,0.0118588407325701,0.0136849698266662
"m__C18-neg_Cluster_0081: NA",0,0.0224141601732729,0.0119115683979808,0.0116023391351175,0,0,0.00277307894185629,0,0,0,0.105345117797887,0,0,0.00609212284901811,0,0.0106758924863422
"m__C18-neg_Cluster_0085: NA",0.000407224959593238,0,0,0.021547373909129,0,0,0,0,0,0.00816257239214389,0,0.408253799092008,0,0.137209535061446,0.012093344114433,0.0391782566352502
"m__C18-neg_Cluster_0095: NA",2.65616612768694e-07,0,0,0.00653466389431979,0,0,0,0,0,0,0,0,0,0,0.37099997563032,0.0251689936760835
"m__C18-neg_Cluster_0103: NA",0,0,0,0,0,0,0,0,0,0,0.0222331371115839,0,0,0,0.0208959870062269,0.00287527494118739
"m__C18-neg_Cluster_0109: NA",0,0,0,0,0,0,0.0358968762063245,0,0,0,0,0,0,0,0,0.00239312508042164
"m__C18-neg_Cluster_0110: NA",0.000700158703712917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.66772469141945e-05
"m__C18-neg_Cluster_0121: NA",0.000230306968787169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53537979191446e-05
"m__C18-neg_Cluster_0124: NA",7.14035863936713e-05,0,0,0.0964533650314224,0,0,0,0,0,0,0,0,0,0,0,0.00643498457452107
"m__C18-neg_Cluster_0127: NA",2.9214963041573e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94766420277153e-07
"m__C18-neg_Cluster_0129: NA",8.29378423996202e-06,0,0,0,0,0,0,0,0,0,0,0,0,0.000795195060292342,0,5.35659229688202e-05
"m__C18-neg_Cluster_0131: NA",0,0,0.0124056357194138,0.00531497978265556,0,0,0,0,0,0,0,0,0,0,0,0.00118137436680462
"m__C18-neg_Cluster_0136: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0.000144802040162594,0,9.6534693441729e-06
"m__C18-neg_Cluster_0140: NA",0.201064401430244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0134042934286829
"m__C18-neg_Cluster_0158: NA",0,0.21098181058952,0,0,0,0,0.127593071881545,0,0,0.030988021024542,0.127315240832677,0,0,0,0,0.0331252096218856
"m__C18-neg_Cluster_0160: NA",6.2288197731802e-06,0,0,0.0509985805795357,0,0,0,0,0,0,0,0,0,0,0,0.0034003206266206
"m__C18-neg_Cluster_0170: NA",0.000380412892955453,0,0,2.98328904979264e-05,0,0,0,0,0,0,0.0660969259631661,0,0,0,0,0.00443381144977463
"m__C18-neg_Cluster_0173: NA",0.00103890269213248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9260179475499e-05
"m__C18-neg_Cluster_0176: NA",0,0,0,0.000966168726288122,0,0,0,0,0,0,0,0,0,0.000276447137972353,0,8.2841057617365e-05
"m__C18-neg_Cluster_0180: NA",0,0,0,0.000953189494186187,0,0,0,0,0,0,0,0.00699965481404434,0,0,0,0.000530189620548702
"m__C18-neg_Cluster_0190: NA",0,0,0.0178694199079117,0,0,0,0,0,0,0,0,0,0,0,0,0.00119129466052744
"m__C18-neg_Cluster_0191: NA",2.17953194891058e-06,0,0,2.08800814258965e-06,0,0,0,0,0,0,0,0,0,0,0,2.84502672766682e-07
"m__C18-neg_Cluster_0197: NA",0.00886563000968039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000591042000645359
"m__C18-neg_Cluster_0205: NA",0,0.0141482018914377,0,0.00701839051741596,0,0,0,0,0,0.0529476982073316,0,0,0,0,0,0.00494095270774568
"m__C18-neg_Cluster_0207: NA",0,0,0,1.13446546161506e-05,0,0,0,0,0,0,0,0,0,0,0,7.56310307743374e-07
"m__C18-neg_Cluster_0209: NA",3.71668195306785e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4777879687119e-08
"m__C18-neg_Cluster_0217: NA",0,0,0,0.000346444120183853,0,0,0,0,0,0,0,0,0,0,0,2.30962746789236e-05
"m__C18-neg_Cluster_0229: NA",0,0,0,0,0,0,0,0.0105944325308906,0,0,0,0,0,0,0.000827711516714094,0.000761476269840316
"m__C18-neg_Cluster_0231: NA",0,0,0,0,0,0.0183173537430586,0,0,0,0,0,0,0,0,0,0.00122115691620391
"m__C18-neg_Cluster_0234: NA",0.000265810238868291,0,0,9.11396478564195e-05,0,0,0,0,0,0,0,0,0,0,0,2.37966591149807e-05
"m__C18-neg_Cluster_0238: NA",5.96494519890462e-08,0,0,0,0,0,0.00829929717240054,0,0,0,0.10790468507014,0,0,0,0.261289736384932,0.0251662518851282
"m__C18-neg_Cluster_0239: NA",0,0.0324402833737025,0,0,0,0,0.0130492065876299,0,0,0.0147269629617119,0.0118156638684151,0,0,0.000774817655086188,0,0.0048537956297697
"m__C18-neg_Cluster_0262: NA",0,0,0,0.0017227709268629,0,0,0,0,0,0,0,0,0,0,0,0.000114851395124193
