"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000185285",0,0,0,0.0506772168970478,0,0,0,0,0,0,0,0,0.345538827551753,0,0,0.0264144029632534
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum",0.0451670523318866,0.0377947085960529,0.711192138192042,5.75299980007361e-08,0.000929034923684347,0.0540341958437554,0,0.213542327740462,0,0,0,0,4.55107396190626e-07,0.000457647766806069,0,0.0708745078688056
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium pullorum_C",0,0,0,0,0,0,0,0,0,0.105808292302811,0,0,0,0,0,0.00705388615352071
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Arthrobacter_D",0,0,0.431771500124775,0,0.433304354985586,0,0.362123171768523,0,0,0.107518761210992,0,0.237505808811163,0,0.0224729508527472,0,0.106313103183586
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Pseudarthrobacter",0.020109857822296,0,0,0.000101339248247657,0,0,0,0,0.0555493254576169,0,0,0,0,1.8184937824066e-05,0,0.00505191383106564
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Frankiaceae;g__Frankia",0.000906220479464975,0.0243858309870326,0,0,0.155404589446763,0.136092816695969,0.0681412716760776,0,0.142053474858813,0.161170087615725,0,0.236838412504612,0.211675846243454,0.00819226163695953,0,0.0763240541429914
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Micromonosporaceae;g__Micromonospora",0,0,0.132077472028907,0,0.201913411556109,0.377050183853095,0,0,1,0.242827207850447,0.757316506859861,0,0.105617267057197,0.235697782644666,0,0.203499988790019
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Gordonia",0,0,0,0,0,0,0,0,0,0,0,0,4.45052696834092e-06,0.00300286644939236,0,0.000200487798424047
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium",0.394653064858258,0.119988169356651,0,0.00126606708658726,0,0,0,0,0,0,0,0,2.86100312512938e-05,0.0917105238359416,0,0.0405097623445793
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium angelicum",0,0,0,0,0,0,0,0,0,0,0,0,0,1.58083706912612e-05,0,1.05389137941741e-06
