"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__C18-neg_Cluster_0001: NA",1.23633501714523e-09,2.03653317284258e-10,8.13306169392393e-09,0,1.3066149471733e-08,1.38911591529814e-08,9.47641154245975e-09,1.72900017813873e-08,0,2.06063704736091e-08,0,0,1.24549201896414e-08,0,0,6.42387084267769e-09
"m__C18-neg_Cluster_0002: NA",7.44964735520917e-09,6.05842932899957e-09,9.70258118024083e-10,0,2.08725570190514e-08,2.17039298213524e-08,1.05950117118397e-08,3.15525311659965e-08,0,2.46817935569727e-09,0,0,4.13290167682052e-09,0,0,7.05356303686604e-09
"m__C18-neg_Cluster_0003: NA",7.83726839408353e-09,1.42694174013065e-08,1.15246016114406e-07,0,7.81456420665974e-08,6.22161428479215e-08,6.4103683620123e-08,6.46122070866058e-08,0,5.18542619640764e-08,0,0,1.44399031362431e-08,0,0,3.15149695087576e-08
"m__C18-neg_Cluster_0004: 4-hydroxystyrene",2.78342846152292e-09,3.97836259715309e-09,7.03512969628433e-09,0,1.927308015444e-08,2.53496952637876e-09,1.82696018656753e-08,2.15129916561911e-08,0,1.12152441805991e-09,0,0,5.84180474703321e-09,0,0,5.49005954151591e-09
"m__C18-neg_Cluster_0005: NA",3.85736545424372e-08,3.66631857658583e-08,7.71644304533788e-08,0,2.98135265901239e-08,1.03081182960995e-07,1.55111645488614e-07,5.64677002515529e-08,0,8.75464732176245e-08,0,0,4.93523751522619e-08,0,0,4.22516116281898e-08
"m__C18-neg_Cluster_0006: NA",8.32282981459602e-09,2.36247366529259e-08,7.30178044430127e-08,0,6.70282248518647e-09,7.74484240852561e-08,8.24685826229296e-08,4.81639935279844e-08,0,4.27565561214414e-08,0,0,4.85072405711598e-08,0,0,2.74008660216328e-08
"m__C18-neg_Cluster_0007: NA",3.07106600414072e-09,8.31327159890624e-09,3.56339499139245e-09,0,1.50148944970834e-09,6.58389899971038e-09,3.51967247085716e-08,2.25381864947199e-08,0,7.18104772095034e-09,0,0,7.10371339975553e-10,0,0,5.91063008720503e-09
"m__C18-neg_Cluster_0008: NA",4.97708694650284e-09,1.81135203879803e-08,3.18559133203709e-08,0,4.64448913676541e-08,2.55352430616863e-08,3.37198934749424e-08,3.97253562797295e-08,0,1.630152338647e-08,0,0,3.11547283127029e-08,0,0,1.65218771025359e-08
"m__C18-neg_Cluster_0009: NA",3.23521705965296e-09,1.66656919150366e-08,3.50822007382963e-08,0,1.5207095004165e-08,7.91686094051357e-09,2.46018098695853e-08,1.50550247936345e-08,0,1.43988256836108e-08,0,0,2.46127242381174e-08,0,0,1.04516966828408e-08
"m__C18-neg_Cluster_0010: NA",8.08797268918077e-09,2.53564645243823e-08,7.41265378402002e-08,0,6.81317075470573e-08,3.35727612535294e-08,5.25856714042012e-08,5.36403062537167e-08,0,4.13794397501832e-08,0,0,6.46574452852117e-09,0,0,2.42231070527315e-08
