"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinobaculum",0.00151230420520078,0.00428630791909438,0.0297200420679558,0.0011553112241216,0.0428717231268214,0.076494858083981,0.0223552383839896,0.000905506412619846,0.0267697391591254,0.0390703708472643,0.0140176096004056,0.0280190346164947,0.0554015970107721,0.0115077190783841,0.0190637663952002,0.0248767418754287
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinobaculum;s__Actinobaculum massiliense",0.00241533030536083,0.0136373973315149,0.0235112528236281,8.55473001519366e-05,0.0227180591803991,0.0525046222663676,0.00981133818419338,0.0157223082878959,0.0242413933442221,0.022483678497735,9.91686058675189e-05,0.0227028887563199,0.033650238563112,0.00723441263108354,0.0131059786165269,0.0175949076462919
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces",2.2346302028138e-07,3.68742930664979e-07,3.24353461305451e-06,1.02623625794116e-07,1.26517708098361e-05,6.59741658888099e-05,0.00027388039985935,2.6846942979273e-05,2.949609390729e-05,4.12894421467918e-06,4.69212136035407e-07,2.75413316050477e-06,6.23334246484309e-06,1.76196885099922e-06,3.92827874184412e-06,2.8804241146884e-05
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces dentalis",4.62732055786859e-06,2.81185777166227e-05,2.04766778393044e-05,3.95342417111893e-06,1.8228174015629e-05,0.011643073795019,0.0067409453898084,0.00625371257211984,0.00912816978315848,6.07111063932399e-05,6.20895222348122e-05,3.39110322920082e-05,5.58058280886861e-05,2.38125119702552e-06,7.16537549324057e-06,0.00227089132200702
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces gerencseriae",8.21069872113709e-05,0.000461184538961784,0.000679933895584474,5.08113734994989e-05,0.00131414796727434,0.000353093746707749,0.000624205148270703,0.00244891348584544,0.00209977419165448,0.000262515294233938,0.00111726301015018,0.00032660229940289,8.83755232075997e-06,0.000301503276915349,7.85042185339026e-05,0.000680626465771123
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces graevenitzii",2.34457295956755e-05,6.67995479420509e-05,0.00135146585405507,5.39531284896438e-05,0.000160966232744471,0.000473792792043358,0.000332586042080185,0.000324921223913311,0.000573596259899692,0.000260145671149699,0.000165967812064958,0.000504681611032154,0.00155911036490683,7.96568184371278e-05,0.000601135202512817,0.000435481619391136
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces israelii",5.173011420715e-05,0.000258058297579843,0.000250727213142609,5.34976858998233e-05,0.000231478542592735,0.0184098871968253,0.0124426475286861,0.00908527641092396,0.00889739153537317,0.000623923461289858,0.000748203381366288,0.000475375324344534,0.000454408099674396,0.000178483643915939,7.21710959246799e-05,0.00348221730211642
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces johnsonii",3.17310057864214e-05,0.000132426548411504,0.000290078286517288,2.36680711910116e-05,2.28441221368043e-05,0.000594771014428428,0.00174625002386714,0.000307875572892453,0.000301871972395752,0.000348347653064158,0.000230834027949668,0.000160330525145607,0.0003299406388403,5.72867042785168e-05,0.000136572690925552,0.000314321923855373
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces massiliensis",1.04137832009537e-05,6.6962764988228e-05,4.95968614213209e-05,6.88772286134434e-06,5.66185898630749e-05,0.0057159444839543,0.00587906096908487,0.00290104707594323,0.00256969151274477,0.000118319035423973,0.000126652877741823,5.53821336599004e-05,9.47418616317319e-05,4.07571965500633e-06,2.46877596895238e-05,0.00117867221012427
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces naeslundii",1.26770362915126e-05,6.50211448032281e-05,0.000104046174576016,1.00434893259589e-05,0.000562784671131029,0.000218494956730094,0.0061708665140169,9.49094219520318e-05,9.76971138642106e-05,0.000122885522962116,0.000114440592111809,9.08553332183644e-05,0.000139277221142834,0.000341225443379457,0.000427871612790079,0.000571539749886376
