"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinobaculum",0.000324503306583407,0.264604433808558,0,0.00166572391720614,0.0461502779683313,0.0268925510178272,0.000526457700489385,0.0148768108872146,0.0211769391667245,0.0185638916399899,0.118988399823566,0.0623036090455623,0.000535852728673183,0.049468837478813,0.0907000394968183,0.0477852218657571
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinobaculum;s__Actinobaculum massiliense",0.0023255545218888,0,0.0375716975175894,0,0.0018501755401145,0.305794734156276,0.0349535564678989,0.0139580136440716,0.0563238224264428,0,0.00819746068085637,0.116255102169733,0,0,0,0.0384820078083248
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces",0.177854465001819,0.127307355091816,0.0358386695569571,0.165268618360007,0.0649559342209552,0.0641031423903275,0.0344652701614933,0.118674758422031,0.29194776825336,0.107900180701586,0.0681657565844203,0.0478635841224278,0.058987046153486,0.136885921915797,0.0327620831837196,0.102198703608013
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces dentalis",0.0142052261553465,0.037432091036596,0,0.276035037216447,0.0203798358427566,0.00221969363562421,0.0396689787997734,0.0186047194848564,0.00265211794513948,0.00848007991236216,0.034687569884708,0.00448668212447609,0.0967144758485644,0.136049978110604,0,0.0461077657331503
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces gerencseriae",0.0182535302096495,0.182147210970874,0.0606077731546404,0.101334494057349,0.0783185895563049,0.111759508168087,0.175523519633094,0.00135485016735226,0.0550876046418275,0.288193845742276,0.0738874718215256,0.0826369062450664,0.0259652136518663,0.0220145611596482,0.0314893640079217,0.0872382962124989
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces graevenitzii",0.0591283649211433,0,0.169270489701204,0.00724319995016629,0.00175750277292184,0.023888603380841,0,0.0482527427248355,0.142707946731399,4.58820851210828e-05,0.120787306060007,0.0555995333279428,0.118019063451298,0.000945019055157411,0.0894173209921413,0.0558041983436119
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces israelii",0.149780205809393,0.00162697365813319,0.0108501039515103,0.0912959053332213,0.0577389504763201,0.0128388239835724,0.047294602461859,0.0720907153533219,0.0761961525479503,0.0367162348801058,0,0.0952661095409563,0.036588147194511,0.137402845650455,0.0598542881178919,0.0590360039306135
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces johnsonii",0.0318584508044625,0.405796864177633,0.102632208211501,0.0297121928060948,0.0229031330205992,0.0804782170444285,0.00193345600916572,0.11337076446762,0.0606491226046055,0.0681651785809871,0.0276009939275431,0.00869377884845414,0.0146713894386282,0.0680782007139403,0.121794291937246,0.0772225495061939
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces massiliensis",0.00258783510706426,0.144872689424805,0.134732232737851,0.119696623543112,0.00306449235530017,0.235798424862186,0.198161599504526,0.047300464553267,0.000136026809581264,0.294672955171197,0.104129868257197,0.0771202954700325,0.239365069249611,0.0756375791395925,0.0592155890409802,0.11576611634842
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces naeslundii",0.0624259079106987,0.0175128461419993,0.014261790252456,0,0.0991289288849335,0.0369882999524703,0.00398762541489106,0.202396708337148,0.324266267582226,0.10395405046296,0.0890840063888639,0.18719610120227,0,0.208831013242157,0.0810638655490538,0.0954064940881418
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris",0.0510080736298819,0.142766605601072,0.00926862594551214,0.0305674737012484,0.0737753019221089,0.452588694952673,0.0394448989182612,0.117878487516213,0.0103433120371191,0.0944866572918068,0.134043458797338,0.033175848172426,0.0869747161201742,0.0907723819187217,0.0111115832963989,0.0918804079880637
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_A",0.0299893336428012,0.224548116434664,0.0387611431031125,0.023229486196025,0,0.380382167122985,0.220849957125121,0.00533302664810898,0.138976620497718,0.00405414104129887,0.149826710715196,0.095184099157288,0.118995278892085,0.0610043448558482,0.159513912677081,0.110043222540622
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_B",0.098173889650225,0.0319950301546688,0.0284000240445297,0.134627263604908,0.00848776421825558,0.0209409399240523,0.0335896075805699,0.0513130722764728,0.00754202201997887,0.109391134437216,0.227917669658137,0.0192699938238466,0.121315587720975,0.199545039813282,0.0669587649752606,0.0772978535934918
