"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__C18-neg_Cluster_0001: NA",0.00295743263676203,0,0.00060226753009971,0,0.0241183332373209,0,0,0,0.0232549856579158,0.00034857411379969,0,0.00176573140625083,0,0.00506155852874726,0,0.00387392554072642
"m__C18-neg_Cluster_0002: NA",0.00102188685821141,0,0.0568042334149973,0,0.064448885288717,0,0,0,0.0248482857283447,0.00476067796609802,0,0.0400662783089487,0,0.00933130873364863,0,0.0134187704199311
"m__C18-neg_Cluster_0003: NA",0.00182990580170741,0,0.0760517069669012,0,0.0698383808897956,0,0,0.000837349034298131,0.0114800056692644,0.000343273560566507,7.4246066999401e-08,0.0225779049875859,0.000795584249349462,0.00106749737957945,0,0.0123214455190077
"m__C18-neg_Cluster_0004: 4-hydroxystyrene",0.00305309111121353,0,0.0123888116022575,0.00948478602622842,8.43240591818766e-06,0,0,0,0.00898874430084826,0.00220496507635416,0.00016171268004002,0.00561806015705581,0,0,0,0.00279390689066106
"m__C18-neg_Cluster_0005: NA",0.000399618631001088,0,0.0212293180639057,0,0.00714670727946582,0,0,2.39161299450083e-08,0,0.00961711665108489,7.05630174022684e-08,0.0304814785317728,0,0.0109674516081272,0,0.00532278568296699
"m__C18-neg_Cluster_0006: NA",6.80183526272012e-06,0,0.0039763120508391,0,0.00220219143978226,0,0,0,0.0297650249972695,0.00445486005555301,6.77133790013223e-07,0.0356980926415123,0,0.00403794141175574,0,0.00534279343771764
"m__C18-neg_Cluster_0007: NA",0.000137669128372263,0,0.000668145209400935,0,0.00229584875367717,0,0,0,0,0.0101107186188216,0,0.00254764787774628,0,0,0,0.00105066863920122
"m__C18-neg_Cluster_0008: NA",0.000730741417359459,0,0.103757615139346,0,0.180579399884003,0,0,0.00195070932438143,0.0665114630513444,0.0049165058603429,0,0.0176821631824953,0,0,0,0.0250752398572848
"m__C18-neg_Cluster_0009: NA",1.24316907568334e-06,0,0.00216608929985721,0,1.37417584182012e-05,0,0.00051405631328767,0.00200136376186967,0,0.00174462132236328,1.50223051929965e-06,0.00375069513702739,0,0,0,0.00067955419949456
"m__C18-neg_Cluster_0010: NA",9.68587034715718e-05,0,0.0130054235838939,0,5.77029959995427e-06,0,0,0,0.024104027403748,0.000867266993556382,4.34557977461603e-06,0.0196685648585222,0.00132473042618168,0,0,0.00393846585658322
"m__C18-neg_Cluster_0011: NA",5.75976524696226e-05,0,0.000154199921159404,0,0.00142133559309631,0,0,8.15714281122775e-08,0.0423575387803414,0.00736895209129774,0,0,0,0,0,0.00342398037398617
"m__C18-neg_Cluster_0012: NA",0,0,7.36740479288024e-10,0,0,0,0,0,0,0,0,0,0,0,0,4.91160319525349e-11
"m__C18-neg_Cluster_0013: NA",0.0003690659926303,0,0.000745602889501145,0,0.000143419647172731,0,0,0,0,0.0121173524164935,4.24592611008637e-06,0.0255425100891807,0,0,0,0.00259481313073923
"m__C18-neg_Cluster_0014: NA",1.26050183324308e-05,0,0.0140154439056689,0,2.09147268906774e-06,0,0,1.05493762043459e-08,0,0.000196690752288378,1.53910129234734e-08,0.00724995867138232,0,0,0,0.00143178771738335
"m__C18-neg_Cluster_0015: NA",0.0296755010214193,0,0.0458881319382652,0.0140985155412464,0.0011719688453277,0,0,0,0.0724464615431111,0.00173034688726327,3.95875884602755e-05,0.00346599131476994,0,0.0227139404875887,0,0.0127486963444968
"m__C18-neg_Cluster_0016: NA",0.00482927707340171,0,0.00509386356317419,0,1.35083454312235e-06,0,0,6.69554174530704e-07,0,0,4.0034450450096e-08,0.000883322170102017,0,0,0,0.000720568215323068
"m__C18-neg_Cluster_0017: NA",0,0,0.000330870249768704,0,6.29998454209257e-05,0,0,3.94868926117506e-07,0,0.00403971935717726,0,0.00449727478307297,0,0,0,0.000595417273624399
