"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__C18-neg_Cluster_0001: NA",0.00656144909786336,0,0,0,0,0,8.02199491872559e-05,0,0,0.000160737068842119,0,0,0,0,0.00346516612014168,0.000684504815735628
"m__C18-neg_Cluster_0002: NA",0.0406337818154355,3.67416197453787e-06,0,0,0.0148728378104668,0,0.00695371675468112,0,0,0.00192209591630028,0,0.000312115705578558,0,0,0.00196228455798024,0.00444403378149447
"m__C18-neg_Cluster_0003: NA",0.078746047427457,5.76126894315036e-06,0,0.00271398231877701,0.0286748187784577,0,0.00908145124246361,0,0,0.0192524244882775,0,0,0,0,0.00197756125096723,0.00936346978502288
"m__C18-neg_Cluster_0004: 4-hydroxystyrene",0.0114850882836021,0.000755932830549391,0,4.17741132605781e-05,0,0,0.00144080277072515,0,0,0.000710122317565822,0.000395755686448396,0,0,0,0.00508739092033216,0.00132779112816557
"m__C18-neg_Cluster_0005: NA",0.0128214260900225,7.54335541064005e-06,0,0,0,0,0.000372124463977085,0,0,0.0259808610669526,0,0.319149823359367,0,0,0.00220387143987613,0.0240357099850404
"m__C18-neg_Cluster_0006: NA",0.00251266349519775,4.78438778009087e-05,0,0.00186336132004736,0,0.0555378770571937,0.000259097918008506,0,0,0.00351421973200154,0.00128872100038649,0,0,0,0.000925984492665712,0.00439665125955347
"m__C18-neg_Cluster_0007: NA",0.000562587829266076,0.0224043233804447,0,0,0,0,0.000938623058937721,0,0,0.000691660409286326,0,0,0,0,3.95396809963923e-05,0.00164244895726208
"m__C18-neg_Cluster_0008: NA",0.0185220701538246,0,0,0,0,0.0771878073445266,0.0157803147716225,0,0,0.00245005076387437,0,0,0,0,0.000544351065444403,0.00763230627328617
"m__C18-neg_Cluster_0009: NA",0.0024943947145045,0.00775203415168945,0,0,0,0,0,0,0,0.0070359429812153,0,0,0.00068268693654724,0.00462817241421315,9.48048352853847e-05,0.00151253573556367
"m__C18-neg_Cluster_0010: NA",0.0138382141316487,0,0,0.000845720702856732,0,0,0.00924715762384418,0,0,0.00125336108934698,0,0,0,0,0,0.00167896356984644
"m__C18-neg_Cluster_0011: NA",0.000679718426142221,0,0,0,0,0,0.000790600578699523,0,0,0.000219950850654481,0,0,0,0,1.40820170161342e-05,0.000113623458167491
"m__C18-neg_Cluster_0012: NA",0,0,0,0,0,0,0,0,0,2.44964222647646e-07,0,0,0,0,1.58700974534802e-06,1.22131597866378e-07
"m__C18-neg_Cluster_0013: NA",0.11891049236623,0,0,0.00593884565058794,0.00754665380051758,0,0.000886125230015777,0,0,8.21864131167477e-05,0,0,0,0,0.0367131381614148,0.0113384961081255
"m__C18-neg_Cluster_0014: NA",0.000339791987158335,0,0,0,0,0,0,0,7.16758069087859e-08,0.00570665964567308,0,0,0,0,0,0.000403101553909221
"m__C18-neg_Cluster_0015: NA",0.0903590405105262,0,0,0.000200851107982012,0.0138328128809686,0,0.00369146357216112,0,0,0.00834315079078565,0,0,0,0,0.00124792112635133,0.00784501599925166
