"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces",0,0,0,0.0906450124090488,0,0.0018179402071232,0,0.00460753632015592,0,2.06190197283969e-07,0.0326689200896514,0,0.00109893280315802,0,0,0.00872256986795564
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces dentalis",0.00315663292192771,0,0,0,0,0,0,0,0,0,0.0792684737997319,0,0,0,0,0.00549500711477731
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces gerencseriae",0,0,0,0,0,0.294718288364163,0,0,0,9.64362385575778e-07,0,0,0,0,0.320692159417929,0.0410274274762985
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces graevenitzii",0,0,0.00477046637652389,0,0,0,0,0,0,1.94330455260187e-05,0.0689017466497967,0.0184673147890382,0.0336984147671703,0,0,0.00839049170853701
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces israelii",0,0,0,0,0,0,0,0,0,0,0,0.0614520515994086,0.00118255370701629,0.135223864810851,0,0.0131905646744851
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces johnsonii",0,0,0,0,0,0,0,0,0,0.016384742530196,0,0,0,0,0,0.00109231616867973
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces massiliensis",0,0,0,0,0,0,0,0,0,0,0.0796741889475078,0,0,0,0,0.00531161259650052
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces naeslundii",0,0,0,0,0,0,0,0,0,1.20317082122321e-06,0,0,0,0,0,8.02113880815471e-08
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_A",0,0,0.00368935541812576,0,0,0,0.00196965456502805,0,0,0,0,0,0,0,0,0.000377267332210254
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_B",0.00553086328662891,0,0,0.000338665986870001,0,0,0,0,0,0.0366465190336074,0,0,0,0,0,0.00283440322047376
