"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__C18-neg_Cluster_0001: NA",0.122902874839426,0,0.00340312410518637,0,0.101328004644857,0,0.137202224726809,0,0.0103548794250532,0.000337001614053162,0,0,0,0,0,0.025035207290359
"m__C18-neg_Cluster_0002: NA",0.131933382601234,0,0,0,0.130946820447047,0,0.125678929616718,0,0,0,0,0,0,0,0,0.0259039421776665
"m__C18-neg_Cluster_0003: NA",0.11332375230104,0,0,0,0.0447846840835764,0,0.100416886807233,0,0,0,0,0,0,0,0,0.0172350215461233
"m__C18-neg_Cluster_0004: 4-hydroxystyrene",0.0576688080910415,0,0,0,0.0808656090263686,0,0.0660647847694287,0,0,0,0,0,0,0,0,0.0136399467924559
"m__C18-neg_Cluster_0005: NA",0.202258683640232,0,0,0,0.219326635869212,0,0.140100842518976,0,0,0,0,0,0,0,0,0.037445744135228
"m__C18-neg_Cluster_0006: NA",0.0832494146863321,0,0.0517189645994708,0,0.11262388657026,0,0.119218581599468,0,0,0,0,0,0,0,0,0.0244540564970354
"m__C18-neg_Cluster_0007: NA",0.0996695897043691,0,0,0,0.0801360646533989,0,0.111987691545939,0,0,0,0,0,0,0,0,0.0194528897269138
"m__C18-neg_Cluster_0008: NA",0.0438429056375551,0,0,0,0.0532709447192634,0,0.0244593114213869,0,0,0,0,0,0,0,0,0.00810487745188036
"m__C18-neg_Cluster_0009: NA",0.0057287466418571,0,0,0,0.025516524143469,0,0.0274319611891946,0,0,0,0,0,0,0,0,0.00391181546496805
"m__C18-neg_Cluster_0010: NA",0.0791524304287065,0,0,0,0.0787171830966308,0,0.030852381968055,0,0,0,0,0,0,0,0,0.0125814663662262
"m__C18-neg_Cluster_0011: NA",0.129660586018213,0,0,0,0.0854451195424,0,0.0978965324347342,0,0,0.00189065120699339,0,0,0,0,0,0.0209928592801561
