"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_A",0,0,0,0,0,0,0,0,0,0,0,0.0271394488866645,0,0,0,0.0018092965924443
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp000220835",0,0,0,0,0,0,0,0,0,0.0475253362109343,0,0,0,0,0,0.00316835574739562
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium pullorum_C",0.115232053158325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00768213687722167
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium",0,0,0,0,0,0,0,0,0,0.176938162274194,0,0.0534126197750841,0,0,0,0.0153567188032852
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium sp001665295",0,0,0,0.015985206047706,0,0,0,0,0,0,0,0,0,0,0,0.0010656804031804
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Pseudonocardiaceae;g__Amycolatopsis",0,0,0,0,0,0,0,0,0,0,0,0.114258540024788,0,0,0,0.00761723600165252
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptosporangiales;f__Streptosporangiaceae;g__Spirillospora",0,0,0.11142649128876,0,0,0,0,0,0,0,0,0,0,0,0,0.00742843275258397
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptosporangiales;f__Streptosporangiaceae;g__Spirillospora;s__Spirillospora geliboluensis",0,0,0,0.0418818438603302,0,0,0,0,0,0,0,0,0,0,0,0.00279212292402201
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Olsenella_F",0,0,0,0.0593111965470744,0,0,0,0,0,0,0,0,0,0,0,0.00395407976980496
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Thermophilibacter;s__Thermophilibacter uli_B",0,0,0.0183370744537942,0,0,0,0,0,0,0,0,0,0,0,0,0.00122247163025295
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella aerofaciens_AC",0,0,0,0.431462845415887,0,0.0376618996523866,0,0.105538386042408,0,0,0,0,0,0,0,0.0383108754073788
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp014871665",0,0,0.0614036512898725,0,0,0,0,0,0,0,0,0,0,0,0,0.00409357675265816
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp018368345",0,0,0,0.029933341539557,0,0,0,0,0,0,0,0,0,0,0,0.00199555610263713
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp900540875",0,0,0,0,0,0,0,0.0391309766139661,0,0,0,0,0,0,0,0.00260873177426441
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp900541175",0,0,0,0,0,0,0,0,0,0,0,0.0914878741201276,0,0,0,0.00609919160800851
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp900541665",0,0,0,0,0,0,0,0,0.0532921866596492,0,0,0,0,0,0,0.00355281244397661
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp900541855",0,0,0.108017217893589,0,0,0,0,0,0,0,0,0,0,0,0,0.00720114785957263
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp900542125",0,0,0,0,0,0,0,0.00947576454780154,0.011673874361197,0,0,0,0,0,0,0.00140997592726657
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp900542965",0,0,0,0,0,0,0,0,0.0650663210929028,0,0,0,0,0,0,0.00433775473952685
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp900543275",0,0,0,0,0,0,0,0.0310389133694317,0,0,0,0,0,0,0,0.00206926089129545
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp900544235",0.00656139532302888,0,0,0,0,0,0,0.00177943845018773,0,0,0,0,0,0,0,0.000556055584881107
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp900544755",0,0.392998120289633,0,0,0,0,0,0.283366424433135,0.108434683066941,0,0.334906452286425,0.200661593010732,0.0479843581849951,0,0.0868816948100079,0.0970155550721246
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp900546115",0,0,0,0,0,0.0201549419063397,0,0,0,0,0,0,0,0,0,0.00134366279375598
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp900548255",0,0,0,0,0,0,0,0,0.0565388497508526,0,0,0,0,0,0,0.00376925665005684
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp900549215",0,0,0,0.0256391566933218,0,0,0,0,0,0,0,0,0,0,0,0.00170927711288812
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp900549535",0,0,0,0,0,0,0,0,0.0220352634952604,0,0,0,0,0,0,0.00146901756635069
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp900552875",0,0,0,0.043344402798838,0,0,0,0,0,0,0,0,0,0,0,0.00288962685325587
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp900553935",0,0,0,0,0,0,0,0,0.0849186878105124,0,0,0,0,0,0,0.00566124585403416
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp900554455",0,0,0,0,0,0,0,0,0,0,0,0.0382986907803409,0,0,0,0.00255324605202273
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp900554645",0,0,0,0.00941137171190609,0,0,0,0,0,0,0,0,0,0,0,0.000627424780793739
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp900751755",0.076707981469313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00511386543128753
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp900757285",0,0,0,0,0.129524925528629,0,0,0,0,0,0,0,0,0,0,0.00863499503524196
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp900761995",0,0,0,0,0,0,0,0,0.0456778487184734,0,0,0,0,0,0,0.00304518991456489
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp905213265",0,0,0,0,0,0,0.0120997763334348,0,0,0,0,0,0,0,0,0.000806651755562321
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp905214425",0,0,0,0.154148667359319,0,0,0,0,0,0,0,0,0,0,0,0.0102765778239546
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp905215725",0,0,0,0.0774093436971759,0,0,0.0932967096571353,0,0,0,0,0,0,0,0,0.0113804035569541
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp905216145",0.0551318767340682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00367545844893788
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella stercoripullorum",0,0,0,0,0,0,0,0,0,0.0280972929911736,0,0,0,0,0,0.00187315286607824
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Adlercreutzia;s__Adlercreutzia sp910585575",0,0,0,0.0902460963244186,0,0,0,0,0,0,0,0,0,0,0,0.00601640642162791
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__CAG-1427;s__CAG-1427 sp000434775",0,0,0,0,0,0,0.0460598513024504,0,0,0.0329793758937544,0,0.0223410332910059,0,0,0,0.00675868403248071
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__CAG-1427;s__CAG-1427 sp900547965",0,0,0.109268005055969,0,0,0,0,0,0,0,0,0,0,0,0,0.00728453367039793
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__CAG-1427;s__CAG-1427 sp900553605",0.037694407370386,0,0.0976478636285761,0,0,0.328280831674647,0.0182424903897212,0.0264702115329103,0,0,0,0,0.0468708994819557,0,0,0.0370137802718797
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__CAJFUR01",0,0,0.0201104603847872,0,0,0,0,0,0,0,0,0,0,0,0,0.00134069735898581
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__CAJFUR01;s__CAJFUR01 sp904420575",0,0,0,0,0,0.0289385346563592,0,0,0,0,0,0,0,0,0,0.00192923564375728
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Ellagibacter;s__Ellagibacter isourolithinifaciens",0,0,0,0,0,0.167945110436807,0,0,0,0,0,0,0,0,0,0.0111963406957871
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Enteroscipio",0,0,0.0597532425930034,0,0,0,0,0,0,0,0,0,0,0,0,0.00398354950620022
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__MGBC163016",0,0,0,0.0375580116692807,0,0,0,0,0,0,0,0,0,0,0,0.00250386744461871
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Parvibacter",0,0,0.0295749679643826,0,0,0,0,0,0,0,0,0,0,0,0,0.00197166453095884
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Senegalimassilia;s__Senegalimassilia faecalis",0,0,0,0.0329332824823219,0,0,0,0.0020083859438231,0,0,0,0,0,0,0,0.002329444561743
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__QAMH01;g__QAMH01;s__QAMH01 sp003149935",0,0,0,0.0206967497532771,0,0,0,0,0,0,0,0,0,0,0,0.00137978331688514
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__QAMH01;g__QAMH01;s__QAMH01 sp900544245",0.281805628816144,0,0,0.113043728703777,0,0,0,0,0,0,0,0,0,0,0,0.0263232905013281
"t__d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides cellulosilyticus",0,0,0,0,0,0,0,0.000359114102821376,0,0,0,0,0,0,0,2.39409401880917e-05
"t__d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis_A",0,0,0,0,0,0.0165371987560812,0,0.00349119912401263,0,0,0,0,0,0,0,0.00133522652533959
"t__d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp905201685",0,0,0,0,0,0.0173165705309233,0,0,0,0,0,0,0,0,0,0.00115443803539489
"t__d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides stercoris",0,0,0,0,0,0,0,0.00249030080025629,0,0,0,0,0,0,0,0.000166020053350419
"t__d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides xylanisolvens",0,0,0,0.10740845822164,0,0.0789936706479698,0,0,0.0549694267040447,0,0,0,0,0,0,0.0160914370382437
"t__d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Paraprevotella;s__Paraprevotella sp900548345",0,0,0,0.0179680986756779,0,0,0,0,0,0,0,0,0,0,0,0.00119787324504519
"t__d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola sp000432735",0,0,0,0,0,0,0.0928143515707149,0,0,0,0,0,0,0,0,0.00618762343804766
"t__d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp002251295",0,0,0,0,0,0,0,0,0,0,0,0.0488581484255716,0,0,0,0.00325720989503811
"t__d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella",0,0,0,0,0,0.0653622510154192,0.0218183754001175,0.0204856053715862,0,0.0295466559088459,0,0.0408723312158344,0,0,0.0548026156965823,0.015525855640559
"t__d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella;s__Barnesiella intestinihominis",0,0,0,0,0,0.0834553705999072,0,0.0570639374799419,0,0,0,0,0,0,0,0.00936795387198993
"t__d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485",0,0,0,0.0437540194921047,0,0,0,0,0,0,0,0,0,0,0,0.00291693463280698
"t__d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__CAG-873 sp004554255",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0679908874222739,0.00453272582815159
"t__d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__SFTJ01",0,0,0,0,0,0,0,0,0,0.0521148599782687,0,0,0,0,0,0.00347432399855124
"t__d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes_A;s__Alistipes_A pullistercoris",0,0,0.0281226071780284,0,0,0,0,0,0,0,0,0,0,0,0,0.00187484047853522
