"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__C18-neg_Cluster_0001: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0002: NA",0.00193255972042968,0.0131023685275255,0,0.0126885779149925,6.09220361206148e-05,0.000165905490420556,1.13803087063261e-05,0,0,4.03449996744603e-05,0.004710733530396,0.000595946510944113,0.000685342766332055,0.00623248700918512,1.78588578985769e-05,0.0026829618448417
"m__C18-neg_Cluster_0003: NA",0.00884709276721045,0,0,0,0,0,0.00108864539158974,0,0,0,0.15566745559686,0,0,3.78367386436843e-05,0,0.0110427353662869
"m__C18-neg_Cluster_0004: 4-hydroxystyrene",0,0.00400310906816908,0.0181770315627321,3.82493579056781e-07,0.00037121586581636,0.0010570959175911,0,0,0.000166751749716294,0,0,0.0011884977802423,0,0.0198169925105013,7.02070459353124e-06,0.00298587317686274
"m__C18-neg_Cluster_0005: NA",0.0230178895254518,0,0,0.0365818256456392,0.00365304753853084,0,0.0437331224535338,0,0,0,0.0096640418742203,0.0267220097957882,0,0,0,0.00955812912221094
"m__C18-neg_Cluster_0006: NA",0,9.38445404794036e-07,0,0,0.0499196107497959,0,0.00918696597200029,0.012105361784848,0.00321758604107164,0.00230489166106892,0,0,0.00268991439649732,0,0,0.00529501793671245
"m__C18-neg_Cluster_0007: NA",0.000120852931741075,0,0.0290320596491,0.00123717415240911,0.032861051628629,0,0,0.00138852923658005,8.98811059181737e-06,0,0.02885734468762,0,0,0.000586881052123562,0,0.00627285876325298
"m__C18-neg_Cluster_0008: NA",0.0559795434161983,0.00134565516075264,0,0,0.00272783527300552,0,0.000162628337600099,0.00276400024182852,0.00715568337192039,8.34724804843113e-05,0.00182355257292787,0.0124384901131494,0,0.00228815272745568,0.00191361474215449,0.00591217522916515
"m__C18-neg_Cluster_0009: NA",0,0,0,0.0148605412283636,0.0510781552904572,0,0.000966379743960857,0.0340233117211834,0.0064647547597079,0.00486519446254428,0,0.0657903745794958,0.0151302094753337,0.00338291399161079,0.00346534544053508,0.0133351453795462
"m__C18-neg_Cluster_0010: NA",0.0201418680840216,0.00243497779692747,0.000102539863667599,0,0.00063763471001437,0.00216316138718205,0.00304040335377984,0,0.082446496938893,0.00948776332677423,0.000621091874198079,0,0,0,0.0160160409545087,0.00913946521933112
"m__C18-neg_Cluster_0011: NA",0.00534068180238018,0,0,0.00164550133538198,2.49123403871974e-05,0.00131744243389801,0.0011865166331094,0,0,0,0,0.00494959664775892,0,0,0.00288674201278741,0.00115675954704687
"m__C18-neg_Cluster_0012: NA",0,0,0,0,0,0,0.000994178893065329,0,0,0,0,0,0,0,0,6.62785928710219e-05
"m__C18-neg_Cluster_0013: NA",0.00982951959858748,0,0.0109078504443835,0.00697183036612262,0,0,0.0238192263322057,3.2939406145919e-05,0,0.000338521447331422,0,0.00402525497371697,0,0.0468266843128156,0.000484432339979909,0.00688241728141928
"m__C18-neg_Cluster_0014: NA",0,0,0.000378003083631654,0,0.000967008089455365,0.00427932913112966,0.000155766086806072,0,0.0242736799797952,0,0.0133726455717457,0,0.00788480521591851,0.0222082516190422,0.00271619525563577,0.00508237893554401
"m__C18-neg_Cluster_0015: NA",0.000243478827997167,0.00599358476068501,0,0.00149539701709979,5.49936011766696e-05,0,0.00418616466036746,0.00643765632547617,0,0,0.0104156044591426,0.0107965967295684,0,2.23424100126262e-06,0,0.00264171404150097
"m__C18-neg_Cluster_0016: NA",0.00480284247261353,0.00214937714735787,0,0.00367349578583241,0,0.00386438807931205,0.00736731177249905,0.000214082706852464,0,0.0114207729157018,0,4.20510752468213e-06,0,0.00885367441900821,0.000288879312069818,0.00284260198125146
"m__C18-neg_Cluster_0017: NA",0,0,0.00082292832737459,0.00559604945419013,0.00090198033065228,0,0.00151661345901886,0,0.000886177631447371,0,0,2.49344066342582e-05,2.779424981707e-05,6.26490686717961e-06,0.0139837367882196,0.00158443197028142
"m__C18-neg_Cluster_0018: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00368930626586259,0,0.000245953751057506
"m__C18-neg_Cluster_0019: p-hydroxyphenylacetate",0.000417702235857341,0,0.0245549411594379,0.000370195909754404,0.000358486487810486,0.000180887288299801,0.00355470917073071,0.00165032366861506,0.00078735746385038,0.000325618106610895,0,0,0.00253318161597758,0,8.62444097987026e-05,0.00232130983444955
