"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__C18-neg_Cluster_0001: NA",0,0,0.000707029210358439,0,0,0,0,0,0,0,0,0,0,0,0.000481508876648238,7.92358724671118e-05
"m__C18-neg_Cluster_0002: NA",0,5.14039338101607e-05,0,0.0054330310071843,0.0020208624250589,0.00081189029990467,0,0.00104454163548165,0.0291821667708579,0.000305606131315294,0.0183024126438223,0,0.0394852846828828,0,0.0126980684215878,0.00728901786346039
"m__C18-neg_Cluster_0003: NA",0.0167098430728309,0,0.0122863181454044,0.0034268909654167,0.00483329205424974,0,0.00917048005943739,0.0220325756402059,0.00411292294443093,0,0,0.00282548210238365,0.00333621369715709,0.00359660997328659,0.0128775515157934,0.00634721201137311
"m__C18-neg_Cluster_0004: 4-hydroxystyrene",0,0.00434778746840444,0,0.00292702780699979,0,0.0052181749528168,0,0.000641207115253526,0,0.00945912902337329,0,0,0.000402458057997445,0.0168968239170317,4.97683359577145e-06,0.00265983901169818
"m__C18-neg_Cluster_0005: NA",0.000261208232563693,0.00668324014293478,0.0026497280990128,0.00469790230225394,0.0164834507502383,0.0120178006811265,2.12802929034026e-05,0.00800033299741712,0,0.00173962272604312,0.00257946158951086,6.29975537860543e-05,0.0180098215487346,0.00569685259304144,0,0.00526024663397111
"m__C18-neg_Cluster_0006: NA",0,0.0237016173726237,0.0147355073379226,0,0,0.0012403244012098,0.0136925335923762,0.0133649000021791,0,0,0.112126606862581,0.0541280267011242,0.0317639331328058,0.00163300758195582,0.0378363582600813,0.0202815210163239
"m__C18-neg_Cluster_0007: NA",0,0,0.00181981357789131,0,0,2.55259112763289e-05,0,0.000640463117779908,0,0.00669682463945014,0.000455843128543222,0.0271793575787827,0.00175598866195546,0.00151084986298348,4.00385241757825e-06,0.00267257802207201
"m__C18-neg_Cluster_0008: NA",0.000909680055698854,0.00150633694409929,0,0.000911141461002272,0.0212770191939896,0.00727021801945977,0,6.39467735449485e-05,0,0.000690234341572011,0.00308151155912574,0.00284215428195039,0.000311378506610548,0.00261440624919678,0.0380580141117161,0.00530240276653109
"m__C18-neg_Cluster_0009: NA",1.70001118462429e-06,0.0106574984656303,0.0200887746700873,0,0.0113584871488663,0.00271588991699194,0.000122407518688697,0.00396199324757852,0.000929222912850737,0.000112860741466303,0.00212938412489808,0,9.56754990967829e-05,0.0118986538693181,0,0.00427150320844384
"m__C18-neg_Cluster_0010: NA",0.00428086001192164,0.00085954447872493,0,0.00907118462153996,0,0.0177339191926312,0.00294468644841788,0.00512196830872018,0.0032103955059068,0.000106556829420346,0,0.0075279455557479,0.0350434481976554,0.00589701281712321,0.000423074758684528,0.00614803978176627
"m__C18-neg_Cluster_0011: NA",0,0.00265218194016605,0.0153914661179289,0.000128426903580701,0.014278781111966,0,0,0,0.0128058740884671,0.0103736237670573,0.0158084419089821,0,0.00909113136266254,9.50945613837129e-05,0,0.00537500145081296
"m__C18-neg_Cluster_0012: NA",0,0,0,0,0,0,0,0,0,0,0,0,4.83492973391117e-05,0,0,3.22328648927411e-06
"m__C18-neg_Cluster_0013: NA",0.00191868883423052,0.00705572254133925,0.00568453582306711,4.99205866204831e-06,0.00170519047474938,0.000767901542292093,6.14999098965928e-05,0.00917371439662467,0.00930163288448562,0,0,0.0210057301776979,0.0234481473253504,0.0503530615076342,0.00275418909235014,0.00888233377122533
"m__C18-neg_Cluster_0014: NA",5.04071614950507e-05,0,0.00673033171325706,0.0167843035522613,0.000389668141435381,0.00731004911960414,0.0142985812152705,0,0.00465556239987757,0,0.00175040378778675,1.79513254633584e-05,0.00406035667218356,0.000262820986210454,0.0146223517485052,0.00472885252155669
"m__C18-neg_Cluster_0015: NA",0,0.000621701833829888,0.0371345652686592,0.0278664462612667,0.00396116993604103,0.000859804861326452,0.0162605941481559,0,0.000947850276579827,0,0.0212324823334048,0,0,0,0.00272184150168655,0.00744043042806336
"m__C18-neg_Cluster_0016: NA",0.000573509634127638,0.000530662819037928,0.00215399935357212,0.00606412482783888,0.000667257430476902,0.00697548540742761,0.00350658731173459,0,0.00278726624594102,0.0304677287925926,0,0.00972741407154871,0.0055444168158794,0.00675320935817574,0.0094491491845887,0.00568005408352946
"m__C18-neg_Cluster_0017: NA",0.000868366688116618,0.0100509089641901,0,0.000189822418887766,1.69909610772528e-06,0.000464608009129752,0.000899052613174945,0,0.0196355275737654,0,0,0.00650159040068383,0,0.00688215036345322,4.32703936244074e-05,0.00303579976807558
"m__C18-neg_Cluster_0018: NA",0.00917277628142889,0,0.000440766455749325,0,0.000269902185016832,0,0,0,0,0,0.0137745337334704,0,0.0499555674349569,0.00182071091074256,0,0.00502895046675766
"m__C18-neg_Cluster_0019: p-hydroxyphenylacetate",0.00466222057538021,0.0131584869822591,8.23379494351653e-05,0.00202346300025662,0.00491042051950865,0.00359009694314828,5.58679052196895e-05,0.018492913913864,0.0212257066987181,0.000169099382192731,9.33103604101632e-05,0.00109886125735569,0.00020618807529022,7.05790580277904e-06,0.000464320279494103,0.0046826901165557
"m__C18-neg_Cluster_0020: NA",0.00453028456745618,0.0500807486081353,0.00758245393503293,0.00891988710288756,0.108460481165928,0,0,0,0.114009570502896,0.0280909862741263,0.0447596131426805,0.00365986058585541,6.51350984088991e-05,0.000250784115786075,0.00107213366489876,0.0247654625842728
"m__C18-neg_Cluster_0021: NA",0.00419758094412315,0.000293748885647654,0.0297610608907935,0,6.01466154609624e-05,0,0.00328324448813624,0.00279378886200663,2.51856974301542e-05,0.000290985293734138,0,0,0.000726989148364746,2.09011161631946e-17,0.0139358566858735,0.00369123916743805
"m__C18-neg_Cluster_0022: NA",0.00824801265345564,0.00750846531258868,0.00636208104899629,0.0787431028859393,0,0.000166263475666848,0.035476039096525,9.51854121745634e-05,0.000989485330495542,0.0153596839433392,0.00546742940247212,0.00254033749158186,0.000626405945944987,0,0.00461877341818245,0.0110800843611575
"m__C18-neg_Cluster_0023: NA",0.0995521365724344,0.0345764910424168,0.0432598212649535,0.0237138246604027,0.00117699008621895,0.101451602557727,0.160173076306875,0,0.0075383818360719,0.0607921972946209,0.00563449959011838,0.0028612548658561,0.00658514879596915,0.000509156449871488,0.00161352231210185,0.0366292069090425
"m__C18-neg_Cluster_0024: NA",0.0171092069435434,0,0.00420347951453256,0,0.0143413146771488,0.0941304742216616,0,0.120709240776756,0.0537212796734463,6.67444278063553e-06,0.000216261729830979,0.000134689161653544,0.00621693671769621,0.0247565969111131,0.0014724511167929,0.0224679070591304
"m__C18-neg_Cluster_0025: acesulfame",0.00083733348463468,0.00289873816798721,0.0250783637214901,0.0133483679133552,0.000132861434954177,0,0,0,1.96236957210845e-05,0.00540043740477497,0,0.000131417930956295,0.00310855758264195,0.00606869067347208,0.00155659847620555,0.00390539936574622
"m__C18-neg_Cluster_0026: NA",0.0115646590234584,0.00350984927767109,0,3.60924395481139e-06,0.104151553869243,0,0.0679005352071615,0.00494672573844684,0,0.00496897921639643,1.50352812842884e-05,4.52189944276224e-06,0,0.00402979050759276,0.000257606677952204,0.0134235243961736
"m__C18-neg_Cluster_0027: NA",0.00129278740491888,1.06560983576322e-05,0.0137731867729952,0.0211611487999338,0,0.00814879537700858,0.000633519563206232,0.00939100006481038,0,0,0.0146355764968046,0.0147407948469567,0,0.00054940184687224,0,0.00562245781812429
"m__C18-neg_Cluster_0028: NA",0.000110063084059257,0,0,0,0.000887673477675324,0,0,0,1.90326134099323e-05,0,0,0,0,0,0,6.77846116763009e-05
"m__C18-neg_Cluster_0029: NA",0.00582117058663571,0.00271491884869758,0,0.0361550337160692,0.0230440178789266,0.016325041622817,0.0189978772915876,0.00237652583640169,0.0286786695664661,4.55032040013481e-05,0.0297761646145116,0.00538326715340041,0.0455722620677114,0.00140995598307396,0.000207761379779858,0.0144338779833387
"m__C18-neg_Cluster_0030: NA",0,0.00289028957724145,0,0.00401810297529564,8.13241850537637e-05,0.00226285892766698,0,0.00981044599337094,0.0104551911791964,0.0113226425576166,0.0313639685184089,0,0,0,0.0279126526676508,0.00667449843876676
"m__C18-neg_Cluster_0031: phenyllactate",0.0102645038988592,0,0,0.00167370897981872,0,0.00182757677524794,0,0,0,0.00389155841928966,9.97427118696032e-05,1.93171956483315e-05,0.0186272945761441,0,0,0.00242691350379184
