"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__C18-neg_Cluster_0001: NA",0,0,0,0,0,0,0,0,0,0,0,0,0.000318781635451922,0,0,2.12521090301281e-05
"m__C18-neg_Cluster_0002: NA",0,0,0,0,0,0,0,0,0,0,0,0.00576626797110274,0.0680487476527453,0,0,0.00492100104158987
"m__C18-neg_Cluster_0003: NA",0,0,0,0,0,0,0,0,0,0,0,0.017136711381377,0.0298082425634493,0,0,0.00312966359632175
"m__C18-neg_Cluster_0004: 4-hydroxystyrene",0,0,0,0,0,0,0,0,0,0,0,0,0.000936305837329892,0,0,6.24203891553262e-05
"m__C18-neg_Cluster_0005: NA",0,0,0,0,0.0145302570140197,0.00741682691052385,0,0,0,0,0,0,0.0788819860202556,0,0,0.00672193799631995
"m__C18-neg_Cluster_0006: NA",0,0.00438637291758078,0,0,0,0,0,0,0,0,0,0,0.0106758467487094,0,0,0.00100414797775268
"m__C18-neg_Cluster_0007: NA",0,0,0,0,0,0,0,0,0,0,2.03664861277413e-05,0,0.00435115435742442,0,0,0.000291434722903477
"m__C18-neg_Cluster_0008: NA",0,0,0,0,0,0,0,0,0,0,0,0,0.00219607159670835,0,0,0.00014640477311389
"m__C18-neg_Cluster_0009: NA",0,0,0,0,0,0,0,0,0,0,0,0,1.57529758907879e-05,0,0,1.05019839271919e-06
"m__C18-neg_Cluster_0010: NA",0,0,0,0,0,0,0,0,0,0,0,0,0.00599895560609417,0,0,0.000399930373739611
"m__C18-neg_Cluster_0011: NA",0,0,0,0,0,0,0,0,0,0,0.0346820599717601,0,0.00353994681926027,0,0,0.00254813378606803
"m__C18-neg_Cluster_0013: NA",0,0,0,0,0,0,0,0,0,0,0,0,0.000679671091444141,0,0,4.53114060962761e-05
"m__C18-neg_Cluster_0014: NA",0,0,0,0,0.00643655146671318,0,0,0,0,0,0,0.0148419977369186,4.29428108295547e-07,0,0,0.00141859857544934
"m__C18-neg_Cluster_0015: NA",0,0,0,0,0,0,0,0,0,0,0,0,7.79321233839579e-05,0,0,5.19547489226386e-06
"m__C18-neg_Cluster_0017: NA",0,0.0148125662435941,0,0,0,0,0.00604247934609715,0,0,0,0,0,0.00421159759877463,0,0,0.00167110954589772
"m__C18-neg_Cluster_0018: NA",0,0,0,0,0,0,0,0,0,0,0,0,5.53154100004883e-07,0,0,3.68769400003256e-08
"m__C18-neg_Cluster_0019: p-hydroxyphenylacetate",0,0,0,0,0,0,0,0,0,0,0,0,0.000211945131934722,0,0,1.41296754623148e-05
"m__C18-neg_Cluster_0020: NA",0,0.0027271608935414,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000181810726236093
"m__C18-neg_Cluster_0021: NA",0,0.00465832835813867,0,0,0,0,0,0,0,0,0,0,0.000398273424283216,0,0,0.000337106785494792
