"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__C18-neg_Cluster_0001: NA",0,0,0,0,0,0,4.16131917400142e-05,0,0,0.00194756458846811,0,0,0,1.94026700889441e-05,0,0.000133905363353138
"m__C18-neg_Cluster_0002: NA",0,0,0,0,0,0,0.00367706056643627,0,0,0.0175782643416033,0,0.0185432282395748,0,0.00311434288276403,2.06451511725728e-07,0.00286087349879267
"m__C18-neg_Cluster_0003: NA",0,0,0,0,0,0,0.0192957978612056,0,0,0.00346694479923823,0,0.0487775716955402,0,0.0085483221071445,0,0.00533924243087523
"m__C18-neg_Cluster_0004: 4-hydroxystyrene",0,0.0165920644280633,0,0,0,0,0.00132646499557022,0,0,0.00375895532328544,0,0,0,0.000247770779813778,2.44106601965664e-05,0.00146331107912862
"m__C18-neg_Cluster_0005: NA",0,0,0,0,0,0,0.00456996227681207,0,0,0.00329484555013196,0.0239940017665723,0,0,0.00285076205548009,5.64410730688878e-07,0.00231400907064848
"m__C18-neg_Cluster_0006: NA",0,0,0,0.00618453064718703,0,0,0.000452909609057757,0,0,0.00551840054337571,0,0,0,0.0169447804500034,0,0.00194004141664159
"m__C18-neg_Cluster_0007: NA",0,0,0,0,0,0,2.48387967054225e-05,0,0,5.7533492451936e-05,0,0,0,3.68012721014107e-05,0,7.94490408391795e-06
"m__C18-neg_Cluster_0008: NA",0,0,0,0,0,0,1.74930281068622e-05,0,0,0.000157808041699772,0.0195547288653267,0,0,0.00540249537810149,0,0.00167550168754899
"m__C18-neg_Cluster_0009: NA",0,0,0,0,0,0,2.0829691048834e-05,0,0,0.000536102997940652,0,0.0303334310011924,0,0.000888509909587026,0,0.00211859157331793
"m__C18-neg_Cluster_0010: NA",0.107619057627107,0,0,0,0,0,2.73895680735441e-05,0,0,2.66028454366948e-05,0,0,0,0.00159879494332637,0,0.00728478966559623
