"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinobaculum",0.00062976105693814,0,0,0,0,0,0,0,0,0,0,0,0,3.74304955834869e-08,0,4.19865658289149e-05
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces",0,0,0,0,0,0,0,0,0,0,0.0131964672961608,0,0,0,0,0.000879764486410719
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces dentalis",3.52217974524502e-05,0,0,0,0,0,0,0,0,0,0,0,0,6.61974149297363e-05,0,6.7612808254791e-06
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces graevenitzii",0.0051312314779761,0,0,0,0.0580352724211249,0,0,0,0,0,0.186153320363847,0,0,1.82379165253864e-06,0,0.01662144320364
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces israelii",0,0,0,0,0,0,0,0,4.33899046693592e-06,0,0,0,0,0,0,2.89266031129061e-07
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces johnsonii",0,0,0,0,0,0.00119129005260586,0,0,0,0,0,0,0,0,0,7.94193368403907e-05
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces massiliensis",0,0,5.16740152129594e-06,0,0,0,0,0,0,0,0,0,0,1.43893590583953e-08,0,3.45452725356956e-07
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces naeslundii",0,0,0,0.0166267124557292,0,0.0493534259991105,0.000329311601977684,0,0,0,0,0.128829705909168,0,0,0,0.013009277064399
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris",0,0.15983115205967,0,0,0,0,0,0,0,0,0,0,0,0.000788166143661271,0,0.0107079545468887
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_A",2.07955199015044e-05,0,0,0,0,0,0,0,0,0,0,0.0966444748626693,0,0.644750648619943,0,0.0494277279335009
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_B",1.83184679831187e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22123119887458e-06
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_C",0,0,0,0,0,0,0,0,0.00119149119041258,0,0.00860439276632459,0,0,0,0,0.000653058930449144
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_D",0.11367072481772,0,0,0,0,0,0,0,0,0,0.0201772733845102,0,0,0,0,0.00892319988014866
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_E",0.353658884391028,0,0,0,0,0,3.3361324953107e-05,0.770350849966574,0,0,0.207332783842951,0,0,0,0,0.0887583919683671
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp000195595",0,0,0.000156826097878264,0,0,0,0,0,0,0,0,0,0,0,0,1.04550731918843e-05
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp000220835",0,0.294632765394988,0.00252740754909333,0.0616816716800274,0,0.0142418424672006,0,0.102549239883518,0.40072821063414,0,0,0,0.0550535548674641,0,0,0.062094312831762
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp001278845",0,0,0.00172036155468124,0,0,0,0,0,0,0,0,0,0,0,0,0.000114690770312083
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp900323545",0,0,0,0,0,0,0,0,0,0.0466226981464847,0,0,0,0,0,0.00310817987643231
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia",0.00351190153290088,0,5.61254649599586e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000237868466524056
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia bouchesdurhonensis",0,0,0,0,0,0,1.14228065829928e-08,0,0,0,0,0,0,1.25139582115094e-06,0,8.41879085155955e-08
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia marseillensis",0,0,3.36953342968494e-06,0,0,0.000868447911357843,0,0,0,0,0,0,0,1.01845731836935e-07,0,5.8127952701291e-05
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica",0,0,0,0,0,0,2.81772037919514e-06,0,0,0,0,0,0,0,0,1.87848025279676e-07
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica_B",0,0,0,0,0,0,0,0,0,0,0,0.000687920246576065,0,0,0,4.58613497717377e-05
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica_C",0,0,0,0,0,0,0.000117019080376574,0,0,0,0,0,0,0,0,7.80127202510496e-06
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia pyogenes_A",0,0,0,0,0,0.00021825497349939,0,0,0,0,0,6.36432404099096e-06,0,0,0,1.49746198360254e-05
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000185285",0.000178053033915893,0,0,0,0,0,0,0,0,0,0,0,0.0478806154940688,0,0,0.00320391123519898
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000308055",0,0,8.93829532336838e-05,0,0,0,0,0,0,0,0.0568090365077506,0.0148897647875466,0,0,0,0.00478587894990206
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000411415",0,0,0,0,0,0,8.52529278762382e-05,0,0,0,0,0.000414694914143194,0,2.97770494581425e-07,0,3.33497075009343e-05
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001064145",0,0,0,0,0,0,0,0,0,0,0,0,0,8.37394796720351e-05,0,5.58263197813567e-06
