"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinobaculum",0.0481827280882465,0.0924711372025132,0,0,0.0652406442712153,0,0,0.0563659825380386,0.0537344227006449,0,0,0,0.0304033099846441,0.0139577328950591,0,0.0240237305120241
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinobaculum;s__Actinobaculum massiliense",0.0587142469598356,0.0875325854692918,0,0,0.068294337953863,0,0,0.0586241210964671,0.0494234296507785,0,0,0,0.0186202784081296,0.0219401251427161,0,0.0242099416454055
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces",5.84164772731455e-05,2.77181344130777e-05,0,0,4.55512553369181e-05,0,0,5.73465578154485e-05,2.26723958309075e-05,0,0,0,3.95408185898147e-05,2.6962999559325e-05,0,1.85472425879091e-05
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces dentalis",9.51480172714323e-05,2.75935119565945e-05,0,0,5.40293397649502e-05,0,0,6.4625614519762e-05,2.3707380363566e-05,0,0,0,5.90244551870424e-06,6.22471500775998e-06,0,1.8482068293518e-05
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces gerencseriae",0.00102721017660877,0.00279667823977376,0,0,0.00162092589510454,0,0,0.00112147378003831,0.000119335231105625,0,0,0,0.00323168660317679,0.000188213196215684,0,0.000673701541468231
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces graevenitzii",0.00817056749928649,0.000939875838035404,0,0,0.00545625630463701,0,0,0.00771451681311116,0.000520376307225033,0,0,0,0.00449013012023805,0.00404339805435143,0,0.00208900806245897
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces israelii",0.00187772822725697,0.000637874170620512,0,0,0.00123921857821539,0,0.0222867545020928,0.00157849890436886,0.000616920547590038,0,0,0.442407556516068,0.00126583847606201,0.000593765599108733,0,0.0315002770347589
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces johnsonii",0.00185636953769312,0.000590502209281093,0,0,0.000868485857488425,0,0,0.000834556156245225,0.000589302943087351,0,0,0,0.00135801428544228,0.000668520378571928,0,0.000451050091187295
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces massiliensis",6.19181188016399e-05,6.78970091141549e-05,0,0,4.9474634645285e-05,0,0,8.14192967469438e-05,4.5279365271718e-05,0,0,0,3.89763785108798e-05,5.36436088384464e-05,0,2.65738941286045e-05
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces naeslundii",0.00164937266258393,0.000674387156471259,0,0,0.00164156181022983,0,0,0.00224436715384581,0.000745455588905205,0,0,0,0.00176101269759126,0.00119324612254934,0,0.000660626879478443
