"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__C18-neg_Cluster_0001: NA",0.282723191328334,0.186250701975996,0.503394515030749,0.183769610556626,0.390441194699132,1,0.229938494383768,0.122065065381748,0.289535356141101,0.512632285714931,0.209189540628376,0.555709580852335,0,0.251698260887728,0.0721132200837657,0.319297401177639
"m__C18-neg_Cluster_0002: NA",0.15031505845536,0.00546213786609937,0.0622191069493675,0.022689760128513,3.26749298507275e-05,0.0981769104511607,0.00103552167041544,0.00470650480283191,0.00431753986929679,0.0467105048086472,0,0.024894859734117,0.0254572065117007,0.0189236576498115,0.0217286915977853,0.0324446756949971
"m__C18-neg_Cluster_0003: NA",0.225028954144651,0.0502582443364769,0.00326856615690217,0.135653967055181,0.00805845457443294,0,0,0,0,0.0021113642315563,0.0248765927098395,0.00144210249151125,0.237378394857667,0.0424783180078878,0.0204119447058627,0.0500644602181313
"m__C18-neg_Cluster_0004: 4-hydroxystyrene",0.0116110416070116,0.00873678003226845,0.00318947570278996,0,0.00224052683554692,0.0685699682008991,0,0.0186239924164346,0.000216570385310836,0.0010289911450606,0.00684880858852708,0.0371442361286224,0.038348231545176,0.0169243961647769,0.00171155375754508,0.014346304833998
"m__C18-neg_Cluster_0005: NA",0.00361652593158838,0.0221497412042161,0.00828723739350382,0.00195986324539275,0.0076561877214526,0,0.0518465452796378,0.0132844275263177,0.000787097932827442,0.0645416027571074,0.0225246136312865,0.0293265759919183,0.010332855022595,0.00253832091487944,0.0097083733581033,0.0165706645273884
"m__C18-neg_Cluster_0006: NA",0.00358130721458458,4.43599199335159e-05,0.0169019258432795,0.0265788617181836,0.00684990357282155,0.0334920275782665,0.00529555247364276,0.000762094125962375,0.0609197059558925,0.0697300319429754,0.00017594561638353,0.00875562226988977,2.02639881318783e-05,0.000370949471935511,0,0.0155652367794589
"m__C18-neg_Cluster_0007: NA",0.0307228561813015,0,0.00782400420448911,3.66624075162082e-05,5.1054577891748e-05,0.00123945520121659,0.122888646578165,0.000913707839738678,0.000225565742088306,0.0202505992734836,0,0.00325413617013936,0.00143427288405536,0.0167993587712057,0,0.0137093546554194
"m__C18-neg_Cluster_0008: NA",0.0473488710277695,0.0190858519344891,0.00118533947986918,0.00965594272032176,0.0572457922746031,0.0197026986635618,0.00379414569758255,0.00257932348971376,0.00102522045117238,0.0532035438862337,0,0.00165730728919251,0.0516358017998329,0.00330049236132796,0.0229119455718858,0.0196221517765037
"m__C18-neg_Cluster_0009: NA",0.0245472156013867,0.0392196167112392,0.0353016083036015,0.000541329583242245,0.0297092084672997,0.00848442517805983,0.00995832515136472,0.00704037380558488,0.0261613862928307,0.017827097095515,0.000539856465652881,0.00394613901759247,0.093182478838789,0.00620548561581093,0.00313171128696433,0.0203864171609956
"m__C18-neg_Cluster_0010: NA",0.165303305447278,0.021598000064773,0.0226422699050887,0.154125982957281,0.0325014556776907,0.0650850282502781,0.021355044093855,0.040690448191571,0.000993173501356809,0.0209859876868819,0.00260483114104015,0.0246382552561995,0.0428150308586208,0.000391209155746271,0,0.041048668145844
"m__C18-neg_Cluster_0011: NA",0.0182834932795544,0.0549233059355932,0.00259907085633307,0.000185876897366197,0,2.14109343780217e-05,0.0928946144898359,0.00202334395600211,0,0,0,0.00389573282978696,0,0.00611144695449156,0.000397937049822717,0.0120890822122109
"m__C18-neg_Cluster_0012: NA",2.80212161605488e-05,0.0895261304070684,0.000265148169496428,0.0494591192559005,0.0492987265442006,0,0,0.0285346533880847,0.00243257172840321,0.159098000070423,4.56606270891455e-05,0,0.00766008303034228,0.0777645932083722,3.23842000181346e-05,0.0309430061230373
"m__C18-neg_Cluster_0013: NA",0.0359668499456615,0.0328250787397773,0.0400690630605429,0.00318456439467187,0,0.0149935618965084,0,0.00101519277655826,0.0125828599298224,0.00190041201930777,0.00154500341860647,0,1.51979910989027e-05,0.0139639846048239,0.0431084079729463,0.0134113451166884
"m__C18-neg_Cluster_0014: NA",0.00865401791332501,0.230939964065687,0.0566721241241465,0,0.00508328551534717,0.000515221849477475,0.101813347297135,9.4366547382843e-05,0.142002036896932,0.00341232859580965,0.0569101789333185,0.0387655615078525,0,0.0193497190830134,0.0109497457101289,0.0450107932026371
