"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinobaculum",0.00345805236163743,0,0.0683489635104268,5.69482362198175e-05,0.0247126394639629,0,0.0259373514126964,0.0558341288230558,0.0284020793867676,0.0263014251451629,0.0333260634002165,0.102352414976959,0.0202367282091519,0.000307856451930923,0.00172017634123497,0.0260663218479616
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinobaculum;s__Actinobaculum massiliense",0.129006987689978,0.0320256088303564,0,0.0413009974988088,0.00544477810691274,0,0,0.0306519760968867,0.000996136042628247,0.00110873129813718,0.0152830845977997,4.16663198007976e-05,0.00216592847492266,0.00725566976364504,0.0132532208449504,0.0185689857043218
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces",0.0368491022679482,0.154544001870689,0.0783879993891829,0.00369151781463572,0.150883720466262,0.0375078140490292,0.173970517058025,0.0793648324329578,0.0306611528453937,0.140827561639434,0.00112175580326436,0.133833563864973,0.123576671745463,0.039453448684165,0.117986182005362,0.0868439894624523
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces dentalis",0.0171351176391366,0.0479214750075602,0.201171253039402,0.0168893704270442,0.0989527449064196,0.022030789642085,0.0169003627521086,0.125245480244006,0.0242090242104356,0.0187326748290885,0.0343945055022147,0.0749384633702835,0.0273709108148272,0.0487612207582191,0.001641908808432,0.0517530201300841
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces gerencseriae",0.00978586758289304,0.00403469566043297,0.103213497173225,0.035342586803402,0.0187091738904119,0.0113601327232725,0.0181640395673626,0.0542809381117125,0.0285367013465529,0.0369209702647818,0.0706312474873788,0.211789505246181,0.127151579226431,0.00971271212788262,0.000749663138127575,0.0493588873566699
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces graevenitzii",0.0302375255242142,0.0963846894518095,0.0925407375120169,0.024692510394978,0.0174108386598388,0.0634726119556042,0.0664339832746323,0.153771028640244,0.0066282441991461,0.0514165692123536,0.00475096075395866,0.0787952893356112,0.0312269413328896,0.0327133961681217,0,0.0500316884276946
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces israelii",0.38990935958645,0.0635815760897313,0.21870367739712,0.140846037531618,0.293210053479335,0.213459173189196,0.311164332523535,0.552627683657162,0.0538750780343824,1,0.223304863957781,0.191037006566813,0.888892996965108,0.180281969098229,0.358535955287917,0.338628650890958
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces johnsonii",0.0030068607380414,0.0130884166189269,0.100830773756525,0.0916106653335522,0.0219894616076245,0,0.202219827633913,0.0917628155084116,0.014210024609665,0.0809476913886379,0.0473376186627254,0.0791679939866712,0.0542998277951056,0.0132148023236476,0.00534153615715537,0.0546018877413735
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces massiliensis",0.0636796952789837,0.322448507305595,0.386086078299794,0.0564105873306289,0.0895088635551771,0.0979318155201683,0.111885166475481,0.0654279130167779,0.121675575222046,0.118562337511519,0.142917952762609,0.0156078770255881,0.176617372748019,0.178309325700386,0.0151934807727235,0.130817503235033
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces naeslundii",0.0631467500839331,0.0495296376706555,0.0052523993411368,0.0126642595032447,0.0338090433504242,0.025538956967712,0.0514627917573134,0.0355934320406301,0.011524567341182,0.042385072725688,0.0621552609944713,0.189331047889823,0.169284579464684,0.00718316899651855,0.335322423846635,0.0729455594649369
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris",0.0721030226049174,0.63722449069879,0.0147762376097856,0.104922804885864,0.0271032378282552,0.306895893750924,0.105420339721265,0.0999312078889268,0.303804793507344,0.204842178108483,0.102376062873112,0.187041293676435,0.217067507266127,0.121820680685929,0.374694088806932,0.192001589327539
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_A",0.0822483447333606,0.00158428240043599,0.0777356100875479,0.0358806420618078,0.0282979182081161,0.0639610875679719,0.00795625501021759,0.00528187371239559,0.0341721062192075,0.00235368974297104,0.000142829785380812,0.144865079426692,0.0905857983793895,0.0588469348403905,0.038941999455477,0.0448569634420908
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_B",0.0339456053693388,0.0138037365524207,0.0409656326866722,0.0236815137522307,0.0373061740777784,0.0176248442897393,0.0465959065702593,0.00148197563821616,0.0350281078071916,0.0256262338253173,0.0100704888094286,0.0301197880969775,0.0521736680545061,0.0431380266459043,0.0023161312123402,0.0275918555592214
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_C",0.186939407190171,0.0573175505005823,0.0418435670879642,0.0418504819464846,0.088889624616192,0.00257715157738714,0.127665687289989,0.0273030453695261,0.0699933324525819,0.0171452029148661,0.0230662602632273,0.161897052365754,0.199205980851801,0.0624175399360124,0.0325482496350484,0.0760440089331725
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_D",0.100657220374975,0.0450806369674217,0.00246291679513517,0.0752781259466502,0.0557698717534735,0.0121780720816409,0.154126401087305,0,0.0188253983854959,0.0222577721818064,0.0954205747969966,0.00930669705648063,0.0451024677713934,0.00138808254084593,0.103000377570801,0.0493903076873614
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_E",0.054965605513311,0.279131260348841,0.0860953877483365,0.0962206709318451,0.0599235012380037,0.0550048182896082,0.00317407173796658,0.0408929596225838,0.157359058904452,0.0696951202489325,0.00743168718132199,0.00155137597391672,1.71184844689471e-05,0.0107074376862686,0.168057043539826,0.0726818078299788
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp000195595",0.0198209088388688,0.146351261282425,0.02026167731288,0.0678345525742174,0.00279989856967075,0.0767142936474728,0.0501403963705733,0.0121254392739602,0.083119824664973,0.0484468536152419,0,0.00831785085587248,0.00665171728261049,0.0616065138518106,0.0465446442435065,0.0433823888256055
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp000220835",0.233951990608598,0.0146963486933911,0.048593089100972,0.0420099650329438,0.0454116174978185,0.0272192391585502,0.140482510911906,0.178335494619463,0.190152679130689,0.0204693367229431,0.0468641801873046,0.198808729857901,0.00365060648125525,0.0504297091497652,0.15141521672374,0.0928327142584827
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp001278845",0.00332348166603846,0.0888214590667714,0.0784478448491092,0,0.00334315614391668,0.0371207559016626,0.00288158049585129,0.0106964368382185,0.000855059530760597,0.0744260731292551,0.0169122325269601,0.0249386812781097,0.00110927779358787,0.0155746177092012,0.0256314745192919,0.0256054754299156
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp900323545",0.0799102710102837,0.183184187228209,0.203400197996531,0.0207987565528988,0.00297924115994173,0.040430716404205,0.0208140631514282,0.0508584275386382,0.0915113400186905,0.0753959718106214,0.0383232417698896,0.118219975903151,0.0634973473318475,0.0954086677323374,0.00892105220106344,0.0729102305206491
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia",0.0493140014928285,0.102945008200046,0.108483755816106,0.00332642567509262,0.0335606627578898,0.16086029227419,0.000611321965934674,0.0359999714373673,0.0156745088234186,0.0879589466825103,0.0492780645369136,0.015106521065876,0.0525920831889795,0.0188889973606825,0.0666722353169223,0.0534181864396505
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia bouchesdurhonensis",0.0522126764552598,0.100836268574391,0.010466483110331,0.0554925715125956,0.0130463568075844,0.150326451794107,0.14056223182701,0.193288268923622,0.0781819489195411,0.021326869719549,0.0680730501140391,0.102431067973385,0.162200230754422,0.0254102839827773,0.00988844925968177,0.0789162139818864
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia georgiae",0.157679944766975,0,0.0707855303888665,0.0649927258089645,0.00198395292579793,0.0103115176413512,0.00213930088378598,0.0407470350523371,0.00114750991343011,0.068723201337935,0.0428432548841433,0.0781036331761918,0.182815638881258,0.0643547046120697,0.0657823346405838,0.0568273523275793
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia hongkongensis",0.00465880287903909,0.0454204849740622,0.00179359685175459,0.00228425703059493,0.00142196113707443,0.0221695494479882,0.0126236899308891,0.0212639027031186,0.00868972309120939,0.114445146113729,0.0771164602749546,0.0172550998780603,0.0414463002391926,0.00751156547330063,0.0785816493160065,0.0304454792893983
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia marseillensis",0.0820881108021411,0.00203219710813599,0.130998714605312,0.0732884925284605,0.0316033390209655,0.0302118686823575,0.0519588800083306,0.109931016180022,0.0587679208717063,0.108065779607141,0.107590271160743,0.0364213837187425,0.170451300539246,3.88054351173375e-05,0.0665095302361158,0.0706638407003025
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica",0.0196140526626188,0.0126585056687558,0.0516104647000862,0.0852359441609078,0.00230102613885837,0.149656204507003,0.155247596586051,0.0520458434198439,0.00080941802171086,0.206589293884599,0.116512224042184,0.164258296005357,0.0765809292517041,0.0765345271353933,0.16831685879026,0.0891980789983556
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica_A",0.0827677771007187,0.511101869865254,0.24966997591447,0.131216665139148,0.167335409794695,0.0398372906258122,0.273831432403659,0.132694052572566,0.168889330210578,0.526802277960939,0.48431077420084,0.190726438255045,0.294880293234329,0.315386554855713,0.393071546580591,0.264168112580957
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica_B",0.00245358667849569,0.126947670130497,0.0717158672139129,0.00953957423316523,0.0286625195822107,0.262885657116867,0.0996350939012112,0.110620413982605,0.0945254913793622,0.0942331498488334,0.10003495126183,0.175086993007714,0.138356620469761,0.0800516800291487,0.202589853131317,0.106489274797795
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica_C",0.249484686209298,0.0554131968894681,0.285616408655642,0.0810477403475969,0.138224588670467,0.270358175546645,0.108995475403332,0.0895579853158918,0.121583898869289,0.0827001396566832,0.0271859712858725,0.187497977800715,0.070177805711397,0.242297197796785,0.155162718450971,0.144353597774004
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia pyogenes_A",0.206466519349875,0.0404362256141394,0.29030046406683,0.0903059609278481,0.00321743169582486,0.0296550013635498,0.0395078957808548,0.0241123544749068,0.000886588471344655,0.00629769645240056,0.00651476690719597,0.140917018001399,0.00440678922504349,0.130411504880708,0.310238103014424,0.0882449546817563
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000185285",0.0356557226001505,0.102652307352064,0.00189737055585493,0.00952661150590542,0.0090104017159539,0.0958209802883786,0.127712403639939,0.00166461619033536,0.0927075491739276,0.0137183954518236,0.118728624911621,0.132816968635326,0.0790097248476545,0.0443382486991131,0.0142767606678099,0.0586357790823905
