"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__C18-neg_Cluster_0001: NA",0,0,0,0.000320958267319248,0,0,0,0,0,0.00255028402180855,0.0274600723527919,0,0,0,0,0.00202208764279465
"m__C18-neg_Cluster_0002: NA",0.000906507655402123,0,0,0.0115546647280733,0,0,0,6.54896184799017e-08,0,0.0193189638860476,0,0.00324810516594607,0,0,0,0.0023352204616725
"m__C18-neg_Cluster_0003: NA",0.00862239919120904,0,0,0.00494946056699058,0,0,0,3.32895570726746e-09,0,0.0485762074142459,0.000141455448671752,0.00110951861238972,0,0,0,0.00422660297083085
"m__C18-neg_Cluster_0004: 4-hydroxystyrene",0.00969241610512625,0,0,0.00192034393737041,0.00145439691514857,0,0,5.57016795056972e-06,0,0.0013220520062077,0,0,0,0,0,0.000959651942120233
"m__C18-neg_Cluster_0005: NA",0.000259841224625768,0,0,0.000414847832493439,0,0,0,8.74426085376013e-09,0,0.0178143899437615,0,0.000383595865911566,0,0,0,0.00125817890740354
"m__C18-neg_Cluster_0006: NA",0,0.000363995957859463,0,0.000467196079749017,0,0,0,0,0.000573626084708793,0.00211239927393165,0,0,0,0,0,0.000234481159749928
"m__C18-neg_Cluster_0007: NA",0,0,0,0.0057398576146337,0,0,0,0,0,0.00187098210391049,0,0,0,0,0,0.000507389314569613
"m__C18-neg_Cluster_0008: NA",0,0.00522396934073098,0,0,0,0,0,0,0,0.0149954988239308,0,0.0121063287678484,0,0.00486045314502905,1.23710123346644e-06,0.00247916581191818
"m__C18-neg_Cluster_0009: NA",0,0,0,0,0,0,0,0,0,0.00702302602145577,0,0,0,0,7.06255074799953e-05,0.000472910101929051
"m__C18-neg_Cluster_0010: NA",0.00361144957987485,0,0,0,0,0,0,0.00731771198329955,0,0.000114990257970898,0,0.00393856172948715,0,0,0,0.000998847570042163
"m__C18-neg_Cluster_0011: NA",0,0,0,0.00162873347148124,0,0,0,1.42753682735583e-07,0,0.0035491423167395,0,0.000356817301336596,0,0,0.00698950855453635,0.000834956293185095
"m__C18-neg_Cluster_0012: NA",0,0,0,0.00111088744594153,0,0,0,1.68918368714192e-05,0,1.10668932301025e-06,0,0,0,0,0,7.52590648090637e-05
"m__C18-neg_Cluster_0013: NA",0.0271074429173533,0,0,0.00188436836837618,0,0,0,0.000312000952865158,0,0.000624467041739452,0,0,0,0,0,0.00199521861868894
"m__C18-neg_Cluster_0014: NA",0.000728948749014926,0,0,0,0,0,0,2.52774620032971e-09,0,0.000247092441372823,0,0,0.000285879526221827,0,0,8.41282162903851e-05
"m__C18-neg_Cluster_0015: NA",0,0,0,0.00318757676146471,0,0,0,0,0,0.0124450770496207,0,0,0,0,0,0.00104217692073903
"m__C18-neg_Cluster_0016: NA",0,0,0,0,0,0,0.0507716389479243,1.61808406492806e-08,0,0.00118065510286913,0,0.000367569834165932,0,0,0,0.00348799200438666
"m__C18-neg_Cluster_0017: NA",0.00105499447841936,0,0,0.00731295918624781,0,0,0,0,0,0.000140189721755614,0,0,0,0,0,0.000567209559094852
"m__C18-neg_Cluster_0018: NA",0,0,0.0838724281626726,0,0,0,0,0,0,0.000180317141113079,0.00111167256900588,0,0,0,0,0.0056776278581861
"m__C18-neg_Cluster_0019: p-hydroxyphenylacetate",0.00139810198054914,0.00492255656636877,0,0,0,0.00661314349058231,0,5.69675502896445e-07,0.00954879758436886,0.000925099026366964,0,0,0,0,0.000328091240772673,0.00158242397096744
"m__C18-neg_Cluster_0020: NA",0,0.000873535450553631,0,0,0,0,0,0,0,2.79002283918743e-05,0,0,0,0,0,6.00957119297004e-05
"m__C18-neg_Cluster_0021: NA",0,0,0,0.00860952505324799,0,0,0,0.00985575108892531,0,9.65133182494224e-06,0,0,0,0.000950413697878054,0,0.00129502274479175
"m__C18-neg_Cluster_0022: NA",0.00895717720998051,0.000437729809757777,0,0.0201330797644949,0,0,0,0.0237811641007251,0,0.142624564940592,0,0,0,0.000172523598664441,8.66229463933469e-07,0.0130738070435786
"m__C18-neg_Cluster_0023: NA",0,0,0,0,0,0,0,0.000948056271812504,0,0.000147029287659075,0,0,0,0.0106497645055225,0,0.000782990004332936
