"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__C18-neg_Cluster_0001: NA",0.0384297825948894,0.0210378462864855,0.117278703573354,0.00245699583516338,0.0242286922801625,0.0540578068916695,0,0.137594523528133,0.122674105758715,0.128424068935173,0,0.0089927153606402,0.112190251787956,0.0161212123154746,0.0512249227805277,0.0556474418618897
"m__C18-neg_Cluster_0002: NA",0,0,0.0591603879538672,0,0,0,0,0.051844206225851,0.0500576904757335,0.0725518527067822,0,0,0.0519138073198292,0,0,0.0190351963121375
"m__C18-neg_Cluster_0003: NA",0,0,0.142373607079649,0,0.0857772350509514,0.00987072743594868,0.118534059194964,0.215832625475654,0.170569066037251,0.183420782834538,0,0,0.224158583279337,0.0180862860200705,0,0.0779081981605575
"m__C18-neg_Cluster_0004: 4-hydroxystyrene",0,0,0.023420042101031,0,0,0,0,0.00177103924470746,0.00230402179491681,0.0178949725438166,0,0,0.00894414456321944,0,0,0.00362228134984609
"m__C18-neg_Cluster_0005: NA",0,0,0.205560259890758,0,0,0,0,0.204179951581294,0.230973572290778,0.355819331062289,0,0,0.165253369066485,0,0,0.0774524322594403
"m__C18-neg_Cluster_0006: NA",0,0.0385047208963789,0.101259889567395,0,0,0,0,0.0608563697076878,0.0818556525633863,0.0634708388371953,0,0,0.101114888434868,0,0,0.0298041573337941
"m__C18-neg_Cluster_0007: NA",0,0,0.0919147787887485,0,0,0,0,0.0812165957658744,0.0893961293999993,0.0925419632847426,0,0,0.0731222785749445,0,0,0.0285461163876206
"m__C18-neg_Cluster_0008: NA",0,0,0.00534110091510332,0,0,0,0,0.110747598287253,0.0154239701441346,0.0432617373201345,0,0,0.0843791621577094,0,0,0.017276904588289
"m__C18-neg_Cluster_0009: NA",0,0,0.0164632420793596,0,0,0,0,0.058162234153966,0.064264977165095,0.0314024542880094,0,0,0.0760391552961346,0,0,0.016422137532171
"m__C18-neg_Cluster_0010: NA",0,0,0.00227289473592524,0,0,0,0,0.0317311554993554,0.00734708143428188,0.00170232695243156,0,0,0.0440925715865811,0,0,0.00580973534723835
"m__C18-neg_Cluster_0011: NA",0,0,0.0357000178716487,0,0,0,0,0.0566142600002063,0.0368989430830801,0.0574603531579322,0,0,0.0581637686435312,0,0,0.0163224895170932
"m__C18-neg_Cluster_0012: NA",0.000182210369334559,0,0.113900448082872,0,0,0,0,0.130765606256716,0.126557860629722,0.118617370376288,0,0,0.121049667373264,0,0.0323015155150652,0.0428916452402175
