"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinobaculum",0.0363948868265913,0.00212411818337592,0.0847217177881131,0.0475375385212473,0.0163149894075397,0,0.00688897221101592,0.0107057985798008,0,0,0,0.0655701699886883,0,0,0,0.0180172127670915
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinobaculum;s__Actinobaculum massiliense",0,0,0.0553736717569366,0,0,0.00851323059003047,0,0,0.0247528278772635,0,0.0109902735609225,0,0.0372714634001898,0,0,0.00912676447902286
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces",0.0832128135741979,0,0,0,0,0,0.0393655554915196,0.0110498412562783,0.051556185874537,0.0114974274103712,0.0125240948998748,0,0.0396514336968866,0,0,0.016590490146911
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces dentalis",0.0254314443984526,0.0133949493604727,0.0112962290384151,0.0111494340907754,0.0219377612628847,0.0284898649313078,0,0.021140058617502,0.057486564657439,0,0,0,0.0194161951285291,0,0.0426868248370674,0.0168286217548564
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces gerencseriae",0.0755363139776516,0,0.0725697138225453,0,0,0.0285574311526434,0.0234347082057506,0,0.0786981990730366,0,0,0.173903584607418,0,0,0,0.030179996722603
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces graevenitzii",0.129523759179341,0,0.0112962290384151,0,0,0,0.0206669166330478,0,0.0343707905830246,0,0,0,0.0459052686911982,0.0108808610377237,0.0162395529271452,0.0179255585393264
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces israelii",0.0628767103761599,0,0.100955325962468,0,0.0644039488226749,0,0,0,0.0130683310097598,0,0,0.00139960436834159,0,0,0,0.0161802613692936
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces johnsonii",0.11297565959507,0,0.0616157947549913,0.0123150567457201,0,0,0,0,0.0927276141665023,0.0112627860346494,0,0.0135476326810742,0.0208253865018566,0.0304664109056262,0.022065080783834,0.025186761477955
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces massiliensis",0.0573267142481785,0,0.131244736480952,0,0,0.0259152754725927,0.0369342570955541,0.00575867720450502,0.0624923465145902,0.0125924204970733,0.0726995261548294,0.0210472150580975,0.00280948107182362,0.0261331557204275,0.0704998647929017,0.035030244687435
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces naeslundii",0.0210813289092436,0,0,0,0,0,0.0130527894524512,0.020396487283952,0.0254598448763145,0,0.011380067000367,0,0.0167270899547694,0,0,0.00720650716513985
