"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__C18-neg_Cluster_0003: NA",0,0,0,0,0.00288155220952959,0,0,0,0,0,0,0,0,0,0,0.000192103480635306
"m__C18-neg_Cluster_0005: NA",0,0,0,0,0,0,0.0508699920361515,0,0,0,0,0,0,0,0,0.0033913328024101
"m__C18-neg_Cluster_0006: NA",0,0,0,0,0,0,0,0,0,0.00521343050236406,0,0,0,0,0,0.000347562033490937
"m__C18-neg_Cluster_0010: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0053158108344884,0,0.000354387388965893
"m__C18-neg_Cluster_0011: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00492304349758292,0.000328202899838861
"m__C18-neg_Cluster_0015: NA",0,0,0,0,0,0.342671390974562,0,0,0,0,0,0,0,0,0,0.0228447593983041
"m__C18-neg_Cluster_0016: NA",0,0.000656110634164544,0,0,0,0,0,0,0,0,0,0,0,0,0,4.37407089443029e-05
"m__C18-neg_Cluster_0019: p-hydroxyphenylacetate",0,0,0.00670265820796227,0,0,0,0,0,0,0,0,0,0,0,0,0.000446843880530818
"m__C18-neg_Cluster_0023: NA",0,0,0,0,0,0,0,0,0,0.452000169134915,0,0,0,0,0,0.0301333446089944
"m__C18-neg_Cluster_0033: NA",0,0.0133246470662177,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000888309804414513
"m__C18-neg_Cluster_0043: NA",0,0,0.0867469707026257,0,0,0,0,0,0,0,0,0,0,0,0,0.00578313138017505
"m__C18-neg_Cluster_0045: azelate",0.0498824897969019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00332549931979346
"m__C18-neg_Cluster_0055: NA",0,0.000206463102675149,0,0,0,0,0,0,0,0,0,0,0,0,0,1.376420684501e-05
"m__C18-neg_Cluster_0063: NA",0.115517693772309,0,0,0.140735785609712,0,0,0,0,0,0,0,0,0,0,0,0.0170835652921347
"m__C18-neg_Cluster_0072: NA",0,0.00817018064406165,0,0,0.00339814010827154,0,0.044059607518049,0,0.0338100439003979,0.118488610034659,0,0.144255168671484,0.195316531843406,0.0750606333880226,0.103028834701489,0.048372516720656
"m__C18-neg_Cluster_0073: NA",0,0,0,0,0,0,0.0246750528891637,0,0,0,0,0,0,0,0,0.00164500352594425
"m__C18-neg_Cluster_0081: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0.184209062368729,0,0.0122806041579153
"m__C18-neg_Cluster_0087: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0.101258912726091,0,0.00675059418173938
"m__C18-neg_Cluster_0095: NA",0,0,0,0,0,0,0,0,0.0646911730362601,0,0,0,0,0,0.0301184778144636,0.00632064339004825
"m__C18-neg_Cluster_0102: NA",0,0.00796034795653835,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000530689863769223
"m__C18-neg_Cluster_0103: NA",0,0,0,0,0,0,0.0132085829513372,0,0,0,0,0,0,0,0,0.000880572196755815
"m__C18-neg_Cluster_0134: NA",0,0,0,0,0,0,0.0186681743774688,0,0,0,0,0,0,0,0,0.00124454495849792
"m__C18-neg_Cluster_0136: NA",0,0,0,0,0,0,0,0,0,0.0186442041832582,0,0,0,0,0,0.00124294694555055
"m__C18-neg_Cluster_0140: NA",0,0,0.00235459301664182,0,0,0,0,0,0,0,0,0,0,0,0.146459969388692,0.00992097082702223
"m__C18-neg_Cluster_0145: NA",0,0,0,0,0,0.279693723720623,0,0.0681646461576115,0,0,0,0,0,0,0,0.0231905579918823
"m__C18-neg_Cluster_0146: NA",0,0.0919176219405381,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00612784146270254
"m__C18-neg_Cluster_0153: NA",0,0,0,0,0,0,0,0,0,0,0,0,0.171250008448917,0,0,0.0114166672299278
"m__C18-neg_Cluster_0156: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00641972500222629,0.000427981666815086
"m__C18-neg_Cluster_0159: NA",0,0,0.303861792550214,0,0,0,0.0349194264530807,0,0.017090937551608,0,0,0,0,0,0,0.0237248104369935
"m__C18-neg_Cluster_0160: NA",0,0,0,0,0,0,0.0305094998604972,0,0,0,0,0,0,0,0,0.00203396665736648
"m__C18-neg_Cluster_0161: NA",0,0,0,0,0,0,0.00753579716235416,0,0,0,0,0,0,0,0,0.000502386477490277
"m__C18-neg_Cluster_0170: NA",0,0,0.0084668812169074,0,0,0,0,0,0,0,0,0,0,0,0,0.000564458747793827
"m__C18-neg_Cluster_0178: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035581692545862,0.0023721128363908
"m__C18-neg_Cluster_0191: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0312054236017308,0.00208036157344872
"m__C18-neg_Cluster_0192: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0424762074039591,0.00283174716026394
"m__C18-neg_Cluster_0198: NA",0,0,0,0,0,0,0,0.0182837118697881,0,0,0,0,0,0,0,0.00121891412465254
"m__C18-neg_Cluster_0210: NA",0.00646466216668281,0,0,0,0,0,0,0.0224527353427327,0,0,0,0,0,0,0,0.0019278265006277
"m__C18-neg_Cluster_0211: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0609069190508549,0,0.004060461270057
"m__C18-neg_Cluster_0215: NA",0,0,0,0,0,0,0.0132497174391351,0,0,0,0,0,0,0,0,0.000883314495942342
"m__C18-neg_Cluster_0216: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0849188218380595,0,0.00566125478920397
"m__C18-neg_Cluster_0224: NA",0,0,0,0,0,0,0.019058366076562,0,0,0,0,0,0,0,0,0.00127055773843747
"m__C18-neg_Cluster_0230: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0547165537892245,0,0.00364777025261496
"m__C18-neg_Cluster_0240: NA",0,0,0,0,0,0,0.0316005160968271,0,0,0,0,0,0,0,0,0.00210670107312181
"m__C18-neg_Cluster_0244: alpha-linolenic acid",0,0.0776840932758082,0,0,0,0,0,0,0,0,0,0,0,0,0.0723568672736371,0.0100027307032964
"m__C18-neg_Cluster_0248: NA",0,0.0694030422642726,0,0,0,0,0.0122218922410378,0,0,0,0,0,0,0,0,0.00544166230035403
"m__C18-neg_Cluster_0258: NA",0,0,0,0,0,0,0.0151072001257218,0,0,0,0,0,0,0,0,0.00100714667504812
"m__C18-neg_Cluster_0266: NA",0,0,0,0,0,0,0.037954514134138,0,0,0,0,0,0,0,0,0.00253030094227587
"m__C18-neg_Cluster_0274: NA",0.200132664839162,0.0118843524941781,0.100942259617357,0,0,0.648127714195841,0.335068258172256,0.347947900811681,0.0854932829757033,0.381791147770633,0.091863578700806,0.292213319348051,0.226686025684065,0.0868286282680334,0,0.187265275525184
"m__C18-neg_Cluster_0275: NA",0,0,0,0,0,0,0.0272778951399531,0,0,0,0,0,0,0,0,0.00181852634266354
"m__C18-neg_Cluster_0281: NA",0,0,0,0,0,0,0,0.0597500864240627,0,0,0,0,0,0,0,0.00398333909493752
"m__C18-neg_Cluster_0286: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000851929331432883,5.67952887621922e-05
"m__C18-neg_Cluster_0288: NA",0,0,0,0,0,0,0,0.00762849552202108,0,0,0,0,0,0,0,0.000508566368134738
"m__C18-neg_Cluster_0289: NA",0,0,0,0,0,0,0,0,0,0.161079143870793,0,0,0,0,0,0.0107386095913862
"m__C18-neg_Cluster_0292: NA",0,0,0,0,0,0,0.0220478844165228,0,0,0,0,0,0,0,0,0.00146985896110152
"m__C18-neg_Cluster_0294: NA",0,0.0489138581251675,0,0,0,0,0,0,0,0,0,0,0.273686627890696,0,0,0.0215066990677243
"m__C18-neg_Cluster_0300: NA",0,0,0,0,0,0,0,0.0687974451186054,0,0.0671187704865343,0,0,0,0,0,0.00906108104034264
"m__C18-neg_Cluster_0309: NA",0,0,0,0.149763032406865,0,0,0.0319402340599442,0,0,0,0,0,0,0,0,0.0121135510977873
"m__C18-neg_Cluster_0319: NA",0,0,0,0,0,0,0.0601909664495796,0,0,0,0,0,0,0,0,0.00401273109663864
"m__C18-neg_Cluster_0328: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0464724534611497,0,0.00309816356407664
"m__C18-neg_Cluster_0334: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0401797154364053,0.00267864769576035
"m__C18-neg_Cluster_0339: NA",0.00146362495502589,0.00329640906068934,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000317335601047682
"m__C18-neg_Cluster_0349: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0.106415371053037,0,0.00709435807020247
"m__C18-neg_Cluster_0358: NA",0.183422474467107,0,0,0.486930247607437,0.0294773689028908,0,0.295082001905635,0,0,0,0,0,0,0,0,0.0663274728588713
"m__C18-neg_Cluster_0366: NA",0,0,0,0,0,0,0,0.00969023811309625,0,0,0,0,0,0,0,0.000646015874206417
"m__C18-neg_Cluster_0370: NA",0,0.000410241199948107,0,0,0,0,0,0,0,0,0,0,0,0,0,2.73494133298738e-05
"m__C18-neg_Cluster_0378: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00982893956248435,0,0.000655262637498957
"m__C18-neg_Cluster_0380: NA",0,0.0218049627972631,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014536641864842
