"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__C18-neg_Cluster_0001: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0002: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0003: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0004: 4-hydroxystyrene",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0005: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0006: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0007: NA",0,0,0,0,0,0,0,0,0,0,0.0124820627638566,0,0,0,0,0.000832137517590442
"m__C18-neg_Cluster_0008: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0009: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0010: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0011: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0012: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0013: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0014: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0015: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0016: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0017: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0018: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0019: p-hydroxyphenylacetate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0020: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0021: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C18-neg_Cluster_0022: NA",0.168236338627626,0.238709386173205,0,0.0738805052767313,0.0439566266610803,0.0695550602050948,0.13173291246668,0,0.0928302848196112,0.104099289682769,0.158701132244534,0,0.174292494857714,0.205663625574143,0.0847618201407922,0.103094631781999
