"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__C18-neg_Cluster_0001: NA",0,2.11105335189861e-06,0,0.00102498215571144,0,0.0127703439420023,0.0110677420683591,0.000837132766649722,0.0220752919499337,2.47971989105014e-05,0,0,0.0303355969002043,0,0,0.0052091998690082
"m__C18-neg_Cluster_0002: NA",0.00160038243294404,0.045826570479777,0.0326765269830409,4.25443945887055e-05,0.0189230041016287,0.00723170048769157,0.0157962136807958,0.016090820538836,0.000114315279713039,0.0093616944808372,0,0.000470428234851686,0.00124380077945047,0,0,0.009958533458277
"m__C18-neg_Cluster_0003: NA",0.0265914142939045,0,0.00916082463589884,0.000480947415848024,0.0058967542506392,0.012017138924678,0.000219577424694384,0.00221907266931411,0.000771716064853901,0.00797150470885284,0.00275650338687855,0,0.000194332459658071,0.0176899419813893,7.51118899422702e-06,0.0057318159603736
"m__C18-neg_Cluster_0004: 4-hydroxystyrene",0,9.56157112101845e-07,1.1038760163108e-05,0.000421663776191739,0.0114083994504921,0.00165725774356215,0,0.00192360626010683,0,0.000258964124729304,0,0.000501145012583557,0.00284470539455594,0.00116243167989878,0,0.00134601122395971
"m__C18-neg_Cluster_0005: NA",0.00167603833313281,0.00610017436506946,0.00300749579817965,0.0279171252492399,0.00870092609736814,0.000324278744584869,0.018537569429432,0.0413873142862233,0.00105038859310827,0,0.00360654801281977,0.00392171803346393,0,0.000814498477701168,0,0.00780293836135488
"m__C18-neg_Cluster_0006: NA",0.000286223105068838,0,0,0.0180387679608341,0,0.00082598398368436,0.00801145516581716,0.12006416004744,0,0.00362930927766473,0.0206212583543843,0,0.00158354124707228,0,0.0912800866016574,0.0176227190495748
"m__C18-neg_Cluster_0007: NA",0,0.0257022273752693,0.0162495130581905,1.90157981952174e-05,0.00288209607316639,0.0124384390767889,0,0,0.00586023962659189,0.0219530145984225,0.000495938709744336,0,0.0269184292199814,2.79281074263096e-05,0.00755081431041138,0.00800651039694588
"m__C18-neg_Cluster_0008: NA",0,0.00774637996234241,0.000241235980664162,0.00497584945080599,0.0141160416166115,0.000690237214839247,0.035344785669369,0.0127010743635575,0.00199722829433544,0.056134641790561,0,0.00402559662655033,0.00531619682411622,0.00692585692107155,0.00905825765317172,0.0106182254911997
"m__C18-neg_Cluster_0009: NA",0.0032238983861619,0.0503741267395599,0.0178973835301103,0,0.0310548609969394,0.0205009734308376,0.00707664173389246,0,0.00171781899307969,0.0425949693944198,0.000205113285908035,0.00178241739024262,0.000544391992764377,0,0,0.0117981730582611
"m__C18-neg_Cluster_0010: NA",0,0.00396563133700477,0,0,0.0132648329570376,0.0039243308103995,2.47014352088938e-06,0.00781289389124242,0,0.00152573893963123,0.00969831721976983,0.00436516228807826,0.0111927027978718,0.00384111458449088,0.000246087151465299,0.00398928547470083
"m__C18-neg_Cluster_0011: NA",0.0178457674445635,0,0.000528468576306206,0.00398482912750565,0,0,0.0625961586664698,0,0.00535197332161168,0,0,0.0035799067023372,0.000287686301600418,0.000254248905149937,0.00951281885910772,0.00692945719364348
"m__C18-neg_Cluster_0012: NA",0,0,0.0387476100193716,0,0.0074295683779673,0.00357488074519775,0,0,0.000816928903733322,1.32958197920152e-05,0,0.000691730179565294,0,0,0,0.00341826760304182
"m__C18-neg_Cluster_0013: NA",0,0.00143730162141839,0.0016678041396384,0.0160321204030387,6.22407167287209e-05,0.000753017681628527,0.00717714220030773,0.0154857272141742,0,0,0.0197434516828014,0,0.0183478730018841,0,2.65953414618394e-06,0.00538062254638442
"m__C18-neg_Cluster_0014: NA",0.0191976718656872,0,0,0.0270840087677154,0,0.018005055381493,0,0.0017872924306407,0.00111171832093566,0,0.00173197196673585,0.00025514322307992,0.0149096794904929,0.00228686053077761,0.0210737076055889,0.0071628739722098
"m__C18-neg_Cluster_0015: NA",2.08103537512314e-05,0.0222381540474262,0,1.3977188062855e-05,0.0605816203462735,0.000195542865582012,0.00298947956617512,0.00549040010889693,0.0488644965922499,0.000409778495742351,0.000918390570472689,0.000768765199030359,0.0126669046957615,0.0360343328132035,0.0216476727517339,0.0141893550396241
"m__C18-neg_Cluster_0016: NA",0.000847292090005493,0.0109796724127726,0.00255588249736479,0.00201831145486252,0,0,0.00418279737351221,1.61748744215546e-05,5.31522835856357e-05,0.00351097731249324,2.01064122387901e-06,0,0.000158282646336348,0.00433620233052754,0,0.00191071706114039
"m__C18-neg_Cluster_0017: NA",0,0,0.00115422740335018,0.00442391631500562,0,7.39125645333463e-06,0,0.0100061514458372,0,0,1.6618589083286e-05,0.00340818418897718,2.08009252578487e-19,0.00247079760774097,0,0.00143248578709652
"m__C18-neg_Cluster_0018: NA",0,0,0,0,0,0,0.0579488629425779,0.000953970433103022,0.000283245669479013,0.0186887159171629,0.000709736384933309,0.000615679186662143,0,0,3.28252551768495e-06,0.00528023287062907
"m__C18-neg_Cluster_0019: p-hydroxyphenylacetate",0.00977250625977446,0.00238736766544369,0,0.000375026601777212,1.61635219770114e-05,0,0.0089230856213669,0.000673813337851756,0.000195460619672384,0.012016659599359,0,0,0.00208280281765949,0.00353233141570179,0.00093930874160845,0.00272763508014614
"m__C18-neg_Cluster_0020: NA",0.00688214619802151,0.00129636813817131,0,0,0.00097039673882491,0.0809385110555066,1.20395197366772e-05,0.000928355716879245,0,0,0.00477836569069357,0.000444840477805215,0,0.00140532145105925,0.000651411874228906,0.00655385045739515
"m__C18-neg_Cluster_0021: NA",0.000529512776583697,0.0141725845337051,0.0721010284303932,0.0232105038126219,0.0240124505728833,0.0142071964040173,0,0.0101193068266873,0.00143950871503637,0.0364981436645527,0.0185986197102136,0.0204800873868109,0,0.0137812238941832,0.0043918590632071,0.0169028017193931
"m__C18-neg_Cluster_0022: NA",0.00188022228154377,0,0.0151326352362433,0.000951553445654718,0.0539838026828522,0.0545227023008356,0,6.03225203107882e-05,0.00116107926154907,4.63023443694107e-06,0.000473674698823368,5.65203445915625e-05,0.0192025276699612,0.0452997102257505,0.0991287966408277,0.0194572118362254
"m__C18-neg_Cluster_0023: NA",0.145556063801324,0.0475328480174713,0.128664814432311,0.331336654635168,0.00129195934281161,0.0030166226803562,0,0.290491106641207,0,0.00300178228140463,0.06845369423499,0.175528088077807,0.00869722295934978,0.00389291821912882,0.0775839697347257,0.085669849670537
"m__C18-neg_Cluster_0024: NA",0.00354540412320129,0,0,0,1.78208494877337e-05,2.7274292293957e-06,0,0.000206340612316089,0,0.0683187302894007,1.25268632005514e-05,0,0.0481828074857465,0,0,0.00801909051017215
"m__C18-neg_Cluster_0025: acesulfame",0,0,0.00124784367800051,0,0,0.000958654850984649,0,0.000215615898624067,0,0.0034933868004065,0.000232843636888003,0.00720215998600351,0.00319520159497721,0.000291566747656437,0.00023015434997163,0.00113782850290083
"m__C18-neg_Cluster_0026: NA",0.00757456038762773,0.0120030855738209,0.00501558574009192,0.0292379053196939,0.0243873273604431,0.0214972494169312,0,0.000998938850381864,0,0,8.84861451815325e-06,0,0,0,0,0.00671490008423392
"m__C18-neg_Cluster_0027: NA",0,0.000414448860729888,0.0329551275605538,0.0030195879284193,0.00608960732304915,0.00584303594438005,0,0.00516045753284258,0,0.00840594528724417,2.60259649005207e-06,0.000242875474608519,0.0015860632270653,0,0.0306915294287581,0.00629408541094273
"m__C18-neg_Cluster_0028: NA",0,0,0.00357225274946825,0,0.000843289689235115,0,0.000109792336601862,0,0,0,0,0.00406876379913751,4.36052865230002e-06,0.0204563739352448,0.00131369787743318,0.0020245687277182
"m__C18-neg_Cluster_0029: NA",0.0768844707815533,6.03686225760399e-05,7.22981808052719e-05,0.000941103531949963,0.000829763792941027,0.0151641001805241,0.0261717246827776,0.0308361085514472,0.000443882424514951,0.00286712313788497,0.0170965185510798,0.000406538428303988,0.00143071912656708,0,0.00546755646208842,0.0119114850970009
"m__C18-neg_Cluster_0030: NA",0.00142048851029207,0.000220530866104151,0.00619313074952184,0,0,0.00122209583863987,0.0043406355242974,0,0.00160304046861773,0.000388487769711741,5.07529886620011e-05,0.0766953490414065,0.0387169317685995,0,0,0.00872342956839019
"m__C18-neg_Cluster_0031: phenyllactate",2.70149552554574e-06,0.0354947913373891,0,8.26562305759958e-06,0.000263570288988169,0.00089171908949653,0.000199645121375503,0.00623916547420368,0,0.0332968293597155,0,0.0407295381698413,2.59304706885228e-05,0.00286550908273075,0,0.00800117770086748
"m__C18-neg_Cluster_0032: NA",0.0241666534362513,0.00085796620778592,0.00387096733220863,0,0.00357739643815261,7.97757050605217e-07,0.000247275938661155,0.000178526648912982,0.00982497195730842,0.00292574606983398,0.000214888092602079,3.36838168280471e-05,5.01153759221591e-05,0.0313824108222223,0.0203145842867653,0.00650973227870036
