"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__C18-neg_Cluster_0001: NA",0.00153533011055498,1.20935996696822e-05,0.0123793153861332,0,0,0,0.0107815391502067,0.0194690437963264,0,0.00398353499011339,0.00160986084336963,0.000353393560817181,0.00462099440405986,0.000586776259590645,5.14088441754164e-05,0.00369221939633447
"m__C18-neg_Cluster_0002: NA",0.00501954251811487,7.03720366704956e-07,0.00043914703651293,0.0079648289299797,0.000180868268691015,0.000833101541943405,0.00189873213562426,0.000117516221143092,0.000188145119521282,0.000110800200851928,0.00436206566062812,1.52712082222836e-05,0.000165996440431582,0.00061962809260007,0.0102690631399469,0.00214569401563854
"m__C18-neg_Cluster_0003: NA",0.00139960451504227,0.00888946235308701,0.00750031892713646,1.2657532735513e-05,0.0212316563220267,0.00925310605195943,0,0.0240320103409509,9.22107653448778e-06,0.000527483854798727,0.0206953859448709,0.000828130664201743,0.00116290786100392,0.00231333662049556,0.0145351103676875,0.0074926928288354
"m__C18-neg_Cluster_0004: 4-hydroxystyrene",0,0.00143400617831783,8.16094192922612e-06,0,0,0.00148915741543337,0,0,0,8.59855477027259e-05,0,0.00515798989392777,0.000684014667734078,0.00268220267799193,0,0.000769434488202462
"m__C18-neg_Cluster_0005: NA",0,0.0146350692622939,0.000294668955376752,0.00179705672472543,0.0251315581488214,0.0112557194109929,0.00167887757168547,0.00935966418453904,0.000471479299582908,0.00738756399884393,0.00584759716998268,0,0,0.0193229408386598,0.0100459554000885,0.00714854339770618
"m__C18-neg_Cluster_0006: NA",0,0.00519743637182997,0.00655034660908291,1.37550072434936e-05,0.00015537647360699,0,0.0143465341290271,0.00375056909913027,0,4.28965734523199e-05,0.0292700287624049,7.53059066242264e-05,0.00329836726363266,0,0,0.00418004107973566
"m__C18-neg_Cluster_0007: NA",0,0.000277546643257965,0,0.00797614616244017,0.008055152135211,0.000668767394158148,0,0.00597104202816802,0,0.000979266285513613,0,0.00033625041944815,0,0,0,0.00161761140454647
"m__C18-neg_Cluster_0008: NA",0,0.002562377540311,0.0246697704498594,0.000181996806628137,0.00175193376147653,0,0.0177161063639429,2.25126151681734e-05,0.0431917659192054,0.00362514831383074,0.0203973382216885,0,4.17042189737288e-05,0.0135582137168339,0.00122270511913951,0.00859610486980387
"m__C18-neg_Cluster_0009: NA",0.0298721030289142,0.00456736619782488,0.00845707779870915,8.25298108300077e-05,0.000100017364324983,0.00469984846395439,0.0223734570245905,0.0189148091860836,0,0.011738907621145,3.85923187304672e-05,0.00508976376977742,0.000183649035771243,0.00778599269288061,0.021479559694289,0.00902557826718836
"m__C18-neg_Cluster_0010: NA",0.000865858952809953,0.0079873749162295,0.000336594322523715,0.000782549357096313,0.00367215652508666,0.000516652052103487,0.00647955868521177,1.45168683139547e-05,0.00837189016075995,0,0.000542811621789563,0.0352297444605968,0.000755576832388545,0.0128552062332469,0,0.00522736606587714
