"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces",0.0127867441759904,0,0,0,0,0,0,0,0.000688877083397135,0,0,0,0,0,0,0.000898374750625835
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces dentalis",0,0,0,0,0,0,0,0,0.0250977552073438,0,0,0,0,0,0,0.00167318368048958
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces gerencseriae",0,0,0.000827232962761662,0,0,0,0,0,0,0,0,0,0,0,0,5.51488641841108e-05
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces johnsonii",0,0,0.000111914055028057,0,0,0,0,0.0396907606564727,0.189278237425959,0,0,0,0,0,0,0.015272060809164
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces naeslundii",0,0,0,0,0,0,0,0.0430495675057331,0,0,0,0,0,0.166806624550996,0,0.0139904128037819
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris",0,0,0.0022995180725391,0,0,0,0,0.044650721405268,0,0,0,0,0,0,0,0.00313001596518714
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_A",0,0,0.0012086824528106,0,0,0,0,0,0.0380155833858328,0,0,0,0,0,0,0.00261495105590956
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_B",0,0,0.287908292776601,0,0,0,0,0,0,0,0,0,0,0,0,0.0191938861851067
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_D",0,0,0.362777658591326,0,0,0,0,0,0,0,0,0,0,0,0,0.0241851772394217
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_E",0,0,0.000891614743887329,0,0,0,0,0,0,0,0,0,0,0,0,5.94409829258219e-05
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp000195595",0,0,0.00335528024312192,0,0,0,0,0,0,0,0,0,0,0.0039135075944827,0,0.000484585855840308
