"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__C18-neg_Cluster_0001: NA",0.0587296286995169,0.0375359482999903,0.0581903313611218,0.0549344225847812,0.0363500358921515,0.0606541443131836,0.057290585009137,0.0476684364873441,0.0631553608891329,0.05579808273248,0.0516569496635288,0.0494965755023403,0.0588012428693858,0.0536370271879374,0.057132330843863,0.0534020734890596
"m__C18-neg_Cluster_0002: NA",0.0142006427131809,0.00429082974320939,0.00570119934003798,0.0118428686167778,0.0301429197776697,0.0298972899418355,0.0167774607444249,0.0248107790126837,0.0241420293084365,0.0194188535608063,0.0239103639368548,0.00181931005090767,0.0167103797201201,0.0226772592636966,0.0284458905106567,0.0183192050827532
"m__C18-neg_Cluster_0003: NA",0.0750734783612923,0.0303468422795569,0.0065769960417193,0.0539713390096355,0.00284372032176985,0.03004933962729,0.0366999457983496,0.0897726754165305,0.00629998896606374,0.00785397304540041,0.0797605571970415,0.0507405916790239,0.0749756871827295,0.0384745044406536,0.0966115722580719,0.0453367474416752
"m__C18-neg_Cluster_0004: 4-hydroxystyrene",0.0873093994474056,0.0362129189950922,0.0511159464152292,0.0452571128755982,0.0453007365930319,0.064126155538043,0.0206774537953639,0.0297070312789808,0.0826987276690438,0.0236166684732833,0.0572143968684185,0.0597283415627175,0.00415628296540331,0.025839353355523,0.028758989438698,0.0441146343514555
"m__C18-neg_Cluster_0005: NA",0.0264729648646847,0.142709244837759,0.0824126736319998,0.0268183921257664,0.0373029753749252,0.14151017780442,0.135582580864542,0.0290686187141282,0.0463852114098714,0.0719576519400238,0.0133158157309448,0.135816419324263,0.194886646736096,0.0245968463345705,0.131121896301585,0.0826638743997053
"m__C18-neg_Cluster_0006: NA",0.0302160057613967,0.0162520457092262,0.00805612959601437,0.0527926951377043,0.0354790811878137,0.00154241996820572,0.00280901640252631,0.0253926505640887,0.00851916309559225,0.0349846801876505,0.000672752633679476,0.051573544324417,0.0124281653630778,0.0625228210586695,0.0390425951856359,0.0254855844117132
"m__C18-neg_Cluster_0007: NA",0.0591902378580887,0.00275205221410575,0.0419080573345749,0.112474740082542,0.0195105536610548,0.0496086241559985,0.0595572287013453,0.0276209244234754,0.0573415553001718,0.0414823851419843,0.102497485113082,0.0290677460815689,0.0384357011390908,0.00172070327509934,0.0181530256630226,0.0440880680096803
"m__C18-neg_Cluster_0008: NA",0.240366068899872,0.161327578482286,0.210992479777205,0.259527606756951,0.133568674471902,0.240295356311781,0.21938525303036,0.250246143925703,0.256748989035778,0.235805553512042,0.209878314370901,0.163099334001816,0.216626112738146,0.176482804653989,0.189762115133209,0.210940825673463
"m__C18-neg_Cluster_0009: NA",0.111419195673803,0.0589175164761299,0.0774560016993744,0.0699605331992273,0.0713258283951489,0.0550264290679567,0.0695255574852802,0.0887281468169106,0.0247653828903178,0.020766024608953,0.131292597107031,0.0788691183640772,0.135717385163801,0.070458352562521,0.0923460720867501,0.0771049427731521
"m__C18-neg_Cluster_0010: NA",0.00780626453484424,0.0128651004008718,0.0271093414213228,0.00783830111160716,0.00791042285758898,0.0300602883433732,0.0283022356750433,0.0189911586262167,0.00960573306394386,0.00177579342598288,0.0232754904374569,0.0079261540451669,0.0412555937787711,0.0048253433980662,0.0394495816863609,0.0179331201871078
