"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__C18-neg_Cluster_0001: NA",0.165170694910643,0,0.108166406773448,0,0.201140280966754,0.0681899753633987,0.330158388933169,0,0.16638123264671,0.272489486402332,0.127921387675484,0.0904843379668622,0.234144275112326,0,0.363216807139467,0.14183088492604
"m__C18-neg_Cluster_0002: NA",0.00160948837699874,2.62640660641096e-05,0,0.000459684241743157,3.30899272507211e-05,0.00020847732371739,0,0.000382917866592361,0,0.00682514108207157,0.002026596505154,0.0615827794705925,0,0,0.000533485230146644,0.00491252827268874
"m__C18-neg_Cluster_0003: NA",0,0.158071464102794,0.0454641017981457,0.104044076534475,0,0,0.00781101213307811,0.000145873472987579,0,0.000181733569284787,0,0.00220602978715712,0,0,0,0.0211949527598615
"m__C18-neg_Cluster_0004: 4-hydroxystyrene",0,0.00329212772539501,0.00140617870112413,0,0,0,0.0064391511703875,0.000861565199832802,0,2.55070553084581e-18,0,0,0.0359795380499259,0,0,0.00319857072311102
"m__C18-neg_Cluster_0005: NA",0.082948958264593,0,0,0.00520550187874393,0.000762391923856558,0.0288778023617352,0,0.0172492532716525,0.0495836908506482,0,0,0,0.00312967909668605,0,0,0.0125171518431944
"m__C18-neg_Cluster_0006: NA",0,0.00183894139085282,0,0.00686524065728399,5.5149878751197e-05,0.000504515123396073,0.00296964423710889,0.00833085683504998,0,0,0,8.93611850050201e-05,0.00566861555263209,0.000371307811795725,0.00367442667192467,0.0020245372895867
"m__C18-neg_Cluster_0007: NA",0,0.000156333726571981,0,8.43424536842443e-05,0.0392008986540109,0.000437878189742396,0,0.00473353851166254,0,0,0.129826734938515,0,0.00153648351754436,0,0,0.0117317473327821
"m__C18-neg_Cluster_0008: NA",0.0616750678126241,0.0248899723070727,0,0,0,0.0823574969031038,0,4.30782599916334e-05,0.0833443477141188,0.0649165788896107,0,0.143126831316361,0.00038464957041741,0,0.0602606304569658,0.0347332435486844
"m__C18-neg_Cluster_0009: NA",0.00335017722645378,0.116066574433535,0.0130364062286384,0,1.32359709002881e-05,0,0,0,0,0,9.29164219367472e-05,0.0131599238450713,0,0.00125396965433268,0,0.00979821358539121
"m__C18-neg_Cluster_0010: NA",0.0418650627075069,0.0463359119575319,0,0,0.000700447580043219,0.0776141077631189,0.0272005703151795,0,0.000206353053480684,5.0481547023535e-05,0,0.0512717257277048,0.0030381132209693,3.31524831960455e-05,0.00331831959017489,0.0167756163963953
"m__C18-neg_Cluster_0011: NA",0.0509252850934658,0,0,0.0140382060345225,0.00160041796714333,0,0.0181813196626164,0.000101114249147041,0,0.00387408196381351,0.000509925323588899,0,0,0,0,0.00594869001961984
"m__C18-neg_Cluster_0012: NA",0.192883566101741,0,0.0610672410695928,7.81775921331912e-05,0,0.00281173366497639,0.127694405965034,0,0.243821070975836,0.23943544451785,0.000280979259936742,0,0.211759490745576,0.0563163073855862,2.31502751751233e-05,0.0757447711702292
"m__C18-neg_Cluster_0013: NA",0.0277707329597846,0.0758034907719355,2.95537651577705e-05,0.146861172960825,0.00174620883187078,0.0745722195638097,0,0.00017231303996655,0.0660438007724577,0,0,0,0,0.000544713716957264,0.00298040810007193,0.0264349742988558
"m__C18-neg_Cluster_0014: NA",0,0,0.000310197257311014,0.0868551898388576,0.00866180155269904,0,0.0232781374769238,3.58985499930332e-05,2.45658397000875e-05,0.0513767753822841,0.00134171313276671,0.0478334995161428,0,0,0.0100009188756517,0.0153145798281553
"m__C18-neg_Cluster_0015: NA",0.156281119249861,0,2.63872903194644e-05,0.000752917221607326,0.00012706532064276,5.21193309293474e-05,0,0.0107093395916946,0,0,0,0.0487951318961564,0.0746104636072403,0.00139670183835195,1.286126398618e-05,0.019517607107386
"m__C18-neg_Cluster_0016: NA",3.0987880462052e-05,0.135837646461441,0,0,0,0,0.0172919369313887,0,0,0.0208578712245192,0,0.00324753682857036,0.00404901110902291,0.0375585384463742,0.000740808805603832,0.0146409558458255
"m__C18-neg_Cluster_0017: NA",0,2.33458365014153e-05,0.0625858054072595,0.00231355639055284,0,0.00352910413588791,0,0,0,0,0.000110895749581471,0.00040172817170035,0.000388602295611143,0.000206282117664295,0.0010249141270585,0.0047056156154545
"m__C18-neg_Cluster_0018: NA",0.12835196928622,0.196191760920894,0.272237847314194,0.399398246069755,2.38247476205175e-05,0.289074873106416,0.152814342460173,0.161870230807202,0.362003747713279,0.724357005503866,0.653234235883514,0.0250906349452961,0,0.210752348365901,0.0109401389608101,0.239089413739009
"m__C18-neg_Cluster_0019: p-hydroxyphenylacetate",0,0.000472753189153685,1.53925860196869e-05,0.121907317062204,0.0165738558589816,0.00393420535834561,0,0.000926802267171309,0.0203027384692857,0.00334210989800748,0,0,0.00299489088684564,0,0,0.011364671038401
"m__C18-neg_Cluster_0020: NA",0.000375877030796936,0,0,0.000213476944918366,0,0,0,0,0,0.00105957829122979,0,0.13357666607914,0.00117841967358813,0.0570795512209441,0,0.0128989046160412
"m__C18-neg_Cluster_0021: NA",0.000351518768991412,0.000285986497142372,0.00998627002140039,0,0,0.025471572911879,0.0139457695963932,0.000102567285694406,0,0,0,0.00387674636005189,0.00225290976534611,6.18846352992919e-05,0,0.0037556817228132
"m__C18-neg_Cluster_0022: NA",0,0,0,0,0.0177267467414564,0,0.0293764138208244,0.00242988310265344,0.00106892109994989,0.0226209533511629,0.000470505531582227,0,0,0,0.0102554160084691,0.00559658931040656
"m__C18-neg_Cluster_0023: NA",0.0203194725804794,0,0,0.000528569868639965,0,0.00667440151881211,0,0.000299154583275315,0.00411672647498153,0.0298941804003707,0.0153348101309141,0.0365244571721258,0,0.00217298411559643,0.000101052788462824,0.00773105397557721
"m__C18-neg_Cluster_0024: NA",0.0790859474652811,0,0,0,0.113692378714213,0.000300207346153036,0.0690323129650759,0.010504703113185,0.0026999117617043,0,0.00214720700236099,0.000278012575571154,0.0596201430030504,0,0.00378807095272887,0.0227432596599549
"m__C18-neg_Cluster_0025: acesulfame",0,0.00120408804692021,2.4628137631509e-05,0,2.38247476205138e-05,0,0.031352876140001,0,0,0,2.60165981422904e-05,0,0.0871995133652896,0,0,0.00798872980237368
"m__C18-neg_Cluster_0026: NA",0.000781152819980944,0,0.00798366698219592,0.00019501841208703,0.00131079601531513,0,0.00340386424196142,0.000537235607780333,0.00110360670083757,0.0390929100150413,0.00495576522942262,0,0.0689283710338996,0,0.000387421358320244,0.00857865389445614
"m__C18-neg_Cluster_0027: NA",0.149767950718851,0,0.00394111639178892,0,9.72843861171129e-05,0,0,0,0.0342253121139539,0,0.248452551805421,0.00416780566863376,0.00161921576832295,0,0,0.0294847491235392
"m__C18-neg_Cluster_0028: NA",0.275599832769298,0.141028609180593,0.278691829430368,0.0868013161593978,0,0,0.189663360545201,0,0.178710213452365,0.450629613979973,0.259212257234557,0.358649679475855,0,0.457860487880858,0.195911567010478,0.191517251141263
"m__C18-neg_Cluster_0029: NA",0.00477932332307063,0.00192614375096544,0,0,0.00737543594486424,0,0,0.032506924267595,0,0,0,0,0,0.00027235685847863,0.00137868881882503,0.00321592486425327
"m__C18-neg_Cluster_0030: NA",0.0149624248429398,0,0.00325830260864721,0.00400782401008499,0,0.00773105394283626,0.000195648699738539,0,0.0363020393434058,0,0.00015935166362153,6.25528295035312e-05,0.121115522389973,0,0.000704282815883088,0.0125666002097756
"m__C18-neg_Cluster_0031: phenyllactate",0,0,0.000445285524140942,0.00585602283472366,0,0,0.000322055472820639,0.000427232193873118,0.0550002180452391,0,0,0.000347515719463946,0.00790171382697779,0.000530439731136745,0.0132438569099265,0.00560495601722016
"m__C18-neg_Cluster_0032: NA",0.102628158609671,0.00334690284548664,0,0.0658666144712667,0,0,0.0425149008064669,0,0,0.00505563345006273,0.0235811320191168,6.67230181370756e-05,0.00112907433513057,6.52689512922252e-05,0.0742236644734698,0.0212318715320067
"m__C18-neg_Cluster_0033: NA",0,0,0,0.00754847416204165,0.00196051200975061,0,5.17589152747306e-05,0.0343752173303789,0,0.115357897971218,0.00510871381703151,0.00233530563479765,2.30022716158827e-17,0,0.0730975332419263,0.015989027538828
"m__C18-neg_Cluster_0034: NA",0,0.0064066811819013,0,0.0598115197577514,0,0.00302889258010288,0.0621190935962597,0.0295208734321877,0.0389200108013413,0.00185131057528928,0,0.000993486115644002,0,4.39716780670712e-18,0,0.0135101245360318
"m__C18-neg_Cluster_0035: NA",0.00221848574657954,0,5.17190890261457e-05,0.000978443939393216,0.000629376719151955,0.00075623660054741,3.00585107965862e-05,0.000542580941323296,0.000800399722591815,0.287397908482155,0,0.0173908780844421,0,0.000284282543406103,0.000232145814950508,0.0207541677462909
