"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces gerencseriae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35711377907856e-07,9.04742519385708e-09
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces graevenitzii",0,0.000583328448088758,0,0,0,1.0876927048458e-06,0,0.000848331813005488,0,0,0,0,0,0,0,9.55165302532728e-05
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces israelii",0,0,0,0.015436280665267,0.303444195300078,0.00537651568707733,0,0,0.00384982490700851,0,0.575244637845711,0,0,0,0.0619084568202029,0.0643506607483563
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces johnsonii",0,0,0,0,0,6.02348479384492e-07,0,0,0,0,0,0.0444128338395486,0,0,0,0.00296089574586853
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces massiliensis",0,0,0,0,0.0491718382859508,0,0,0,0,0,0,0,0,0,0,0.00327812255239672
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces naeslundii",0,0,0,0,0.001158420728392,0,0,0,0,0,0,0,0,0,0,7.72280485594668e-05
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris",0,0,0,0,0,0,0,0,0.00217951157415844,0,0,0,0,0,0,0.000145300771610562
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_B",0,0,0,0,0,0.000168092891806384,0,0,0,0,0,0,0,0,0,1.12061927870922e-05
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_C",0,0,0,0,0,0,0,0.000336203430963923,0,0,0,0,0,0,0,2.24135620642615e-05
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp000195595",0.000492330759840576,0,0.598834181909707,0,0.304734303250024,0,0,0,0,0,0.000856767477697521,0,0,0,0,0.0603278388931513
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp000220835",0,0.0135872194318546,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000905814628790304
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp001278845",0,0,0,0,0,0.0213630512265292,0,0,0,0,0,0,0,0,8.51959450423974e-08,0.00142420909483161
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia",0,0,0,0,0,0,0,0,0.000376660379531077,0,0.000987183911737289,0,0,0,0.000116572643355981,9.86944623082898e-05
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia georgiae",0,0,0,0,0,0,0,0,0.00460852185316008,0,0,0,0,0,0,0.000307234790210672
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia hongkongensis",0,0,0,0,0,0,0,0,0.00183290724610334,0,0,0,0,0,0,0.000122193816406889
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia marseillensis",0,0,0,0,0.0414075536147908,0,0,0,0.000406871903569322,0,0.169952963692124,0,0,0,0,0.0141178259473656
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica",0.00127048625903189,0.00222942373699664,0,0,0,0.0265155763547422,0,0,0,0,0,0,0,0,0,0.00200103242338472
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica_A",0,0.0143538055084891,0.0375060774092207,0,0,0,0,0.00296123673823546,0,0,0,0,0,0.0196037459861397,3.92541700483695e-05,0.00496427465414222
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica_B",0,0,0,0,0,0,0,0,0.000368684345706055,0,0.00248548388483727,0,0,0,1.57655355097873e-05,0.000191328917736874
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica_C",0,0,0,0,0,1.05283516865418e-06,0,0,0.00362908092540093,0,0,0.00105205111048526,0,0,0,0.000312145658070323
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia pyogenes_A",0,0,0,0,0,0.000156202645217066,0,0,0,0,0,0,0,0,0,1.04135096811378e-05
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000278725",0.0509710620088459,0.0180946039263578,0.00261031154516052,0,0,0,0,0,0,0,0,0,0,0,0,0.00477839849869094
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000308055",0,0,0,0,0,0,0,0,0,0,0,0.0837552023855103,0,0,0,0.00558368015903402
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000411415",0,0.377180409856062,0,0,0,0.0986208382038901,0,0,0.000260115873047128,0,0,0,0,0,0,0.0317374242622
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001064145",0,0,0.179722540236684,0,0,0.0492680630727327,0,0,0.002022653079109,0.00496981595184643,0.0448546707317391,0.000218803914393909,0,0,0,0.0187371031324337
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001072465",0,0.0144316755873193,0,0,0,0,0,0,0,0,0.0657864190948161,0,0,0,0,0.00534787297880903
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001838165",0,0,0,0,0,0,0,0.00155636268961212,0,0,0,0,0,0,0.136017561685844,0.00917159495836377
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp018375675",9.6623674467852e-06,0,0,0,0,0.000894896569205552,0,0,0,0,0,0,0,0,0,6.03039291101558e-05
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp018382595",0,0.00268507485390873,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000179004990260582
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp900541895",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83234055621317e-05,1.22156037080878e-06
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp900556405",0,0,0,0,0,1.99115981224373e-05,0,0,0,0,0,0,0,0,0,1.32743987482916e-06
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp902373435",0,0.00210501602667953,0,0,0,0,0,0,0,0,0,0.311143586253546,0,0,0,0.0208832401520151
