"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__C18-neg_Cluster_0001: NA",0,0,0,0,0,0,0,0.034705440692118,0,0,0,0,0,0,0,0.0023136960461412
"m__C18-neg_Cluster_0002: NA",0,0,0,0,0,0,0,0.0603388305052709,0,0,0,0,0,0,0,0.00402258870035139
"m__C18-neg_Cluster_0003: NA",0,0,0,0,0,0,0,0.0278357943680922,0,0,0,0,0,0,0,0.00185571962453948
"m__C18-neg_Cluster_0004: 4-hydroxystyrene",0,0,0,0,0,0,0,0.0169859895276425,0,0,0,0,0,0,0,0.00113239930184283
"m__C18-neg_Cluster_0005: NA",0,0,0,0,0,0,0,0.164741135911805,0,0,0,0,0,0,0,0.0109827423941203
"m__C18-neg_Cluster_0006: NA",0,0,0,0,0,0,0,0.0444512825420263,0,0,0,0,0,0,0,0.00296341883613509
"m__C18-neg_Cluster_0007: NA",0,0,0,0,0,0,0,0.0858191381866277,0,0,0,0,0,0.00283931111742096,0,0.00591056328693658
"m__C18-neg_Cluster_0008: NA",0,0,0,0,0,0,0,0.00332999365689328,0,0,0,0,0,0,0,0.000221999577126219
"m__C18-neg_Cluster_0009: NA",0,0,0,0,0,0,0,0.0243039435372444,0,0,0,0,0,0,0,0.00162026290248296
"m__C18-neg_Cluster_0010: NA",0,0,0,0,0,0,0,0.0140578292667685,0,0,0,0,0,0,0,0.000937188617784563
"m__C18-neg_Cluster_0011: NA",0,0,0,0,0,0,0,0.00587622709711286,0,0,0,0,0,0,0,0.000391748473140857
"m__C18-neg_Cluster_0012: NA",0,0,0,0,0,0,0,0.0436923214599295,0,0,0,0,0,0,0,0.00291282143066197
"m__C18-neg_Cluster_0013: NA",0,0,0,0,0,0,0,0.0355011740587054,0,0,0,0,0,0,0,0.00236674493724703
"m__C18-neg_Cluster_0014: NA",0,0,0,0,0,0,0,0.00918777763770278,0,0,0,0,0,0,0,0.000612518509180185
"m__C18-neg_Cluster_0015: NA",0,0,0,0,0,0,0,0.185487930030729,0,0,0,0,0.000191480827105997,0,0,0.0123786273905223
"m__C18-neg_Cluster_0016: NA",0,0,0,0,0,0,0,0.0312532000179997,0,0,0,0,0,0,0,0.00208354666786665
"m__C18-neg_Cluster_0017: NA",0,0,0,0,0,0,0,0.0106574596296111,0,0,0,0,0,0,0,0.000710497308640738
"m__C18-neg_Cluster_0018: NA",0,0,0,0,0,0,0,0.0270861907801005,0,0,0,0,0,0,0,0.0018057460520067
"m__C18-neg_Cluster_0019: p-hydroxyphenylacetate",0,0,0,0,0,0,0,0.0742271684404135,0,0,0,0,0,0,0,0.00494847789602757
"m__C18-neg_Cluster_0020: NA",0,0,0,0,0,0,0,0.0263965206528055,0,0,0,0,0,0,0,0.00175976804352037
"m__C18-neg_Cluster_0021: NA",0,0,0,0,0,0,0,0.0192892892362479,0,0,0,0,0,0,0,0.00128595261574986
"m__C18-neg_Cluster_0022: NA",0,0,0,0,0,0,0,0.0882518550933058,0,0,0,0,0,0,0,0.00588345700622039
"m__C18-neg_Cluster_0023: NA",0,0,0,0,0,0,0,0.0367317157510885,0,0,0,0,0,0,0,0.00244878105007257
"m__C18-neg_Cluster_0024: NA",0,0,0,0,0,0,0,0.0435918193305692,0,0,0,0,0,0,0,0.00290612128870461
"m__C18-neg_Cluster_0025: acesulfame",0,0,0,0,0,0,0,0.036609446153729,0,0,0,0,0,0,0,0.00244062974358193
"m__C18-neg_Cluster_0026: NA",0,0,0,0,0,0,0,0.0162679181824223,0,0,0,0,0,0,0,0.00108452787882816
"m__C18-neg_Cluster_0027: NA",0,0,0,0,0,0,0,0.0114857022014443,0,0,0,0,0,0,0,0.000765713480096289
"m__C18-neg_Cluster_0028: NA",0,0,0,0,0,0,0,0.0196370426223272,0,0,0,0,0,0,0,0.00130913617482181
"m__C18-neg_Cluster_0029: NA",0,0,0,0,0,0,0,0.156216108516969,0,0,0,0,0,0,0,0.0104144072344646
"m__C18-neg_Cluster_0030: NA",0,0,0,0,0,0,0,0.0553269466590403,0,0,0,0,0,0,0,0.00368846311060269
"m__C18-neg_Cluster_0031: phenyllactate",0,0,0,0,0,0,0,0.00747836112996174,0,0,0,0,0,0,0,0.000498557408664116
"m__C18-neg_Cluster_0032: NA",0,0,0,0,0,0,0,0.0336722342960474,0,0,0,0,0,0,0,0.00224481561973649
