"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__C18-neg_Cluster_0001: NA",0,0,0,0.205285980060877,0.000656412363872362,0,0.00366273858736307,0,0,0.11829842692619,0,0.065355842114115,1.94048493448631e-05,0,0.0184072158635783,0.0274457347176894
"m__C18-neg_Cluster_0002: NA",0.00079879678814015,0,0.00788157112561511,0.000890378821952327,0.00121387642117307,0,0,2.64823058874952e-05,0.00357982883164324,0,0,0.00223622659057078,0,0,0,0.00110847739233215
"m__C18-neg_Cluster_0003: NA",0.000280618543570511,0.0109044660457694,0.00206449354799892,0.00113803667351255,0,0,0,0,0,0.0195071731121229,0,0,0.0409193019017002,0.0693215091453002,0,0.00960903993133163
"m__C18-neg_Cluster_0004: 4-hydroxystyrene",0.00940055588224918,0,0.0257785019695224,0,0.0156488191088512,0.000735795086411904,0,0,0,6.73605416316704e-05,0,0.000615889860255817,0.000150855612322485,0.000613239926315461,0.00281583868951787,0.00372179044513853
"m__C18-neg_Cluster_0005: NA",0.0224304402319636,0.00943378716831639,0.000425425405020359,0,0,0,0,0,0,0,0.00504761983846271,0.00916664038249138,0.00099031610313543,0.000124000255210529,0.024405181694954,0.00480156073863696
"m__C18-neg_Cluster_0006: NA",0.0047272145564128,2.50962029931751e-05,0,0,7.64698073588843e-05,0.0598757326651816,0,0.00448964559088562,0.00014884419647691,0,0,0.143252950334891,0.000274290541165387,0.0451437343493991,0.000413373264476902,0.0172284901006161
"m__C18-neg_Cluster_0007: NA",0.0039813544761394,0,0.0113041045132537,0,0.00748181805860773,0,3.22123296630234e-05,0,0,0,0,0,0.00811345786559547,0,0.0807446627263414,0.00744384066464005
"m__C18-neg_Cluster_0008: NA",0.00148029187479717,0,0,0.000431433749553679,0.00422181495797759,0,0.0197121092084318,0.00859852609016235,0,0.0095521236004828,0.0254567506073175,9.27658032571146e-06,0,0.000149591818592412,0.0182637352684211,0.00585837691707081
"m__C18-neg_Cluster_0009: NA",0,0.0114579988239214,0,0.00269935642395987,0.00627605035666218,0.00459029664147267,0,0.000417330666012233,0,0.00298479564470932,0,3.29479260043573e-07,0,0,0.00262609553218769,0.00207015023787902
"m__C18-neg_Cluster_0010: NA",0.000731276245496957,0,0,3.89516679480776e-05,0.00016944714065627,0,5.09497381713744e-05,0.00364705989413159,0.00423348272330516,0,0.0018235269157085,0,0.00550257396528442,0,0.00537082673684246,0.00143787300183632
"m__C18-neg_Cluster_0011: NA",0,0.00229680506679451,0,0,0.00526050915648383,0,0.0357888978885629,0.0121960051633666,0,6.38750966875432e-05,0,0.000620510702343711,0,0,0,0.00374844020494928
