"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinobaculum",0,0.0900676846808046,0,0,0,0,0.0110296575061731,0,0,0.0105251071822514,0,0.00236310644738278,0,0.0295262744461303,0.0303677160716867,0.0115919697556286
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinobaculum;s__Actinobaculum massiliense",0,0,0,0,0,0,0,0,0.00242443584206241,0.0104398566921994,0,0,0,0,0.0141031891617206,0.0017978321130655
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces",0.0420054041303673,0.00680432793036176,0.184370361649563,0.01238355775959,0.0673650815566706,0.210873471736042,0.145974653815899,0.198012254654145,0.00384179190432958,0.0877244212997483,0.0204362822965241,0.00234931104002305,0.0691229081216424,0.0201759022058456,0,0.0714293153400501
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces dentalis",1.4431645651103e-05,0.0219807534795169,0,0,0.000419359816281689,0.00733363543124594,0,0.0116646805959971,0.0382712109494196,0,0.0811070269940532,0.0447611649536726,0,0.0184165330318036,0.000722835918350104,0.0149794421877328
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces gerencseriae",0.0580574139234999,0.00144644436248166,0.000182159081641931,0.0617257852216289,0.0604325759574566,8.50650926909081e-20,9.74798195389955e-05,0.000126084840885459,0.0123570865705775,0,0.00223866368883763,0.0383113137782464,0,0.0102325116382809,0.082442220092921,0.0218433159317331
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces graevenitzii",0.00286949061157213,0.0775828123558632,0,0.0553342660299139,0.00910409445278025,0.00189500481761363,0.0930677967829134,0.0195449572973749,0.0280557858291201,0.0154711735742766,0.0605169787823372,0.0883943771936929,0.0181348245516989,4.87830524326698e-05,0.0519259887476295,0.034796422271948
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces israelii",0.00699550465283613,0.000716422977928425,0.0421259049084475,0.00336468553709627,0.021886866798093,0.0017099889511879,0,0.0007647632660908,0.00507407209601146,2.40351621457433e-05,0.0115276565649134,9.84618813185759e-05,0.00407269971634146,0,0.026790810607208,0.00834345820797457
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces johnsonii",0.0107839764533679,0.0120466276529388,0.00765516731067531,0,0,0.00832266766860367,0,0,0.0841441641793594,0.0173528706860745,0.0144918793660202,0.000133318178734488,0,0.00943467065775225,0.0840906045603751,0.0165637297809268
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces massiliensis",0.000127309585599368,0.0586566735613811,0.00685286468769134,0,0.048677848625719,0.070734948733117,0.0538725488042396,0.0206224700718863,0.0445423544569803,0.0155481888324498,0.020364394870519,0.0336838622853143,0.00425064246632759,0.00586091577281627,0.0565627478208986,0.029357184704996
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces naeslundii",0.0887166544624689,0.000414467873934679,0.0799715768844818,0.0592818744233034,0.10848497951693,0,0.0236756642711965,0.0633069178328614,0,0.0683915639821122,0.0120107094731728,0.0716241936037816,0.0467279418078921,0.00319822230898576,0.0812974212033097,0.047140145842962
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris",0.0901491076190401,0.041228487724464,0.0294762202560843,0.0495738631507216,0.0286608202454488,0.155635321746929,0.116035187934071,0.0419149493504826,0.0079767590653547,2.20433780698563e-06,0.0248425397114883,0,0.0671466325212384,0.023415352124555,0.0484441185045793,0.0483001042861509
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_A",0.0185259217424877,0.359340988451598,0.000519578952385149,0.0217919437145926,0.0181453422859099,0.0996926595146827,0.0495366545292614,0.135558735929326,0.126685724034973,0.106874957374493,0.15531254750539,0.118621701738856,0.0344248317623816,0.0188043338019328,0.114082794758009,0.091861247739752
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_B",0.00278212692364333,0.0248806163011274,0.00519584246179272,0.000890119675773421,0.216320204001587,0.137642331402091,0.14682306679627,0.035938988101061,0.0642487358357023,0.0183693057240285,0.0484653563456526,0,0.00312114735828109,1.65234543659825e-05,0.179868369276034,0.058970848910494
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_C",0.0162861019501608,0.0252708179063689,0.204705038884173,0,0.00682607405184648,0.26630713720869,0,0.0163997530475218,0.0575343441371032,0.0257595033018757,0.00314838365207331,0.0654576845464348,0.0430184771230032,0.0423471866652336,0.211201712671348,0.0656174810097222
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_D",0.0652074317256493,0.250180553067136,0.308732861304648,0.0175592969576823,0.100107762327434,0.443068821680981,0.145186535088402,0.153762219529535,0.0820116030000366,0.107174087616223,0.156504071615255,0,0.102945720664865,0.0099075511268014,0,0.129489901046977
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_E",0.0189033349787212,0.0109846111532479,0.0011798973316733,0.000844044624266422,0.0331739106647382,0.00364869434159302,0.00123672606945216,0.00228377816663471,0.000509257233896399,0.0205109386610463,0.00599899814450451,0.059666231364197,0.000749312647362236,0,0.00217012622927589,0.0107906574407073
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp000195595",0.0070802767203483,0.165683044313394,0.00154780618789237,0.0201649279541897,7.55872750536037e-06,0.0851436497139093,0.0384080756481652,0.052368898014238,0.00336540954821797,0.00919696623256144,0.026440695892485,0.00229774268263216,9.72841005105177e-07,0.0231331909921936,0.234978845891745,0.0446545374240322
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp000220835",0.00890153358161513,0.0430125510770342,0,0.00744798025175087,0.0459381833556031,0.000940296988672164,0.0295544908296184,0,0.0242388486390486,0.0011698452553284,0,0.00542753612401878,0.026670907623559,0,0,0.0128868115817499
