"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__C18-neg_Cluster_0001: NA",0,0,0,0,0,0.00460713292834197,0,0,0,0,0,0,0,0,0,0.000307142195222798
"m__C18-neg_Cluster_0002: NA",0,0,0,0,0,0.0530039938009234,0,0,0,0,0,0,0,0,0.0324435185897464,0.00569650082604465
"m__C18-neg_Cluster_0003: NA",0,0,0,0,0,0.0044077840869101,0,0,0,0,0,0,0,0,0,0.000293852272460673
"m__C18-neg_Cluster_0004: 4-hydroxystyrene",0,0,0,0,0,0.0792955613673388,0.0132205656357467,0,0,0,0,0,0,0,0,0.0061677418002057
"m__C18-neg_Cluster_0005: NA",0,4.40066708550196e-06,0,0,0,0.0711943527591284,0,0,0,0,0,0,0,0,0,0.00474658356174759
"m__C18-neg_Cluster_0006: NA",0,1.02137611578528e-07,0,0,0,0.00115284474707781,0,0,0,0,0,0,0,0,0,7.68631256459594e-05
"m__C18-neg_Cluster_0007: NA",0,0,0,0,0,0.00156497275646115,0,0,0,0,0,0,0,0,0,0.00010433151709741
"m__C18-neg_Cluster_0008: NA",0,0.00148381462156936,0,0,0,0.00974323043537162,0,0,0,0,0,0,0,0,0,0.000748469670462732
"m__C18-neg_Cluster_0009: NA",0,4.77218483282058e-06,0,0,0,5.36519490972082e-05,0,0,0,0,0,0,0,0,0,3.89494226200192e-06
"m__C18-neg_Cluster_0010: NA",0,0.000406124040801417,0,0,0,0.000640373640067208,0.171972504381436,0,0,0,0,0,0,0,0,0.011534600137487
"m__C18-neg_Cluster_0011: NA",0,0,0,0,0,0.000194501283076229,0.0767393779928201,0,0,0,0,0,0,0,0,0.00512892528505976
"m__C18-neg_Cluster_0013: NA",0,0,0,0,0,0.00144394509937277,0.0801520494901971,0,0,0,0,0.0404655267359447,0,0,0,0.0081374347550343
"m__C18-neg_Cluster_0014: NA",0,0,0,0,0,0.000299069677671426,0,0,0,0,0,0,0.00461274458509283,0,0.0411088436460258,0.003068043860586
"m__C18-neg_Cluster_0015: NA",0,0,0,0,0,0.000190781091082188,0,0,0,0,0,0,0,0,0,1.27187394054792e-05
"m__C18-neg_Cluster_0016: NA",0,0,3.73223069147838e-07,0,0,0.00279496499331011,0,0,0,0,0,0,0,0,0,0.00018635588109195
